,text_surronding
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_32255,"une folie qui tombait sur nous , la chaleur peut"
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_32336,en avait pas besoin . On le savait bien qu'
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_32379,était grave en somme . On est partis en silence
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_32385,"est partis en silence vers nos maisons , Maupas sur"
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_32395,le seuil de son bistrot nous regardait s' en aller
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_32410,"de se coucher , quand on a jeté un œil"
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_32416,"a jeté un œil par nos fenêtres , comme on"
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_32420,"par nos fenêtres , comme on fait toujours pour s'"
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_32441,"clocher de l' église , on a vu qu' il"
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_32475,", qu' a réveillé tout notre monde , vers les"
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_32501,difficile chez les gens de notre âge . Boum -
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_32528,"— Levez - vous , les gars , ça flambe"
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_32537,flambe chez les hippizes . On s' est enfilé des
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_32549,"ceux de la nuit , on a pris à tout"
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_32563,"une pognée de cartouches et on a couru , encore"
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_32630,voulait emporter aussi . — On fera le plein à
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_32765,et Raoul ont vite rempli leur réservoir et Manchon est
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_32782,"Justin aussi arrivait , qu' on n' avait pas prévenu"
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_32855,"était un incendie criminel , on s' en doutait un"
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_32869,"voulait le dire ; chez nous , il vaut mieux"
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_32884,"le feu quelque part et on se souvenait bien ,"
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_32941,la petite brûlait encore mais on s' en occupait pas
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_32994,se resservir en eau . On a coupé des branches
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_33000,"a coupé des branches qu' on a effeuillées , et"
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_33005,"on a effeuillées , et on a tapé sur les"
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_33096,personne hors du paradis . On l' a vu disparaître
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_33106,"dans tes flammes , après on pouvait plus rien voir"
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_33127,"les sens , et puis on a entendu le glouglou"
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_33178,le mur du feu . On se disait qu' ils
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_33194,"tout desséchés , parce que nous , à trois mètres"
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_33202,"trois mètres dos flammes , on sentait nos sourcils tomber"
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_33204,"dos flammes , on sentait nos sourcils tomber , la"
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_33251,"mais avec les branches , on les a complètement tuées"
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_33284,Le grand Pierre brûlait . On a couru aux couvertures
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_33290,"a couru aux couvertures , on l' a enroulé ,"
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_33295,"on l' a enroulé , on se disait que ça"
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_33383,"flammèches qui couraient encore , on les a vite maîtrisées"
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_33394,"par mesure de précaution , on a arrosé tout le"
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_33478,", expliquait Pierre , comme on se méfiait , on"
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_33482,"comme on se méfiait , on est sortis avec Girgassou"
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_33535,"le grand Pierre . — On y va , dit"
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_33564,"que oui , et qu' on allait bien voir si"
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_33592,à patates en jute qu' on lui avait vu dans
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_33604,"en venant mais après , on n' y avait plus"
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_33734,"en tendant son fusil . On a tous rigolé ,"
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_33736,"son fusil . On a tous rigolé , après l'"
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_33751,"un luxe , surtout qu' on avait tous les jetons"
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_33772,pleine nuit . Des fois on le fait pour le
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_33780,"pour le braconnage , mais on sait bien qu' on"
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_33784,"mais on sait bien qu' on risque rien , que"
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_33795,"est amusettes . Là , on pouvait se faire descendre"
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_33817,"Manchon , faut pas qu' on voit nos armes ,"
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_33819,"faut pas qu' on voit nos armes , alors on"
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_33823,"voit nos armes , alors on passera par le sous"
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_33831,"le sous - bois , vous autres , faites le"
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_33841,"tour par le village , on se retrouvera à la"
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_33888,"affaire - là , mais on savait tous bien qu'"
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_33890,"là , mais on savait tous bien qu' il était"
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_33907,"… Bien en silence , on a remonté la rue"
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_33974,"arias . Comme prévu , on s' est retrouvés avec"
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_33988,à la brèche . — Z' avez pas vu Girgassou
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_34027,"le trou du mur , on voyait qu' à moitié"
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_34059,", pas une lumière . On savait plus très bien"
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_34068,"bien que faire . — On y va , dit"
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_34083,"de bien s' amuser , on y va et on"
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_34087,", on y va et on fout tout en l'"
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_34106,sa mitraillette . Justin qui nous avait suivis et qu'
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_34192,"un tout bébé ? … On aura à reparler ,"
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_34209,tu te tiens tranquille ou on t' attache à un
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_34232,même une telle bouille qu' on aurait cru qu' il
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_34255,", à moitié courbé , on avait entendu juste avant"
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_34271,culasse qu' on arme . On est arrivés sans que
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_34283,jusqu' au grand arbre qui nous avait déjà abrités à
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_34288,nous avait déjà abrités à notre première visite . La
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_34315,Arsène s' est avancé et on l' a entendu jurer
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_34323,entendu jurer tout bas . On s' est approchés ;
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_34346,"C' est le Jo , nous souffla - t -"
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_34470,après une telle dégelée . On n' osait pas trop
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_34530,", comme une prière , on voyait bien qu' il"
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_34552,"faisait un effort terrible qui nous donnait mal , à"
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_34557,"nous donnait mal , à nous aussi , à voir"
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_34593,"recevoir le jet subit qui nous annonçait , sans recours"
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_34747,"bien répété trois fois . Nous non plus , alors"
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_34754,"plus , alors là , on n' y comprenait rien"
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_34823,"des planches … Maintenant , on savait plus trop quoi"
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_34851,de service battait doucement mais on n' avait plus envie
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_34942,"coup d' arme automatique . On était plantés , à"
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_34963,brusquement dans le château qui nous ont fait détaler comme
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_34982,en moins de deux . On a coupé par les
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_35011,jette dans le Saux . On n' entendait plus rien
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_35036,"la « Gironde » à nos bruits , sous le"
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_35043,", sous le pont . On est allés jusqu' aux"
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_35125,les coups de feu . On se préparait à y
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_35146,", Pitère derrière lui . On l' a entouré ,"
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_35151,"On l' a entouré , on l' abrutissait de questions"
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_35189,"a dit Girgassou , quand on était au camp ,"
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_35194,"on était au camp , on a vu deux hommes"
A.D.G._La-nuit-des-grands-chiens-malades_<nous-1668>_35209,"flammes ont éclaté , alors on les a suivis ."
