,text_surronding
A.D.G._Les-trois-Badours_<Michel Debret-1387>_31968,"frappe à la porte : Michel Debret , les yeux"
A.D.G._Les-trois-Badours_<Michel Debret-1387>_31985,"que racontaient les voisins , il passait son temps maintenant"
A.D.G._Les-trois-Badours_<Michel Debret-1387>_31987,"les voisins , il passait son temps maintenant en de"
A.D.G._Les-trois-Badours_<Michel Debret-1387>_31995,"en de sombres rêveries , laissait n' importe qui marcher"
A.D.G._Les-trois-Badours_<Michel Debret-1387>_32004,marcher sur les pelouses et marmonnait des choses bizarres .
A.D.G._Les-trois-Badours_<Michel Debret-1387>_32025,est à l' abri : il couverait une dépression nerveuse
A.D.G._Les-trois-Badours_<Michel Debret-1387>_32045,serais pas autrement surpris . Il regarde de biais par
A.D.G._Les-trois-Badours_<Michel Debret-1387>_32064,ne sais quoi . Je lui montre la poubelle dont
A.D.G._Les-trois-Badours_<Michel Debret-1387>_32093,— C' est cela que vous cherchez ? — Non
A.D.G._Les-trois-Badours_<Michel Debret-1387>_32100,"? — Non , fit - il d' un air"
A.D.G._Les-trois-Badours_<Michel Debret-1387>_32136,"un lycéen . Ce que je voudrais voir , c'"
A.D.G._Les-trois-Badours_<Michel Debret-1387>_32151,. Figurez - vous que je me suis imaginé qu'
A.D.G._Les-trois-Badours_<Michel Debret-1387>_32177,", tout de même ? Je l' entraîne vers l'"
A.D.G._Les-trois-Badours_<Michel Debret-1387>_32194,"son visage se détend , je viens de faire un"
A.D.G._Les-trois-Badours_<Michel Debret-1387>_32202,faire un homme heureux . Il me quitte en chantonnant
A.D.G._Les-trois-Badours_<Michel Debret-1387>_32203,un homme heureux . Il me quitte en chantonnant «
A.D.G._Les-trois-Badours_<Michel Debret-1387>_32230,"propos de Debret , dit Micro , qu' on s'"
A.D.G._Les-trois-Badours_<Michel Debret-1387>_32262,"gaz . — Pomme , je rétorque , toi tu"
A.D.G._Les-trois-Badours_<Michel Debret-1387>_32280,de Colonel - Comte . Moi je ligote tout :
A.D.G._Les-trois-Badours_<Michel Debret-1387>_32281,Colonel - Comte . Moi je ligote tout : les
A.D.G._Les-trois-Badours_<Michel Debret-1387>_32311,sur une décharge . — Je te ferai remarquer qu'
A.D.G._Les-trois-Badours_<Michel Debret-1387>_32352,"ce moment - là , je sursaute : notre vieille"
A.D.G._Les-trois-Badours_<Michel Debret-1387>_32385,"c' est net , de me jeter à l' esgourde"
A.D.G._Les-trois-Badours_<Michel Debret-1387>_32396,nom de Sophie Cocigrue . Je bondis et après un
A.D.G._Les-trois-Badours_<Michel Debret-1387>_32499,"indiscrétions , nous croyons pouvoir vous dire que la Banque"
A.D.G._Les-trois-Badours_<Michel Debret-1387>_32531,un commerçant estimé . Ça me paraissait pas forcément bonnard
A.D.G._Les-trois-Badours_<Michel Debret-1387>_32552,allaient s' énerver et buter ma fleur des champs …
A.D.G._Les-trois-Badours_<Michel Debret-1387>_32563,"Il était forcé , pontifie Micro , s' il a"
A.D.G._Les-trois-Badours_<Michel Debret-1387>_32587,"hein , les fuites … J' étais pas très convaincu"
A.D.G._Les-trois-Badours_<Michel Debret-1387>_32597,. Le cagoulard et Frantz m' avaient pas paru être
A.D.G._Les-trois-Badours_<Michel Debret-1387>_32643,"avaient pas raté . — Tu sais , dit Micro"
A.D.G._Les-trois-Badours_<Michel Debret-1387>_32647,"— Tu sais , dit Micro , qu' on a"
A.D.G._Les-trois-Badours_<Michel Debret-1387>_32662,"… — Que foutre , je rétorque de mauvais poil"
A.D.G._Les-trois-Badours_<Michel Debret-1387>_32691,humour pour des pélegreux . Micro est pas de mon
A.D.G._Les-trois-Badours_<Michel Debret-1387>_32695,. Micro est pas de mon avis et Bus le
A.D.G._Les-trois-Badours_<Michel Debret-1387>_32699,de mon avis et Bus le rejoint en ce sens
A.D.G._Les-trois-Badours_<Michel Debret-1387>_32727,"— C' est où , j' accepte de mauvaise grâce"
A.D.G._Les-trois-Badours_<Michel Debret-1387>_32733,"accepte de mauvaise grâce , votre piège à millionnaires ?"
A.D.G._Les-trois-Badours_<Michel Debret-1387>_32749,les petits vieux . — Je pourrai vous y laisser
A.D.G._Les-trois-Badours_<Michel Debret-1387>_32759,"en partant , alors . J' ai rudement envie de"
A.D.G._Les-trois-Badours_<Michel Debret-1387>_32768,de bouger ; l' inaction me pèse . C' est
A.D.G._Les-trois-Badours_<Michel Debret-1387>_32775,. C' est alors que je me souviens de mon
A.D.G._Les-trois-Badours_<Michel Debret-1387>_32779,que je me souviens de mon projet de casse chez
A.D.G._Les-trois-Badours_<Michel Debret-1387>_32796,la chouette commode Empire que j' ai remarquée dans le
A.D.G._Les-trois-Badours_<Michel Debret-1387>_32840,n' est que temps de m' en occuper moi -
A.D.G._Les-trois-Badours_<Michel Debret-1387>_32843,temps de m' en occuper moi - même . Seulement
A.D.G._Les-trois-Badours_<Michel Debret-1387>_32849,"- même . Seulement , je peux pas faire ça"
A.D.G._Les-trois-Badours_<Michel Debret-1387>_32871,". — Dites donc , je fais d' un air"
A.D.G._Les-trois-Badours_<Michel Debret-1387>_32878,"d' un air innocent , je viens d' avoir une"
A.D.G._Les-trois-Badours_<Michel Debret-1387>_32892,"Sortez le champagne , dit Micro , il faut arroser"
A.D.G._Les-trois-Badours_<Michel Debret-1387>_32908,"bons copains , hein ? Vous m' aimez bien ?"
A.D.G._Les-trois-Badours_<Michel Debret-1387>_32909,"copains , hein ? Vous m' aimez bien ? Vous"
