,text_surronding
Achard-Amedee_Madame-Rose_<me-1521>_37333,"Vous avez tout entendu , me dit M . de"
Achard-Amedee_Madame-Rose_<me-1521>_37382,présent ? » lui dis - je . « Demain
Achard-Amedee_Madame-Rose_<me-1521>_37454,dehors toute la journée . Je le vis à peine
Achard-Amedee_Madame-Rose_<me-1521>_37466,". « Dormez » , me dit - il le"
Achard-Amedee_Madame-Rose_<me-1521>_37489,peu tard . » Il m' embrassa et sortit .
Achard-Amedee_Madame-Rose_<me-1521>_37495,"embrassa et sortit . À mon réveil , j' appris"
Achard-Amedee_Madame-Rose_<me-1521>_37498,". À mon réveil , j' appris que M ."
Achard-Amedee_Madame-Rose_<me-1521>_37509,Réthel était parti . On me remit une lettre par
Achard-Amedee_Madame-Rose_<me-1521>_37516,une lettre par laquelle il me priait de retourner à
Achard-Amedee_Madame-Rose_<me-1521>_37529,Au moins n' y serez - vous pas seule »
Achard-Amedee_Madame-Rose_<me-1521>_37542,il . Il ajoutait que je recevrais de ses nouvelles
Achard-Amedee_Madame-Rose_<me-1521>_37549,de ses nouvelles prochainement . Je n' ai pas perdu
Achard-Amedee_Madame-Rose_<me-1521>_37561,"pour regagner Paris , où je n' ai pu trouver"
Achard-Amedee_Madame-Rose_<me-1521>_37581,"; comprenant bien que toutes mes recherches seraient inutiles ,"
Achard-Amedee_Madame-Rose_<me-1521>_37586,"mes recherches seraient inutiles , je me suis rendue à"
Achard-Amedee_Madame-Rose_<me-1521>_37593,suis rendue à Herblay . Je ne croyais pas y
Achard-Amedee_Madame-Rose_<me-1521>_37602,y revenir de sitôt . J' ai bien des sujets
Achard-Amedee_Madame-Rose_<me-1521>_37612,"de tristesse , et cependant je ne sais quel mouvement"
Achard-Amedee_Madame-Rose_<me-1521>_37619,sais quel mouvement de joie m' a fait tressaillir quand
Achard-Amedee_Madame-Rose_<me-1521>_37624,m' a fait tressaillir quand j' ai découvert les noyers
Achard-Amedee_Madame-Rose_<me-1521>_37635,village et le toit de ma maison . » Georges
Achard-Amedee_Madame-Rose_<me-1521>_37647,chagrin que le visage de Mme Rose portait la trace
Achard-Amedee_Madame-Rose_<me-1521>_37655,la trace des épreuves qu' elle subissait depuis déjà longtemps
Achard-Amedee_Madame-Rose_<me-1521>_37661,subissait depuis déjà longtemps . Elle devina ce qui se
Achard-Amedee_Madame-Rose_<me-1521>_37670,se passait en lui et sourit . « La campagne
Achard-Amedee_Madame-Rose_<me-1521>_37675,"sourit . « La campagne me remettra » , dit"
Achard-Amedee_Madame-Rose_<me-1521>_37680,"me remettra » , dit - elle . Dès le"
Achard-Amedee_Madame-Rose_<me-1521>_37688,"Dès le jour même , elle avait revu Canada ,"
Achard-Amedee_Madame-Rose_<me-1521>_37703,"le petit Jacques , qui lui demanda des nouvelles de"
Achard-Amedee_Madame-Rose_<me-1521>_37708,lui demanda des nouvelles de son grand ami . «
Achard-Amedee_Madame-Rose_<me-1521>_37742,il m' oublie . » Mme Rose l' embrassa .
Achard-Amedee_Madame-Rose_<me-1521>_37749,l' embrassa . « Il m' a chargé de voir
Achard-Amedee_Madame-Rose_<me-1521>_37760,"tu courrais » , répondit - elle . Et ,"
Achard-Amedee_Madame-Rose_<me-1521>_37772,"oranges dans un panier , elle les jeta au loin"
Achard-Amedee_Madame-Rose_<me-1521>_37819,campagne . « Ah ! je me sens renaître !
Achard-Amedee_Madame-Rose_<me-1521>_37826,sens renaître ! » dit Mme Rose . On était
Achard-Amedee_Madame-Rose_<me-1521>_37852,soir des teintes magnifiques . Mme Rose voulut revoir tous
Achard-Amedee_Madame-Rose_<me-1521>_37860,revoir tous les coins qu' elle avait parcourus ; elle
Achard-Amedee_Madame-Rose_<me-1521>_37864,qu' elle avait parcourus ; elle était comme un voyageur
Achard-Amedee_Madame-Rose_<me-1521>_37879,après une longue absence . Elle était allée prendre du
Achard-Amedee_Madame-Rose_<me-1521>_37889,lait dans cette ferme ; elle avait cueilli des fraises
Achard-Amedee_Madame-Rose_<me-1521>_37898,fraises dans ce taillis ; elle avait lu tout un
Achard-Amedee_Madame-Rose_<me-1521>_37916,était là que la pluie l' avait surprise un soir
Achard-Amedee_Madame-Rose_<me-1521>_37936,"coup de vent avait emporté son mouchoir , que Tambour"
Achard-Amedee_Madame-Rose_<me-1521>_37954,plus petit brin d' herbe lui semblait beau . La
Achard-Amedee_Madame-Rose_<me-1521>_37962,. La première fois qu' elle mit le pied sur
Achard-Amedee_Madame-Rose_<me-1521>_37970,"pied sur la Tortue , elle fut prise d' une"
Achard-Amedee_Madame-Rose_<me-1521>_37980,joie folle . Un jour elle s' avisa de rassembler
Achard-Amedee_Madame-Rose_<me-1521>_38016,"Eh ! mère Thibaude , lui dit - elle ,"
Achard-Amedee_Madame-Rose_<me-1521>_38026,voilà des petits que je vous confie … Gardez -
Achard-Amedee_Madame-Rose_<me-1521>_38055,du ciel ! où voulez - vous que je le
Achard-Amedee_Madame-Rose_<me-1521>_38090,"— Donnez toujours , répondit Mme Rose ; le boulanger"
Achard-Amedee_Madame-Rose_<me-1521>_38097,"; le boulanger est de mes amis , et c'"
Achard-Amedee_Madame-Rose_<me-1521>_38101,"de mes amis , et c' est moi que cela"
Achard-Amedee_Madame-Rose_<me-1521>_38103,"amis , et c' est moi que cela regarde ."
Achard-Amedee_Madame-Rose_<me-1521>_38110,cela regarde . » Quand elle vit tous les enfants
Achard-Amedee_Madame-Rose_<me-1521>_38130,"pain jusqu' au bord , Mme Rose battit des mains"
Achard-Amedee_Madame-Rose_<me-1521>_38136,Rose battit des mains et voulut qu' on ajoutât une
Achard-Amedee_Madame-Rose_<me-1521>_38155,enfants se pressaient autour d' elle comme des poussins .
Achard-Amedee_Madame-Rose_<me-1521>_38161,comme des poussins . « Je prétends que chaque jour
Achard-Amedee_Madame-Rose_<me-1521>_38173,"en ait autant , dit - elle ; ce qui"
Achard-Amedee_Madame-Rose_<me-1521>_38207,. « Ce sont encore vos distractions d' autrefois qui
Achard-Amedee_Madame-Rose_<me-1521>_38221,". — Ah ! répondit Mme Rose , si je"
Achard-Amedee_Madame-Rose_<me-1521>_38225,"répondit Mme Rose , si je dois quitter ce pays"
Achard-Amedee_Madame-Rose_<me-1521>_38231,"dois quitter ce pays , je veux au moins que"
Achard-Amedee_Madame-Rose_<me-1521>_38236,je veux au moins que mon souvenir y reste .
Achard-Amedee_Madame-Rose_<me-1521>_38246,» Malgré le mouvement qu' elle se donnait et les
Achard-Amedee_Madame-Rose_<me-1521>_38255,les retours de gaieté qui la faisaient rire pendant ses
Achard-Amedee_Madame-Rose_<me-1521>_38259,"qui la faisaient rire pendant ses longues courses , on"
Achard-Amedee_Madame-Rose_<me-1521>_38271,qu' une pensée constante préoccupait Mme Rose ; elle ne
Achard-Amedee_Madame-Rose_<me-1521>_38274,constante préoccupait Mme Rose ; elle ne manquait jamais de
Achard-Amedee_Madame-Rose_<me-1521>_38290,n' avait rien apporté pour elle . Elle cherchait souvent
Achard-Amedee_Madame-Rose_<me-1521>_38292,rien apporté pour elle . Elle cherchait souvent dans les
Achard-Amedee_Madame-Rose_<me-1521>_38311,. Le silence de Canada lui faisait croire que le
Achard-Amedee_Madame-Rose_<me-1521>_38321,pêcheur savait quelque chose . Elle l' interrogea . «
Achard-Amedee_Madame-Rose_<me-1521>_38326,"Elle l' interrogea . « Dame ! répondit Canada ,"
Achard-Amedee_Madame-Rose_<me-1521>_38346,à Paris . — On vous l' a raconté seulement
Achard-Amedee_Madame-Rose_<me-1521>_38354,raconté seulement ? » dit Mme Rose . Canada cligna
Achard-Amedee_Madame-Rose_<me-1521>_38378,". « Voyons , poursuivit Mme . Rose , est"
Achard-Amedee_Madame-Rose_<me-1521>_38387,est - ce bien à moi que vous cacherez la
Achard-Amedee_Madame-Rose_<me-1521>_38405,"pêcheur vaincu , je puis vous dire à vous ,"
Achard-Amedee_Madame-Rose_<me-1521>_38408,"je puis vous dire à vous , mais à vous"
Achard-Amedee_Madame-Rose_<me-1521>_38412,"à vous , mais à vous seulement , qu' il"
Achard-Amedee_Madame-Rose_<me-1521>_38425,un jour ou deux après votre retour ; il a
Achard-Amedee_Madame-Rose_<me-1521>_38455,"Il s' est caché pour vous regarder , tandis que"
Achard-Amedee_Madame-Rose_<me-1521>_38460,"vous regarder , tandis que vous vous promeniez au bord"
Achard-Amedee_Madame-Rose_<me-1521>_38480,à faire peur . Il m' a fait jurer de
Achard-Amedee_Madame-Rose_<me-1521>_38493,"là - bas s' il me faisait appeler , et"
Achard-Amedee_Madame-Rose_<me-1521>_38498,"me faisait appeler , et m' a glissé deux ou"
Achard-Amedee_Madame-Rose_<me-1521>_38518,est son habitude . » Mme Rose prit entre ses
Achard-Amedee_Madame-Rose_<me-1521>_38522,» Mme Rose prit entre ses mains les rudes mains
Achard-Amedee_Madame-Rose_<me-1521>_38528,"mains les rudes mains de Canada , et attachant sur"
Achard-Amedee_Madame-Rose_<me-1521>_38533,"Canada , et attachant sur lui ses yeux humides :"
Achard-Amedee_Madame-Rose_<me-1521>_38534,", et attachant sur lui ses yeux humides : «"
Achard-Amedee_Madame-Rose_<me-1521>_38539,"ses yeux humides : « Me promettez - vous ,"
Achard-Amedee_Madame-Rose_<me-1521>_38541,"humides : « Me promettez - vous , en retour"
Achard-Amedee_Madame-Rose_<me-1521>_38550,retour de l' amitié que je vous ai toujours montrée
Achard-Amedee_Madame-Rose_<me-1521>_38551,de l' amitié que je vous ai toujours montrée ainsi
Achard-Amedee_Madame-Rose_<me-1521>_38563,"tous les vôtres , de me prévenir s' il vous"
Achard-Amedee_Madame-Rose_<me-1521>_38567,de me prévenir s' il vous appelle ? » Canada
Achard-Amedee_Madame-Rose_<me-1521>_38571,il vous appelle ? » Canada se mordait les lèvres
Achard-Amedee_Madame-Rose_<me-1521>_38584,"« C' est manquer à ma parole , dit -"
Achard-Amedee_Madame-Rose_<me-1521>_38588,"à ma parole , dit - il . — Je"
Achard-Amedee_Madame-Rose_<me-1521>_38592,dit - il . — Je suis sa femme et
Achard-Amedee_Madame-Rose_<me-1521>_38597,"Je suis sa femme et je vous en prie ,"
Achard-Amedee_Madame-Rose_<me-1521>_38598,"suis sa femme et je vous en prie , reprit"
Achard-Amedee_Madame-Rose_<me-1521>_38603,"vous en prie , reprit - elle . — Eh"
Achard-Amedee_Madame-Rose_<me-1521>_38610,. — Eh bien ! je vous le promets …
Achard-Amedee_Madame-Rose_<me-1521>_38611,— Eh bien ! je vous le promets … Puis
Achard-Amedee_Madame-Rose_<me-1521>_38616,vous le promets … Puis - je donc oublier que
Achard-Amedee_Madame-Rose_<me-1521>_38621,- je donc oublier que vous m' avez donné du
Achard-Amedee_Madame-Rose_<me-1521>_38622,je donc oublier que vous m' avez donné du pain
Achard-Amedee_Madame-Rose_<me-1521>_38628,avez donné du pain quand je n' en avais pas
Achard-Amedee_Madame-Rose_<me-1521>_38642,"fin de la semaine , Canada parut un matin à"
