,text_surronding
Aimard-Gustave-Auriac-Jules-Berlioz-d-_Les-Forestiers-du-Michigan_<Basil-151>_5282,narrateur s' interrompit en voyant Basil lui faire un signe
Aimard-Gustave-Auriac-Jules-Berlioz-d-_Les-Forestiers-du-Michigan_<Basil-151>_5297,"s' assit aussitôt et se tut , en prêtant l'"
Aimard-Gustave-Auriac-Jules-Berlioz-d-_Les-Forestiers-du-Michigan_<Basil-151>_5324,— Un son a frappé mes oreilles pendant que vous
Aimard-Gustave-Auriac-Jules-Berlioz-d-_Les-Forestiers-du-Michigan_<Basil-151>_5332,que vous parliez ; dit Basil en reprenant avec soin
Aimard-Gustave-Auriac-Jules-Berlioz-d-_Les-Forestiers-du-Michigan_<Basil-151>_5337,Basil en reprenant avec soin sa position . — Bah
Aimard-Gustave-Auriac-Jules-Berlioz-d-_Les-Forestiers-du-Michigan_<Basil-151>_5420,air significatif . — Savez - vous quel animal fait
Aimard-Gustave-Auriac-Jules-Berlioz-d-_Les-Forestiers-du-Michigan_<Basil-151>_5429,"fait entendre cette voix , Basil ? Ne l' avez"
Aimard-Gustave-Auriac-Jules-Berlioz-d-_Les-Forestiers-du-Michigan_<Basil-151>_5434,Basil ? Ne l' avez - vous jamais remarqué .
Aimard-Gustave-Auriac-Jules-Berlioz-d-_Les-Forestiers-du-Michigan_<Basil-151>_5444,. . . ? — Je sais ce que vous
Aimard-Gustave-Auriac-Jules-Berlioz-d-_Les-Forestiers-du-Michigan_<Basil-151>_5458,"cri de la panthère ne m' est pas inconnu ,"
Aimard-Gustave-Auriac-Jules-Berlioz-d-_Les-Forestiers-du-Michigan_<Basil-151>_5463,"m' est pas inconnu , je ne m' y trompe"
Aimard-Gustave-Auriac-Jules-Berlioz-d-_Les-Forestiers-du-Michigan_<Basil-151>_5513,supériorité dédaigneuse . — Pensez - vous que j' aie
Aimard-Gustave-Auriac-Jules-Berlioz-d-_Les-Forestiers-du-Michigan_<Basil-151>_5542,. . ! interrompit brusquement Basil en se levant pour
Aimard-Gustave-Auriac-Jules-Berlioz-d-_Les-Forestiers-du-Michigan_<Basil-151>_5569,de cette sombre nuit : Basil se retourna vers Johnson
Aimard-Gustave-Auriac-Jules-Berlioz-d-_Les-Forestiers-du-Michigan_<Basil-151>_5588,"pipe . — L' avez - vous entendu , cette"
Aimard-Gustave-Auriac-Jules-Berlioz-d-_Les-Forestiers-du-Michigan_<Basil-151>_5659,"froide apathie . — Je vous dis , Horace Johnson"
Aimard-Gustave-Auriac-Jules-Berlioz-d-_Les-Forestiers-du-Michigan_<Basil-151>_5703,"l' autre en riant : vous êtes fou , ami"
Aimard-Gustave-Auriac-Jules-Berlioz-d-_Les-Forestiers-du-Michigan_<Basil-151>_5707,": vous êtes fou , ami Basil ! qui ,"
Aimard-Gustave-Auriac-Jules-Berlioz-d-_Les-Forestiers-du-Michigan_<Basil-151>_5770,". — Enfin ! à vous entendre , on croirait"
Aimard-Gustave-Auriac-Jules-Berlioz-d-_Les-Forestiers-du-Michigan_<Basil-151>_5800,. Je ne conçois pas votre insouciance ! dit Basil
Aimard-Gustave-Auriac-Jules-Berlioz-d-_Les-Forestiers-du-Michigan_<Basil-151>_5811,un ton de reproche . Johnson pinça dédaigneusement les lèvres
Aimard-Gustave-Auriac-Jules-Berlioz-d-_Les-Forestiers-du-Michigan_<Basil-151>_5820,lèvres . — Bon ! j' admets qu' il y
Aimard-Gustave-Auriac-Jules-Berlioz-d-_Les-Forestiers-du-Michigan_<Basil-151>_5855,est - ce que çà me faisait de vous donner
Aimard-Gustave-Auriac-Jules-Berlioz-d-_Les-Forestiers-du-Michigan_<Basil-151>_5863,vous donner asile auprès de mon feu ? — C'
Aimard-Gustave-Auriac-Jules-Berlioz-d-_Les-Forestiers-du-Michigan_<Basil-151>_5926,lui porter secours . — Vous le pouvez si çà
Aimard-Gustave-Auriac-Jules-Berlioz-d-_Les-Forestiers-du-Michigan_<Basil-151>_5931,"Vous le pouvez si çà vous convient : moi ,"
Aimard-Gustave-Auriac-Jules-Berlioz-d-_Les-Forestiers-du-Michigan_<Basil-151>_5934,"si çà vous convient : moi , non ! c'"
Aimard-Gustave-Auriac-Jules-Berlioz-d-_Les-Forestiers-du-Michigan_<Basil-151>_5990,"soutenir jusqu' au jour ! Basil , avez - vous"
Aimard-Gustave-Auriac-Jules-Berlioz-d-_Les-Forestiers-du-Michigan_<Basil-151>_5993,"jour ! Basil , avez - vous perdu le sens"
Aimard-Gustave-Auriac-Jules-Berlioz-d-_Les-Forestiers-du-Michigan_<Basil-151>_6009,a la neige ! Et vous voudriez quitter ce bon
Aimard-Gustave-Auriac-Jules-Berlioz-d-_Les-Forestiers-du-Michigan_<Basil-151>_6017,ce bon feu alors que vous n' y verriez pas
Aimard-Gustave-Auriac-Jules-Berlioz-d-_Les-Forestiers-du-Michigan_<Basil-151>_6033,autre ! Quelle obligation trouvez - vous donc à courir
Aimard-Gustave-Auriac-Jules-Berlioz-d-_Les-Forestiers-du-Michigan_<Basil-151>_6042,courir le risque certain de vous perdre pour secourir je
