,text_surronding
Aimard-Gustave_Les-invisibles-de-Paris_<Bâton-2244>_51879,quand reviendra . IX Où Bâton taquine Bertrand . —
Aimard-Gustave_Les-invisibles-de-Paris_<Bâton-2244>_51884,Bâton taquine Bertrand . — Cré croquin ! dit avec
Aimard-Gustave_Les-invisibles-de-Paris_<Bâton-2244>_51905,"tranquille dans la chambre , cré coquin ! vous pouvez"
Aimard-Gustave_Les-invisibles-de-Paris_<Bâton-2244>_51908,"chambre , cré coquin ! vous pouvez vous vanter d'"
Aimard-Gustave_Les-invisibles-de-Paris_<Bâton-2244>_51918,"avoir une rude pince , vous ! — Tiens !"
Aimard-Gustave_Les-invisibles-de-Paris_<Bâton-2244>_51923,vous ! — Tiens ! tu ne me tutoies plus
Aimard-Gustave_Les-invisibles-de-Paris_<Bâton-2244>_51929,"ne me tutoies plus , moucheron ? — C' est"
Aimard-Gustave_Les-invisibles-de-Paris_<Bâton-2244>_51943,"cruche . . . Et le petit , tournant autour"
Aimard-Gustave_Les-invisibles-de-Paris_<Bâton-2244>_51961,tourne autour du cheval qu' il veut examiner sur toutes
Aimard-Gustave_Les-invisibles-de-Paris_<Bâton-2244>_51966,il veut examiner sur toutes ses coutures avant de l'
Aimard-Gustave_Les-invisibles-de-Paris_<Bâton-2244>_51988,! Le beau travail ! Mes compliments à tes père
Aimard-Gustave_Les-invisibles-de-Paris_<Bâton-2244>_51991,travail ! Mes compliments à tes père et mère !
Aimard-Gustave_Les-invisibles-de-Paris_<Bâton-2244>_52003,! pas de bêtises ! moucheron ! touchons pas à
Aimard-Gustave_Les-invisibles-de-Paris_<Bâton-2244>_52020,- dessus le marché ! Il retroussait la manche droite
Aimard-Gustave_Les-invisibles-de-Paris_<Bâton-2244>_52026,retroussait la manche droite de sa blouse tout en parlant
Aimard-Gustave_Les-invisibles-de-Paris_<Bâton-2244>_52033,"tout en parlant , et il en sortait un bras"
Aimard-Gustave_Les-invisibles-de-Paris_<Bâton-2244>_52045,long . — Qué que tu fais donc ? Mais
Aimard-Gustave_Les-invisibles-de-Paris_<Bâton-2244>_52053,"? Mais Mouchette , sans lui répondre , retroussa également"
Aimard-Gustave_Les-invisibles-de-Paris_<Bâton-2244>_52067,bourgeron de la Cigale et mit à nu un bras
Aimard-Gustave_Les-invisibles-de-Paris_<Bâton-2244>_52100,. — A - t - il des idées !
Aimard-Gustave_Les-invisibles-de-Paris_<Bâton-2244>_52105,- il des idées ! tu veux nous tatouer le
Aimard-Gustave_Les-invisibles-de-Paris_<Bâton-2244>_52115,"biceps ? — Non , je veux piger , fit"
Aimard-Gustave_Les-invisibles-de-Paris_<Bâton-2244>_52120,"je veux piger , fit l' enfant , en plaçant"
Aimard-Gustave_Les-invisibles-de-Paris_<Bâton-2244>_52125,"l' enfant , en plaçant son bras à côté de"
Aimard-Gustave_Les-invisibles-de-Paris_<Bâton-2244>_52131,bras à côté de celui du géant . Celui -
Aimard-Gustave_Les-invisibles-de-Paris_<Bâton-2244>_52134,de celui du géant . Celui - ci se mit
Aimard-Gustave_Les-invisibles-de-Paris_<Bâton-2244>_52143,"mit à rire , mais il se prêta à sa"
Aimard-Gustave_Les-invisibles-de-Paris_<Bâton-2244>_52147,mais il se prêta à sa fantaisie . — C'
Aimard-Gustave_Les-invisibles-de-Paris_<Bâton-2244>_52160,"tout de même ! répliqua Mouchette , qui ne riait"
Aimard-Gustave_Les-invisibles-de-Paris_<Bâton-2244>_52162,"même ! répliqua Mouchette , qui ne riait pas ."
Aimard-Gustave_Les-invisibles-de-Paris_<Bâton-2244>_52179,", pas vrai ? — Dame ! le fait est"
Aimard-Gustave_Les-invisibles-de-Paris_<Bâton-2244>_52185,! le fait est que tu ne pèses pas lourd
Aimard-Gustave_Les-invisibles-de-Paris_<Bâton-2244>_52195,". — Eh bien ! ma vieille , souviens -"
Aimard-Gustave_Les-invisibles-de-Paris_<Bâton-2244>_52199,"! ma vieille , souviens - toi de ce que"
Aimard-Gustave_Les-invisibles-de-Paris_<Bâton-2244>_52204,- toi de ce que je te dis : le
Aimard-Gustave_Les-invisibles-de-Paris_<Bâton-2244>_52205,toi de ce que je te dis : le jour
Aimard-Gustave_Les-invisibles-de-Paris_<Bâton-2244>_52213,le jour où ceci — il montrait son poignet et
Aimard-Gustave_Les-invisibles-de-Paris_<Bâton-2244>_52215,où ceci — il montrait son poignet et sa main
Aimard-Gustave_Les-invisibles-de-Paris_<Bâton-2244>_52218,il montrait son poignet et sa main droite — s'
Aimard-Gustave_Les-invisibles-de-Paris_<Bâton-2244>_52230,"à cela , — et il montra la poigne énorme"
Aimard-Gustave_Les-invisibles-de-Paris_<Bâton-2244>_52252,". — Vrai ? répondit l' autre , qui s'"
Aimard-Gustave_Les-invisibles-de-Paris_<Bâton-2244>_52255,"? répondit l' autre , qui s' amusait de l'"
Aimard-Gustave_Les-invisibles-de-Paris_<Bâton-2244>_52262,amusait de l' air sérieux du gamin . Et comment
Aimard-Gustave_Les-invisibles-de-Paris_<Bâton-2244>_52270,"Et comment t' y prendrais - tu , Moumouche ?"
Aimard-Gustave_Les-invisibles-de-Paris_<Bâton-2244>_52273,"y prendrais - tu , Moumouche ? — Ainsi ,"
Aimard-Gustave_Les-invisibles-de-Paris_<Bâton-2244>_52279,"? — Ainsi , fit Mouchette . Et pins rapide"
Aimard-Gustave_Les-invisibles-de-Paris_<Bâton-2244>_52288,"rapide que l' éclair , il se glissa , passa"
