,text_surronding
Ardel-Henri_Le-chemin-qui-descend_<Charlotte de Ryeux-1611>_44229,"l' air gelée , demanda Charlotte de Ryeux à Lola"
Ardel-Henri_Le-chemin-qui-descend_<Charlotte de Ryeux-1611>_44273,"de champagne , oui , mon chéri , si tu"
Ardel-Henri_Le-chemin-qui-descend_<Charlotte de Ryeux-1611>_44296,". Sers - toi , ma Lolita . La jeune"
Ardel-Henri_Le-chemin-qui-descend_<Charlotte de Ryeux-1611>_44342,"vaste cabinet de toilette de Charlotte , une sorte de"
Ardel-Henri_Le-chemin-qui-descend_<Charlotte de Ryeux-1611>_44349,une sorte de boudoir où elle se plaisait à vivre
Ardel-Henri_Le-chemin-qui-descend_<Charlotte de Ryeux-1611>_44358,"vivre , y trouvant toutes ses aises: un large divan"
Ardel-Henri_Le-chemin-qui-descend_<Charlotte de Ryeux-1611>_44369,"de coussins , doux à son indolence; de hautes glaces"
Ardel-Henri_Le-chemin-qui-descend_<Charlotte de Ryeux-1611>_44375,indolence; de hautes glaces qui lui permettaient de soigner et
Ardel-Henri_Le-chemin-qui-descend_<Charlotte de Ryeux-1611>_44382,de soigner et de contempler sa beauté blonde; des tables
Ardel-Henri_Le-chemin-qui-descend_<Charlotte de Ryeux-1611>_44402,", utiles ou chers à sa coquetterie; le bureau où"
Ardel-Henri_Le-chemin-qui-descend_<Charlotte de Ryeux-1611>_44407,sa coquetterie; le bureau où elle griffonnait sa correspondance mondaine
Ardel-Henri_Le-chemin-qui-descend_<Charlotte de Ryeux-1611>_44409,le bureau où elle griffonnait sa correspondance mondaine . Elle
Ardel-Henri_Le-chemin-qui-descend_<Charlotte de Ryeux-1611>_44413,griffonnait sa correspondance mondaine . Elle venait de rentrer un
Ardel-Henri_Le-chemin-qui-descend_<Charlotte de Ryeux-1611>_44444,"au milieu des coussins , elle bavardait avec son amie"
Ardel-Henri_Le-chemin-qui-descend_<Charlotte de Ryeux-1611>_44447,"coussins , elle bavardait avec son amie . Lola grignotait"
Ardel-Henri_Le-chemin-qui-descend_<Charlotte de Ryeux-1611>_44450,bavardait avec son amie . Lola grignotait un biscuit qu'
Ardel-Henri_Le-chemin-qui-descend_<Charlotte de Ryeux-1611>_44455,Lola grignotait un biscuit qu' elle trempait dans son verre
Ardel-Henri_Le-chemin-qui-descend_<Charlotte de Ryeux-1611>_44458,"biscuit qu' elle trempait dans son verre , tandis que"
Ardel-Henri_Le-chemin-qui-descend_<Charlotte de Ryeux-1611>_44463,"son verre , tandis que Charlotte allumait une cigarette ."
Ardel-Henri_Le-chemin-qui-descend_<Charlotte de Ryeux-1611>_44469,allumait une cigarette . —Donne - moi un peu de
Ardel-Henri_Le-chemin-qui-descend_<Charlotte de Ryeux-1611>_44479,champagne . . . veux - tu? Lolita . L'
Ardel-Henri_Le-chemin-qui-descend_<Charlotte de Ryeux-1611>_44481,. . veux - tu? Lolita . L' Argentine obéit
Ardel-Henri_Le-chemin-qui-descend_<Charlotte de Ryeux-1611>_44483,"veux - tu? Lolita . L' Argentine obéit , tout"
Ardel-Henri_Le-chemin-qui-descend_<Charlotte de Ryeux-1611>_44495,"—Est - ce vrai , Lotte , que , ce"
Ardel-Henri_Le-chemin-qui-descend_<Charlotte de Ryeux-1611>_44502,"que , ce soir , vous emmenez Mlle Suzore à"
Ardel-Henri_Le-chemin-qui-descend_<Charlotte de Ryeux-1611>_44511,à l' Opéra - Comique? Charlotte inclina la tête: —Oui
Ardel-Henri_Le-chemin-qui-descend_<Charlotte de Ryeux-1611>_44563,parfait élément de succès pour mes «Vendredis» . Lola eut
Ardel-Henri_Le-chemin-qui-descend_<Charlotte de Ryeux-1611>_44566,succès pour mes «Vendredis» . Lola eut un petit rire
Ardel-Henri_Le-chemin-qui-descend_<Charlotte de Ryeux-1611>_44589,sa cigarette . —Pourquoi ris - tu? Lolita . —Parce
Ardel-Henri_Le-chemin-qui-descend_<Charlotte de Ryeux-1611>_44591,. —Pourquoi ris - tu? Lolita . —Parce que je
Ardel-Henri_Le-chemin-qui-descend_<Charlotte de Ryeux-1611>_44598,—Parce que je trouve comique ton idée que Raymond veut
Ardel-Henri_Le-chemin-qui-descend_<Charlotte de Ryeux-1611>_44622,pas du tout qu' on la traitât sans déférence; même
Ardel-Henri_Le-chemin-qui-descend_<Charlotte de Ryeux-1611>_44633,"l' impertinente fût - elle Lola; et , un peu"
Ardel-Henri_Le-chemin-qui-descend_<Charlotte de Ryeux-1611>_44659,quoi! —Elle est naïve! fit Lola imperturbable . —Comment naïve?
Ardel-Henri_Le-chemin-qui-descend_<Charlotte de Ryeux-1611>_44667,"—Comment naïve? —Bien sûr , Lotte chérie . . ."
Ardel-Henri_Le-chemin-qui-descend_<Charlotte de Ryeux-1611>_44697,à lui» . . . tu peux être sûre qu'
Ardel-Henri_Le-chemin-qui-descend_<Charlotte de Ryeux-1611>_44714,", passer la soirée avec elle . . . Tu"
Ardel-Henri_Le-chemin-qui-descend_<Charlotte de Ryeux-1611>_44718,avec elle . . . Tu ne t' es donc
Ardel-Henri_Le-chemin-qui-descend_<Charlotte de Ryeux-1611>_44732,"ce moment , c' est elle qui tient la corde?"
Ardel-Henri_Le-chemin-qui-descend_<Charlotte de Ryeux-1611>_44740,"la corde? Une seconde , Charlotte cessa de fumer et"
Ardel-Henri_Le-chemin-qui-descend_<Charlotte de Ryeux-1611>_44745,Charlotte cessa de fumer et ses yeux cherchèrent ceux de
Ardel-Henri_Le-chemin-qui-descend_<Charlotte de Ryeux-1611>_44750,"ses yeux cherchèrent ceux de Lola , désireuse de voir"
Ardel-Henri_Le-chemin-qui-descend_<Charlotte de Ryeux-1611>_44756,", désireuse de voir si la jeune fille plaisantait ou"
Ardel-Henri_Le-chemin-qui-descend_<Charlotte de Ryeux-1611>_44767,". Puis , tranquillement , elle dit , tiraillant une"
Ardel-Henri_Le-chemin-qui-descend_<Charlotte de Ryeux-1611>_44778,"mèche sur la nuque de Lola , assise à ses"
Ardel-Henri_Le-chemin-qui-descend_<Charlotte de Ryeux-1611>_44782,"de Lola , assise à ses pieds: —Tu crois ,"
Ardel-Henri_Le-chemin-qui-descend_<Charlotte de Ryeux-1611>_44787,"ses pieds: —Tu crois , Lolita , qu' elle est"
Ardel-Henri_Le-chemin-qui-descend_<Charlotte de Ryeux-1611>_44790,"crois , Lolita , qu' elle est sa maîtresse? —Ça"
Ardel-Henri_Le-chemin-qui-descend_<Charlotte de Ryeux-1611>_44792,"Lolita , qu' elle est sa maîtresse? —Ça , non"
Ardel-Henri_Le-chemin-qui-descend_<Charlotte de Ryeux-1611>_44798,"maîtresse? —Ça , non , je ne crois pas! —Pourquoi?"
Ardel-Henri_Le-chemin-qui-descend_<Charlotte de Ryeux-1611>_44811,"dont il tourne autour d' elle , il ne paraît"
Ardel-Henri_Le-chemin-qui-descend_<Charlotte de Ryeux-1611>_44853,—Lola! . . . oh! Lolita! . . . fit
Ardel-Henri_Le-chemin-qui-descend_<Charlotte de Ryeux-1611>_44858,"Lolita! . . . fit Charlotte en riant , que"
Ardel-Henri_Le-chemin-qui-descend_<Charlotte de Ryeux-1611>_44863,"Charlotte en riant , que tu es inconvenante! Tu as"
Ardel-Henri_Le-chemin-qui-descend_<Charlotte de Ryeux-1611>_44866,", que tu es inconvenante! Tu as les yeux horriblement"
Ardel-Henri_Le-chemin-qui-descend_<Charlotte de Ryeux-1611>_44880,"C' est drôle , mais je n' avais pas eu"
Ardel-Henri_Le-chemin-qui-descend_<Charlotte de Ryeux-1611>_44887,avais pas eu du tout ton idée au sujet de
Ardel-Henri_Le-chemin-qui-descend_<Charlotte de Ryeux-1611>_44902,". . . Non , je n' avais pas pensé"
Ardel-Henri_Le-chemin-qui-descend_<Charlotte de Ryeux-1611>_44911,pensé à cette possibilité . Je le croyais toujours occupé
Ardel-Henri_Le-chemin-qui-descend_<Charlotte de Ryeux-1611>_44934,"empêche pas l' autre! marmotta Lola , qui était fort"
Ardel-Henri_Le-chemin-qui-descend_<Charlotte de Ryeux-1611>_44936,"l' autre! marmotta Lola , qui était fort au courant"
Ardel-Henri_Le-chemin-qui-descend_<Charlotte de Ryeux-1611>_44947,tous les potinages mondains . Charlotte ne répondit pas .
Ardel-Henri_Le-chemin-qui-descend_<Charlotte de Ryeux-1611>_44952,Charlotte ne répondit pas . Elle était toute à l'
Ardel-Henri_Le-chemin-qui-descend_<Charlotte de Ryeux-1611>_44961,l' idée neuve jetée par Lola en son cerveau .
Ardel-Henri_Le-chemin-qui-descend_<Charlotte de Ryeux-1611>_44963,neuve jetée par Lola en son cerveau . Mais ce
Ardel-Henri_Le-chemin-qui-descend_<Charlotte de Ryeux-1611>_44975,"accent très sincèrement détaché qu' elle conclut: —Après tout ,"
Ardel-Henri_Le-chemin-qui-descend_<Charlotte de Ryeux-1611>_44997,"faut toujours un joujou , j' aime autant qu' il"
Ardel-Henri_Le-chemin-qui-descend_<Charlotte de Ryeux-1611>_45010,pas parmi les amies que je suis obligée de recevoir
Ardel-Henri_Le-chemin-qui-descend_<Charlotte de Ryeux-1611>_45026,commode et plus agréable pour moi . . . Avec
Ardel-Henri_Le-chemin-qui-descend_<Charlotte de Ryeux-1611>_45033,". . Avec désinvolture , Lola approuva: —Oui , tu"
