,text_surronding
"Balzac-Honore-de_La-Maison-du-chat-qui-pelote_<un homme long , fluet , vêtu de noir-91>_1389","à coup je vis apparaître un homme long , fluet"
"Balzac-Honore-de_La-Maison-du-chat-qui-pelote_<un homme long , fluet , vêtu de noir-91>_1400","vêtu de noir , tenant son chapeau à la main"
"Balzac-Honore-de_La-Maison-du-chat-qui-pelote_<un homme long , fluet , vêtu de noir-91>_1407","à la main , et qui se présenta comme un"
"Balzac-Honore-de_La-Maison-du-chat-qui-pelote_<un homme long , fluet , vêtu de noir-91>_1455",huissier d' un ministre . Cet inconnu portait un vieil
"Balzac-Honore-de_La-Maison-du-chat-qui-pelote_<un homme long , fluet , vêtu de noir-91>_1470",sur les plis ; mais il avait un diamant au
"Balzac-Honore-de_La-Maison-du-chat-qui-pelote_<un homme long , fluet , vêtu de noir-91>_1477",un diamant au jabot de sa chemise et des boucles
"Balzac-Honore-de_La-Maison-du-chat-qui-pelote_<un homme long , fluet , vêtu de noir-91>_1485",des boucles d' or à ses oreilles . – Monsieur
"Balzac-Honore-de_La-Maison-du-chat-qui-pelote_<un homme long , fluet , vêtu de noir-91>_1501",l' honneur de parler ? lui dis - je .
"Balzac-Honore-de_La-Maison-du-chat-qui-pelote_<un homme long , fluet , vêtu de noir-91>_1506",lui dis - je . Il s' assit sur une
"Balzac-Honore-de_La-Maison-du-chat-qui-pelote_<un homme long , fluet , vêtu de noir-91>_1513","assit sur une chaise , se mit devant mon feu"
"Balzac-Honore-de_La-Maison-du-chat-qui-pelote_<un homme long , fluet , vêtu de noir-91>_1519","mit devant mon feu , posa son chapeau sur ma"
"Balzac-Honore-de_La-Maison-du-chat-qui-pelote_<un homme long , fluet , vêtu de noir-91>_1520","devant mon feu , posa son chapeau sur ma table"
"Balzac-Honore-de_La-Maison-du-chat-qui-pelote_<un homme long , fluet , vêtu de noir-91>_1528","ma table , et me répondit en se frottant les"
"Balzac-Honore-de_La-Maison-du-chat-qui-pelote_<un homme long , fluet , vêtu de noir-91>_1545","bien froid . Monsieur , je suis monsieur Regnault ."
"Balzac-Honore-de_La-Maison-du-chat-qui-pelote_<un homme long , fluet , vêtu de noir-91>_1563",moi - même : – Il bondo cani ! Cherche
"Balzac-Honore-de_La-Maison-du-chat-qui-pelote_<un homme long , fluet , vêtu de noir-91>_1570","cani ! Cherche . – Je suis , reprit -"
"Balzac-Honore-de_La-Maison-du-chat-qui-pelote_<un homme long , fluet , vêtu de noir-91>_1574","– Je suis , reprit - il , notaire à"
"Balzac-Honore-de_La-Maison-du-chat-qui-pelote_<un homme long , fluet , vêtu de noir-91>_1616","– Petit moment , reprit - il en levant la"
"Balzac-Honore-de_La-Maison-du-chat-qui-pelote_<un homme long , fluet , vêtu de noir-91>_1634",", monsieur , permettez ! J' ai appris que vous"
"Balzac-Honore-de_La-Maison-du-chat-qui-pelote_<un homme long , fluet , vêtu de noir-91>_1638",! J' ai appris que vous alliez vous promener quelquefois
"Balzac-Honore-de_La-Maison-du-chat-qui-pelote_<un homme long , fluet , vêtu de noir-91>_1661",– Petit moment ! dit - il en répétant son
"Balzac-Honore-de_La-Maison-du-chat-qui-pelote_<un homme long , fluet , vêtu de noir-91>_1665","dit - il en répétant son geste , cette action"
"Balzac-Honore-de_La-Maison-du-chat-qui-pelote_<un homme long , fluet , vêtu de noir-91>_1677","véritable délit . Monsieur , je viens , au nom"
"Balzac-Honore-de_La-Maison-du-chat-qui-pelote_<un homme long , fluet , vêtu de noir-91>_1698",", vous prier de discontinuer vos visites . Petit moment"
"Balzac-Honore-de_La-Maison-du-chat-qui-pelote_<un homme long , fluet , vêtu de noir-91>_1704",visites . Petit moment ! Je ne suis pas un
"Balzac-Honore-de_La-Maison-du-chat-qui-pelote_<un homme long , fluet , vêtu de noir-91>_1712",pas un Turc et ne veux point vous en faire
"Balzac-Honore-de_La-Maison-du-chat-qui-pelote_<un homme long , fluet , vêtu de noir-91>_1732",d' ignorer les circonstances qui m' obligent à laisser tomber
"Balzac-Honore-de_La-Maison-du-chat-qui-pelote_<un homme long , fluet , vêtu de noir-91>_1799",excuse à votre curiosité . Je ne demanderais pas mieux
"Balzac-Honore-de_La-Maison-du-chat-qui-pelote_<un homme long , fluet , vêtu de noir-91>_1828","volontés de la testatrice , j' ai l' honneur ,"
"Balzac-Honore-de_La-Maison-du-chat-qui-pelote_<un homme long , fluet , vêtu de noir-91>_1846","entrer dans le jardin . Moi - même , monsieur"
"Balzac-Honore-de_La-Maison-du-chat-qui-pelote_<un homme long , fluet , vêtu de noir-91>_1858","l' ouverture du testament , je n' ai pas mis"
"Balzac-Honore-de_La-Maison-du-chat-qui-pelote_<un homme long , fluet , vêtu de noir-91>_1873",", qui dépend , comme j' ai eu l' honneur"
"Balzac-Honore-de_La-Maison-du-chat-qui-pelote_<un homme long , fluet , vêtu de noir-91>_1907",d' asseoir les impôts que je paye annuellement sur des
"Balzac-Honore-de_La-Maison-du-chat-qui-pelote_<un homme long , fluet , vêtu de noir-91>_1924","la comtesse . Ah ! mon cher monsieur , son"
"Balzac-Honore-de_La-Maison-du-chat-qui-pelote_<un homme long , fluet , vêtu de noir-91>_1940","dans Vendôme ! Là , il s' arrêta pour se"
"Balzac-Honore-de_La-Maison-du-chat-qui-pelote_<un homme long , fluet , vêtu de noir-91>_1947","arrêta pour se moucher , le digne homme ! Je"
"Balzac-Honore-de_La-Maison-du-chat-qui-pelote_<un homme long , fluet , vêtu de noir-91>_1951",", le digne homme ! Je respectai sa loquacité ,"
"Balzac-Honore-de_La-Maison-du-chat-qui-pelote_<un homme long , fluet , vêtu de noir-91>_1953","digne homme ! Je respectai sa loquacité , comprenant à"
"Balzac-Honore-de_La-Maison-du-chat-qui-pelote_<un homme long , fluet , vêtu de noir-91>_1987",", sa Restauration . Il me fallait dire adieu à"
"Balzac-Honore-de_La-Maison-du-chat-qui-pelote_<un homme long , fluet , vêtu de noir-91>_1992","me fallait dire adieu à mes belles rêveries , à"
"Balzac-Honore-de_La-Maison-du-chat-qui-pelote_<un homme long , fluet , vêtu de noir-91>_1997","mes belles rêveries , à mes romans ; je ne"
