,text_surronding
Balzac-Honore-de_La-Paix-du-menage_<le colonel-483>_9961,"la salle de jeu , le colonel pouvait rire incognito"
Balzac-Honore-de_La-Paix-du-menage_<le colonel-483>_9967,"colonel pouvait rire incognito sous ses amples moustaches , il"
Balzac-Honore-de_La-Paix-du-menage_<le colonel-483>_9971,"sous ses amples moustaches , il jouissait du plaisir de"
Balzac-Honore-de_La-Paix-du-menage_<le colonel-483>_9982,le tumulte du bal ; il voyait cent jolies têtes
Balzac-Honore-de_La-Paix-du-menage_<le colonel-483>_9996,caprices de la danse ; il lisait sur quelques figures
Balzac-Honore-de_La-Paix-du-menage_<le colonel-483>_10027,"en détournant la tête , il se demandait quel rapport"
Balzac-Honore-de_La-Paix-du-menage_<le colonel-483>_10087,"roi de la fête , il trouvait dans ce tableau"
Balzac-Honore-de_La-Paix-du-menage_<le colonel-483>_10100,"complète du monde , et il en riait en recueillant"
Balzac-Honore-de_La-Paix-du-menage_<le colonel-483>_10203,"Grandlieu à la comtesse , vous êtes à un âge"
Balzac-Honore-de_La-Paix-du-menage_<le colonel-483>_10217,bien des fautes . En vous voyant souffrir tout à
Balzac-Honore-de_La-Paix-du-menage_<le colonel-483>_10233,ai eu la pensée de vous donner quelques avis charitables
Balzac-Honore-de_La-Paix-du-menage_<le colonel-483>_10293,", mon cœur , à vous procurer des ennemis adroits"
Balzac-Honore-de_La-Paix-du-menage_<le colonel-483>_10306,"sans esprit de conduite , vous verrez quelle jolie petite"
Balzac-Honore-de_La-Paix-du-menage_<le colonel-483>_10312,verrez quelle jolie petite vie vous mènerez un jour .
Balzac-Honore-de_La-Paix-du-menage_<le colonel-483>_10320,"jour . – Ah ! madame , une femme a"
Balzac-Honore-de_La-Paix-du-menage_<le colonel-483>_10355,"faut savoir choisir , à votre âge , entre les"
Balzac-Honore-de_La-Paix-du-menage_<le colonel-483>_10365,"plaisirs et le bonheur . Vous voulez épouser Martial ,"
Balzac-Honore-de_La-Paix-du-menage_<le colonel-483>_10403,il est homme à dévorer votre fortune ; mais ce
Balzac-Honore-de_La-Paix-du-menage_<le colonel-483>_10413,ne serait rien s' il vous donnait le bonheur .
Balzac-Honore-de_La-Paix-du-menage_<le colonel-483>_10420,le bonheur . Ne voyez - vous combien il est
Balzac-Honore-de_La-Paix-du-menage_<le colonel-483>_10543,"femme qu' il voit en vous , mais les deux"
Balzac-Honore-de_La-Paix-du-menage_<le colonel-483>_10550,mais les deux millions que vous possédez ? Il ne
Balzac-Honore-de_La-Paix-du-menage_<le colonel-483>_10555,"vous possédez ? Il ne vous aime pas , ma"
Balzac-Honore-de_La-Paix-du-menage_<le colonel-483>_10563,", ma chère , il vous calcule comme s' il"
Balzac-Honore-de_La-Paix-du-menage_<le colonel-483>_10575,"d' une affaire . Si vous voulez vous marier ,"
Balzac-Honore-de_La-Paix-du-menage_<le colonel-483>_10640,"doit être une spéculation pour vous , et il faut"
Balzac-Honore-de_La-Paix-du-menage_<le colonel-483>_10647,"et il faut , en vous remariant , avoir au"
Balzac-Honore-de_La-Paix-du-menage_<le colonel-483>_10656,au moins l' espoir de vous entendre nommer un jour
