,text_surronding
Balzac-Honore-de_Le-Medecin-de-campagne_<ma-4504>_76130,Cette atmosphère dut influer sur ma conduite et sur mes
Balzac-Honore-de_Le-Medecin-de-campagne_<ma-4504>_76134,sur ma conduite et sur mes sentiments . Les fautes
Balzac-Honore-de_Le-Medecin-de-campagne_<ma-4504>_76141,. Les fautes qui empoisonnèrent mes jours eussent été d'
Balzac-Honore-de_Le-Medecin-de-campagne_<ma-4504>_76198,". À l' époque où j' étudiais la médecine ,"
Balzac-Honore-de_Le-Medecin-de-campagne_<ma-4504>_76240,"stimulé par la vigueur de mes passions , et ne"
Balzac-Honore-de_Le-Medecin-de-campagne_<ma-4504>_76281,pour procurer les plaisirs qui me tentaient ; flottant entre
Balzac-Honore-de_Le-Medecin-de-campagne_<ma-4504>_76286,me tentaient ; flottant entre mes pudeurs secrètes et les
Balzac-Honore-de_Le-Medecin-de-campagne_<ma-4504>_76315,"à la bonne compagnie , je passai de tristes jours"
Balzac-Honore-de_Le-Medecin-de-campagne_<ma-4504>_76356,chez les jeunes gens . J' ai toujours eu la
Balzac-Honore-de_Le-Medecin-de-campagne_<ma-4504>_76378,", la franchise involontaire de mes sentiments m' empêche de"
Balzac-Honore-de_Le-Medecin-de-campagne_<ma-4504>_76380,franchise involontaire de mes sentiments m' empêche de les dissimuler
Balzac-Honore-de_Le-Medecin-de-campagne_<ma-4504>_76387,de les dissimuler ; il m' eût donc été physiquement
Balzac-Honore-de_Le-Medecin-de-campagne_<ma-4504>_76408,"plaisirs pris en hâte ne me séduisent guère , j'"
Balzac-Honore-de_Le-Medecin-de-campagne_<ma-4504>_76412,"ne me séduisent guère , j' aime à savourer le"
Balzac-Honore-de_Le-Medecin-de-campagne_<ma-4504>_76425,"étant pas franchement vicieux , je me trouvais sans force"
Balzac-Honore-de_Le-Medecin-de-campagne_<ma-4504>_76431,"me trouvais sans force contre mon isolement , après tant"
Balzac-Honore-de_Le-Medecin-de-campagne_<ma-4504>_76448,"le grand monde , où j' eusse pu rencontrer une"
Balzac-Honore-de_Le-Medecin-de-campagne_<ma-4504>_76459,qui se fût dévouée à m' expliquer les écueils de
Balzac-Honore-de_Le-Medecin-de-campagne_<ma-4504>_76468,"de chaque route , à me donner d' excellentes manières"
Balzac-Honore-de_Le-Medecin-de-campagne_<ma-4504>_76475,"d' excellentes manières , à me conseiller sans révolter mon"
Balzac-Honore-de_Le-Medecin-de-campagne_<ma-4504>_76479,"à me conseiller sans révolter mon orgueil , et à"
Balzac-Honore-de_Le-Medecin-de-campagne_<ma-4504>_76484,"mon orgueil , et à m' introduire partout où j'"
Balzac-Honore-de_Le-Medecin-de-campagne_<ma-4504>_76488,à m' introduire partout où j' eusse trouvé des relations
Balzac-Honore-de_Le-Medecin-de-campagne_<ma-4504>_76495,trouvé des relations utiles à mon avenir . Dans mon
Balzac-Honore-de_Le-Medecin-de-campagne_<ma-4504>_76499,"à mon avenir . Dans mon désespoir , la plus"
Balzac-Honore-de_Le-Medecin-de-campagne_<ma-4504>_76508,plus dangereuse des bonnes fortunes m' eût séduit peut -
Balzac-Honore-de_Le-Medecin-de-campagne_<ma-4504>_76517,"- être ; mais tout me manquait , même le"
Balzac-Honore-de_Le-Medecin-de-campagne_<ma-4504>_76527,péril ! et l' inexpérience me ramenait dans ma solitude
Balzac-Honore-de_Le-Medecin-de-campagne_<ma-4504>_76530,"l' inexpérience me ramenait dans ma solitude , où je"
Balzac-Honore-de_Le-Medecin-de-campagne_<ma-4504>_76534,"dans ma solitude , où je restais face à face"
Balzac-Honore-de_Le-Medecin-de-campagne_<ma-4504>_76540,restais face à face avec mes passions trompées . Enfin
Balzac-Honore-de_Le-Medecin-de-campagne_<ma-4504>_76548,". Enfin , monsieur , je formai des liaisons ,"
Balzac-Honore-de_Le-Medecin-de-campagne_<ma-4504>_76563,une jeune fille à laquelle je m' attachaiErreur du Furne
Balzac-Honore-de_Le-Medecin-de-campagne_<ma-4504>_76608,ce qu' elle eût épousé mon sort . Cette jeune
Balzac-Honore-de_Le-Medecin-de-campagne_<ma-4504>_76629,"fortunée , quitta bientôt pour moi sa vie modeste ,"
Balzac-Honore-de_Le-Medecin-de-campagne_<ma-4504>_76635,"sa vie modeste , et me confia sans crainte un"
Balzac-Honore-de_Le-Medecin-de-campagne_<ma-4504>_76652,beau . La médiocrité de ma situation lui parut sans
Balzac-Honore-de_Le-Medecin-de-campagne_<ma-4504>_76670,"instant , les orages qui me troublaient le cœur ,"
Balzac-Honore-de_Le-Medecin-de-campagne_<ma-4504>_76675,"me troublaient le cœur , mes désirs extravagants , mon"
Balzac-Honore-de_Le-Medecin-de-campagne_<ma-4504>_76679,", mes désirs extravagants , mon ambition , tout s'"
Balzac-Honore-de_Le-Medecin-de-campagne_<ma-4504>_76828,qui font des fautes ; j' étais de ces derniers
Balzac-Honore-de_Le-Medecin-de-campagne_<ma-4504>_76834,étais de ces derniers . Mon premier attachement ne fut
Balzac-Honore-de_Le-Medecin-de-campagne_<ma-4504>_76846,"abord une passion vraie , je suivis mon instinct et"
Balzac-Honore-de_Le-Medecin-de-campagne_<ma-4504>_76848,"passion vraie , je suivis mon instinct et non mon"
Balzac-Honore-de_Le-Medecin-de-campagne_<ma-4504>_76852,suivis mon instinct et non mon cœur . Je sacrifiai
Balzac-Honore-de_Le-Medecin-de-campagne_<ma-4504>_76855,et non mon cœur . Je sacrifiai une pauvre fille
Balzac-Honore-de_Le-Medecin-de-campagne_<ma-4504>_76861,"sacrifiai une pauvre fille à moi - même , et"
Balzac-Honore-de_Le-Medecin-de-campagne_<ma-4504>_76867,"- même , et ne manquai pas d' excellentes raisons"
Balzac-Honore-de_Le-Medecin-de-campagne_<ma-4504>_76873,pas d' excellentes raisons pour me persuader que je ne
Balzac-Honore-de_Le-Medecin-de-campagne_<ma-4504>_76876,raisons pour me persuader que je ne faisais rien de
Balzac-Honore-de_Le-Medecin-de-campagne_<ma-4504>_76908,belle âme . Elle ne m' a jamais donné que
Balzac-Honore-de_Le-Medecin-de-campagne_<ma-4504>_76923,"abord , son amour réchauffa mon courage ; puis elle"
Balzac-Honore-de_Le-Medecin-de-campagne_<ma-4504>_76928,mon courage ; puis elle me contraignit doucement à reprendre
Balzac-Honore-de_Le-Medecin-de-campagne_<ma-4504>_76933,"me contraignit doucement à reprendre mes études , en croyant"
Balzac-Honore-de_Le-Medecin-de-campagne_<ma-4504>_76939,"études , en croyant à moi , me prédisant des"
Balzac-Honore-de_Le-Medecin-de-campagne_<ma-4504>_76941,"en croyant à moi , me prédisant des succès ,"
Balzac-Honore-de_Le-Medecin-de-campagne_<ma-4504>_76992,"jeune fille s' oublia pour moi , partagea ma vie"
Balzac-Honore-de_Le-Medecin-de-campagne_<ma-4504>_76995,"oublia pour moi , partagea ma vie dans tous ses"
Balzac-Honore-de_Le-Medecin-de-campagne_<ma-4504>_77011,fit trouver du luxe dans ma médiocrité . J' eus
Balzac-Honore-de_Le-Medecin-de-campagne_<ma-4504>_77014,luxe dans ma médiocrité . J' eus plus d' argent
Balzac-Honore-de_Le-Medecin-de-campagne_<ma-4504>_77020,eus plus d' argent pour mes fantaisies quand nous fûmes
Balzac-Honore-de_Le-Medecin-de-campagne_<ma-4504>_77028,nous fûmes deux que lorsque j' étais seul . Ce
Balzac-Honore-de_Le-Medecin-de-campagne_<ma-4504>_77037,"Ce fut , monsieur , mon plus beau temps ."
Balzac-Honore-de_Le-Medecin-de-campagne_<ma-4504>_77042,"mon plus beau temps . Je travaillais avec ardeur ,"
Balzac-Honore-de_Le-Medecin-de-campagne_<ma-4504>_77047,"Je travaillais avec ardeur , j' avais un but ,"
Balzac-Honore-de_Le-Medecin-de-campagne_<ma-4504>_77052,"j' avais un but , j' étais encouragé ; je"
