,text_surronding
Balzac-Honore-de_Les-Parents-pauvres-La-Cousine-Bette_<une parente du côté maternel-3637>_66706,"du fond des Vosges , une parente du côté maternel"
Balzac-Honore-de_Les-Parents-pauvres-La-Cousine-Bette_<une parente du côté maternel-3637>_66720,"l' évêque de Nancy , vieille fille pieuse et d'"
Balzac-Honore-de_Les-Parents-pauvres-La-Cousine-Bette_<une parente du côté maternel-3637>_66731,"excessive probité . Craignant néanmoins son inexpérience à Paris ,"
Balzac-Honore-de_Les-Parents-pauvres-La-Cousine-Bette_<une parente du côté maternel-3637>_66753,"si fragiles , Lisbeth accompagnait Mathurine à la grande Halle"
Balzac-Honore-de_Les-Parents-pauvres-La-Cousine-Bette_<une parente du côté maternel-3637>_66762,"Halle , et tâchait de l' habituer à savoir acheter"
Balzac-Honore-de_Les-Parents-pauvres-La-Cousine-Bette_<une parente du côté maternel-3637>_66837,l' économie domestique . Comme Mathurine touchait de bons gages
Balzac-Honore-de_Les-Parents-pauvres-La-Cousine-Bette_<une parente du côté maternel-3637>_66845,"bons gages , qu' on l' accablait de cadeaux ,"
Balzac-Honore-de_Les-Parents-pauvres-La-Cousine-Bette_<une parente du côté maternel-3637>_66850,"l' accablait de cadeaux , elle aimait assez la maison"
Balzac-Honore-de_Les-Parents-pauvres-La-Cousine-Bette_<une parente du côté maternel-3637>_66867,"Aussi depuis quelque temps rivalisait - elle avec Lisbeth ,"
Balzac-Honore-de_Les-Parents-pauvres-La-Cousine-Bette_<une parente du côté maternel-3637>_66870,"temps rivalisait - elle avec Lisbeth , qui la trouvait"
Balzac-Honore-de_Les-Parents-pauvres-La-Cousine-Bette_<une parente du côté maternel-3637>_66872,"- elle avec Lisbeth , qui la trouvait assez formée"
Balzac-Honore-de_Les-Parents-pauvres-La-Cousine-Bette_<une parente du côté maternel-3637>_66873,"elle avec Lisbeth , qui la trouvait assez formée ,"
Balzac-Honore-de_Les-Parents-pauvres-La-Cousine-Bette_<une parente du côté maternel-3637>_66925,; mais sa passion pour madame Marneffe était en peu
Balzac-Honore-de_Les-Parents-pauvres-La-Cousine-Bette_<une parente du côté maternel-3637>_66942,"avide , qu' il désira la quitter le moins possible"
Balzac-Honore-de_Les-Parents-pauvres-La-Cousine-Bette_<une parente du côté maternel-3637>_66988,à titre de pension . Madame Marneffe invitait les personnes
Balzac-Honore-de_Les-Parents-pauvres-La-Cousine-Bette_<une parente du côté maternel-3637>_66994,Marneffe invitait les personnes que son cher baron désirait traiter
Balzac-Honore-de_Les-Parents-pauvres-La-Cousine-Bette_<une parente du côté maternel-3637>_67022,trois à l' improviste . Lisbeth réalisa par son économie
Balzac-Honore-de_Les-Parents-pauvres-La-Cousine-Bette_<une parente du côté maternel-3637>_67025,improviste . Lisbeth réalisa par son économie le problème extraordinaire
Balzac-Honore-de_Les-Parents-pauvres-La-Cousine-Bette_<une parente du côté maternel-3637>_67049,mille francs par mois à madame Marneffe . La toilette
Balzac-Honore-de_Les-Parents-pauvres-La-Cousine-Bette_<une parente du côté maternel-3637>_67055,Marneffe . La toilette de Valérie étant payée largement par
Balzac-Honore-de_Les-Parents-pauvres-La-Cousine-Bette_<une parente du côté maternel-3637>_67083,"sur cette dépense . Aussi cette femme si pure ,"
Balzac-Honore-de_Les-Parents-pauvres-La-Cousine-Bette_<une parente du côté maternel-3637>_67092,", si candide , possédait - elle alors environ cent"
Balzac-Honore-de_Les-Parents-pauvres-La-Cousine-Bette_<une parente du côté maternel-3637>_67103,mille francs d' économies . Elle avait accumulé ses rentes
Balzac-Honore-de_Les-Parents-pauvres-La-Cousine-Bette_<une parente du côté maternel-3637>_67106,économies . Elle avait accumulé ses rentes et ses bénéfices
Balzac-Honore-de_Les-Parents-pauvres-La-Cousine-Bette_<une parente du côté maternel-3637>_67109,avait accumulé ses rentes et ses bénéfices mensuels en les
Balzac-Honore-de_Les-Parents-pauvres-La-Cousine-Bette_<une parente du côté maternel-3637>_67146,financières . Crevel avait initié Valérie à l' argot et
Balzac-Honore-de_Les-Parents-pauvres-La-Cousine-Bette_<une parente du côté maternel-3637>_67164,"comme toutes les Parisiennes , elle était promptement devenue plus"
Balzac-Honore-de_Les-Parents-pauvres-La-Cousine-Bette_<une parente du côté maternel-3637>_67171,"promptement devenue plus forte que son maître . Lisbeth ,"
Balzac-Honore-de_Les-Parents-pauvres-La-Cousine-Bette_<une parente du côté maternel-3637>_67174,"forte que son maître . Lisbeth , qui ne dépensait"
Balzac-Honore-de_Les-Parents-pauvres-La-Cousine-Bette_<une parente du côté maternel-3637>_67176,"son maître . Lisbeth , qui ne dépensait pas un"
Balzac-Honore-de_Les-Parents-pauvres-La-Cousine-Bette_<une parente du côté maternel-3637>_67183,"dépensait pas un liard de ses douze cents francs ,"
Balzac-Honore-de_Les-Parents-pauvres-La-Cousine-Bette_<une parente du côté maternel-3637>_67197,"la toilette étaient payés , qui ne sortait pas un"
Balzac-Honore-de_Les-Parents-pauvres-La-Cousine-Bette_<une parente du côté maternel-3637>_67204,"sortait pas un sou de sa poche , possédait également"
Balzac-Honore-de_Les-Parents-pauvres-La-Cousine-Bette_<une parente du côté maternel-3637>_67220,six mille francs que Crevel lui faisait paternellement valoir .
Balzac-Honore-de_Les-Parents-pauvres-La-Cousine-Bette_<une parente du côté maternel-3637>_67239,néanmoins une rude charge pour Valérie . Le jour où
Balzac-Honore-de_Les-Parents-pauvres-La-Cousine-Bette_<une parente du côté maternel-3637>_67277,"s' amassent les essaims , Valérie était montée chez Lisbeth"
Balzac-Honore-de_Les-Parents-pauvres-La-Cousine-Bette_<une parente du côté maternel-3637>_67281,", Valérie était montée chez Lisbeth pour s' y livrer"
Balzac-Honore-de_Les-Parents-pauvres-La-Cousine-Bette_<une parente du côté maternel-3637>_67316,"de leur vie . – Lisbeth , mon amour ,"
Balzac-Honore-de_Les-Parents-pauvres-La-Cousine-Bette_<une parente du côté maternel-3637>_67318,"vie . – Lisbeth , mon amour , ce matin"
Balzac-Honore-de_Les-Parents-pauvres-La-Cousine-Bette_<une parente du côté maternel-3637>_67339,assommant ! Oh ! comme je voudrais pouvoir t' y
Balzac-Honore-de_Les-Parents-pauvres-La-Cousine-Bette_<une parente du côté maternel-3637>_67342,! comme je voudrais pouvoir t' y envoyer à ma
Balzac-Honore-de_Les-Parents-pauvres-La-Cousine-Bette_<une parente du côté maternel-3637>_67346,pouvoir t' y envoyer à ma place !– Malheureusement cela
Balzac-Honore-de_Les-Parents-pauvres-La-Cousine-Bette_<une parente du côté maternel-3637>_67357,"se peut pas , dit Lisbeth en souriant . Je"
Balzac-Honore-de_Les-Parents-pauvres-La-Cousine-Bette_<une parente du côté maternel-3637>_67361,dit Lisbeth en souriant . Je mourrai vierge . –
Balzac-Honore-de_Les-Parents-pauvres-La-Cousine-Bette_<une parente du côté maternel-3637>_67378,y a des moments où j' ai honte de moi
Balzac-Honore-de_Les-Parents-pauvres-La-Cousine-Bette_<une parente du côté maternel-3637>_67382,où j' ai honte de moi ! Ah ! si
Balzac-Honore-de_Les-Parents-pauvres-La-Cousine-Bette_<une parente du côté maternel-3637>_67387,moi ! Ah ! si ma pauvre mère me voyait
Balzac-Honore-de_Les-Parents-pauvres-La-Cousine-Bette_<une parente du côté maternel-3637>_67390,! si ma pauvre mère me voyait !– Tu me
