,text_surronding
Balzac-Honore-de_Les-Parents-pauvres-Le-Cousin-Pons_<une madame Sabatier-3424>_56064,"raconté cela … – Donc une madame Sabatier , une"
Balzac-Honore-de_Les-Parents-pauvres-Le-Cousin-Pons_<une madame Sabatier-3424>_56106,"affirmatif . – Bien , c' te femme , pour"
Balzac-Honore-de_Les-Parents-pauvres-Le-Cousin-Pons_<une madame Sabatier-3424>_56120,"pas réussi , rapport à son homme qui buvait tout"
Balzac-Honore-de_Les-Parents-pauvres-Le-Cousin-Pons_<une madame Sabatier-3424>_56135,"une imbustion spontanée , mais elle a été belle femme"
Balzac-Honore-de_Les-Parents-pauvres-Le-Cousin-Pons_<une madame Sabatier-3424>_56148,"dire , mais ça ne lui a pas profité ,"
Balzac-Honore-de_Les-Parents-pauvres-Le-Cousin-Pons_<une madame Sabatier-3424>_56154,"a pas profité , quoiqu' elle ait eu , dit"
Balzac-Honore-de_Les-Parents-pauvres-Le-Cousin-Pons_<une madame Sabatier-3424>_56174,", dans la débine , elle s' a fait garde"
Balzac-Honore-de_Les-Parents-pauvres-Le-Cousin-Pons_<une madame Sabatier-3424>_56195,- du - Bec . Elle n' a donc gardé
Balzac-Honore-de_Les-Parents-pauvres-Le-Cousin-Pons_<une madame Sabatier-3424>_56238,de si grands soins qu' elle couchait sur un lit
Balzac-Honore-de_Les-Parents-pauvres-Le-Cousin-Pons_<une madame Sabatier-3424>_56291,"lui , vous comprenez , elle était là toujours ,"
Balzac-Honore-de_Les-Parents-pauvres-Le-Cousin-Pons_<une madame Sabatier-3424>_56296,"elle était là toujours , elle l' égayait , elle"
Balzac-Honore-de_Les-Parents-pauvres-Le-Cousin-Pons_<une madame Sabatier-3424>_56300,", elle l' égayait , elle lui racontait des histoires"
Balzac-Honore-de_Les-Parents-pauvres-Le-Cousin-Pons_<une madame Sabatier-3424>_56306,"lui racontait des histoires , elle le faisait jaser ,"
Balzac-Honore-de_Les-Parents-pauvres-Le-Cousin-Pons_<une madame Sabatier-3424>_56341,les deux à jacasser … Elle apprend que ses neveux
Balzac-Honore-de_Les-Parents-pauvres-Le-Cousin-Pons_<une madame Sabatier-3424>_56344,"jacasser … Elle apprend que ses neveux , le malade"
Balzac-Honore-de_Les-Parents-pauvres-Le-Cousin-Pons_<une madame Sabatier-3424>_56384,"! mon cher monsieur , elle a sauvé ce monsieur"
Balzac-Honore-de_Les-Parents-pauvres-Le-Cousin-Pons_<une madame Sabatier-3424>_56391,"sauvé ce monsieur , et elle est devenue sa femme"
Balzac-Honore-de_Les-Parents-pauvres-Le-Cousin-Pons_<une madame Sabatier-3424>_56421,"Charlot qu' est parente à c' te dame , a"
Balzac-Honore-de_Les-Parents-pauvres-Le-Cousin-Pons_<une madame Sabatier-3424>_56435,"voilà ed' la chance ! Moi , je suis mariée"
Balzac-Honore-de_Les-Parents-pauvres-Le-Cousin-Pons_<une madame Sabatier-3424>_56437,"la chance ! Moi , je suis mariée ! …"
Balzac-Honore-de_Les-Parents-pauvres-Le-Cousin-Pons_<une madame Sabatier-3424>_56443,suis mariée ! … Mais je n' ai pas d'
