,text_surronding
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_10666,alors rappelé l' esprit de l' étranger sur la terre
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_10676,", eussent fait quitter à l' enfant les hauteurs célestes"
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_10683,les hauteurs célestes vers lesquelles son âme était montée sur
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_10698,". En ce moment , le vieillard entendit avec horreur"
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_10723,lourd que l' oreille expérimentée du banni reconnut pour être
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_10731,"pour être un cadavre . Il sortit précipitamment , entra"
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_10735,". Il sortit précipitamment , entra chez Godefroid , le"
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_10739,", entra chez Godefroid , le vit gisant comme une"
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_10740,"entra chez Godefroid , le vit gisant comme une masse"
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_10747,"comme une masse informe , aperçut une longue corde serrée"
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_10753,une longue corde serrée à son cou et qui serpentait
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_10762,"serpentait à terre . Quand il l' eut dénouée ,"
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_10767,"il l' eut dénouée , l' enfant ouvrit les yeux"
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_10776,"yeux . – Où suis - je , demanda -"
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_10782,"je , demanda - t - il avec une expression"
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_10795,"– Chez vous , dit le vieillard en regardant avec"
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_10829,"Dans le ciel , répondit l' enfant d' une voix"
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_10844,sur la terre ! répliqua le vieillard . Godefroid marcha
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_10847,! répliqua le vieillard . Godefroid marcha dans la ceinture
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_10868,"le vitrail était ouvert , il revit la Seine frémissante"
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_10902,". À ce spectacle pour lui désolant , il se"
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_10905,"spectacle pour lui désolant , il se croisa les mains"
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_10914,mains sur la poitrine et prit une attitude de désespoir
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_10920,une attitude de désespoir ; le vieillard vint à lui
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_10924,"; le vieillard vint à lui , l' étonnement peint"
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_10934,sur la figure . – Vous avez voulu vous tuer
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_10940,avez voulu vous tuer ? lui demanda - t -
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_10944,? lui demanda - t - il . – Oui
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_10951,". – Oui , répondit Godefroid en laissant l' étranger"
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_10954,", répondit Godefroid en laissant l' étranger lui passer à"
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_10956,Godefroid en laissant l' étranger lui passer à plusieurs reprises
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_10984,"Malgré de légères contusions , le jeune homme avait dû"
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_10992,avait dû peu souffrir . Le vieillard présuma que le
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_11024,". – Pourquoi donc , cher enfant , avez -"
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_11028,", cher enfant , avez - vous tenté de mourir"
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_11037,mourir ?– Ah ! répondit Godefroid ne retenant plus les
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_11046,"les larmes qui roulaient dans ses yeux , j' ai"
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_11049,"roulaient dans ses yeux , j' ai entendu la voix"
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_11059,d' en haut ! Elle m' appelait par mon nom
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_11062,! Elle m' appelait par mon nom ! Elle ne
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_11067,mon nom ! Elle ne m' avait pas encore nommé
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_11078,"mais cette fois , elle me conviait au ciel !"
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_11094,douce ! – Ne pouvant m' élancer dans les cieux
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_11101,"dans les cieux , ajouta - t - il avec"
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_11103,"cieux , ajouta - t - il avec un geste"
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_11110,"avec un geste naïf , j' ai pris pour aller"
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_11127,"ayons . – Oh , enfant , enfant sublime !"
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_11129,"– Oh , enfant , enfant sublime ! s' écria"
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_11134,enfant sublime ! s' écria le vieillard en enlaçant Godefroid
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_11138,écria le vieillard en enlaçant Godefroid dans ses bras et
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_11140,vieillard en enlaçant Godefroid dans ses bras et le pressant
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_11143,Godefroid dans ses bras et le pressant avec enthousiasme sur
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_11148,le pressant avec enthousiasme sur son cœur . Tu es
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_11151,"enthousiasme sur son cœur . Tu es poète , tu"
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_11155,". Tu es poète , tu sais monter intrépidement sur"
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_11163,"intrépidement sur l' ouragan ! Ta poésie , à toi"
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_11167,"! Ta poésie , à toi , ne sort pas"
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_11173,", ne sort pas de ton cœur ! Tes vives"
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_11176,"pas de ton cœur ! Tes vives , tes ardentes"
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_11179,"cœur ! Tes vives , tes ardentes pensées , tes"
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_11183,", tes ardentes pensées , tes créations marchent et grandissent"
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_11189,"créations marchent et grandissent dans ton âme . Va ,"
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_11197,"Va , ne livre pas tes idées au vulgaire ?"
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_11214,"le prêtre tout ensemble ! Tu connais les cieux ,"
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_11225,est - ce pas ? Tu as vu ces myriades
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_11252,"vers le trône , et tu as admiré souvent leurs"
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_11296,"serra convulsivement la main de Godefroid , et tous deux"
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_11325,"Dieu , s' écria doucement Godefroid . – Enfant !"
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_11328,écria doucement Godefroid . – Enfant ! reprit tout à
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_11342,"une voix sévère , as - tu donc si tôt"
Balzac-Honore-de_Les-Proscrits_<l' étranger-610>_11362,"Sigier ? Pour revenir , toi dans ta patrie céleste"
