,text_surronding
Balzac-Honore-de_Louis-Lambert_<vous-1664>_34826,tout est changé . Pour vous je convoite les palmes
Balzac-Honore-de_Louis-Lambert_<vous-1664>_34849,"en apportant ma tête sur vos genoux , y faire"
Balzac-Honore-de_Louis-Lambert_<vous-1664>_34907,"si je le veux , vous faire un lit de"
Balzac-Honore-de_Louis-Lambert_<vous-1664>_34923,"ovations de la science ne vous satisfaisaient pas , je"
Balzac-Honore-de_Louis-Lambert_<vous-1664>_34958,"y traînent ! Parlez , Pauline , je serai tout"
Balzac-Honore-de_Louis-Lambert_<vous-1664>_34965,je serai tout ce que vous voudrez que je sois
Balzac-Honore-de_Louis-Lambert_<vous-1664>_35029,"un regard comme celui que vous m' avez jeté ,"
Balzac-Honore-de_Louis-Lambert_<vous-1664>_35042,plus profond des précipices . Vous m' avez expliqué les
Balzac-Honore-de_Louis-Lambert_<vous-1664>_35091,pour conquérir la liberté . Vous avez réveillé mille vertus
Balzac-Honore-de_Louis-Lambert_<vous-1664>_35123,"âme . Je vis par vous , et , pensée"
Balzac-Honore-de_Louis-Lambert_<vous-1664>_35131,", pensée délicieuse , pour vous . Maintenant tout a"
Balzac-Honore-de_Louis-Lambert_<vous-1664>_35169,perles de l' Inde à vos pieds ; je me
Balzac-Honore-de_Louis-Lambert_<vous-1664>_35176,"; je me plais à vous voir couchée , ou"
Balzac-Honore-de_Louis-Lambert_<vous-1664>_35208,"semblent à peine dignes de vous , en faveur de"
Balzac-Honore-de_Louis-Lambert_<vous-1664>_35213,"vous , en faveur de qui je voudrais pouvoir disposer"
Balzac-Honore-de_Louis-Lambert_<vous-1664>_35242,studieux poète ! ma parole vous offre des trésors que
Balzac-Honore-de_Louis-Lambert_<vous-1664>_35257,tandis que je ne puis vous donner que mon cœur
Balzac-Honore-de_Louis-Lambert_<vous-1664>_35264,"que mon cœur , où vous régnerez toujours . Là"
Balzac-Honore-de_Louis-Lambert_<vous-1664>_35316,à deviner les vœux de votre âme aimante ? Un
Balzac-Honore-de_Louis-Lambert_<vous-1664>_35356,"Dieu , prière pleine de vous : – « Faites"
Balzac-Honore-de_Louis-Lambert_<vous-1664>_35371,! » Mais ne remplirez - vous donc pas mes
Balzac-Honore-de_Louis-Lambert_<vous-1664>_35380,"mes jours , comme déjà vous remplissez mon cœur ?"
Balzac-Honore-de_Louis-Lambert_<vous-1664>_35390,"Adieu , je ne puis vous confier qu' à Dieu"
Balzac-Honore-de_Louis-Lambert_<vous-1664>_35404,moi si j' ai pu te déplaire en quelque chose
Balzac-Honore-de_Louis-Lambert_<vous-1664>_35442,sais quelle crainte vague de t' avoir offensée répand de
Balzac-Honore-de_Louis-Lambert_<vous-1664>_35455,cette vie du cœur que tu m' as faite si
Balzac-Honore-de_Louis-Lambert_<vous-1664>_35493,crimes en amour ! Si vous avez tout le génie
Balzac-Honore-de_Louis-Lambert_<vous-1664>_35503,"de ce beau sentiment , vous devez en ressentir toutes"
Balzac-Honore-de_Louis-Lambert_<vous-1664>_35574,"dans toutes les grâces de ses dévouements ; seulement ,"
Balzac-Honore-de_Louis-Lambert_<vous-1664>_35589,le prix de ce que tu voudras me révéler dans
Balzac-Honore-de_Louis-Lambert_<vous-1664>_35633,fait douter de tout . Je suis resté pendant cette
Balzac-Honore-de_Louis-Lambert_<vous-1664>_35668,tu savais tout ce que j' ai vu dans mon
Balzac-Honore-de_Louis-Lambert_<vous-1664>_35672,que j' ai vu dans mon âme ! quels tristes
Balzac-Honore-de_Louis-Lambert_<vous-1664>_35681,"tristes fantômes ont passé devant moi , sous ce ciel"
Balzac-Honore-de_Louis-Lambert_<vous-1664>_35693,le froid aspect augmentait encore mes sombres dispositions . J'
Balzac-Honore-de_Louis-Lambert_<vous-1664>_35697,encore mes sombres dispositions . J' ai eu de sinistres
Balzac-Honore-de_Louis-Lambert_<vous-1664>_35704,eu de sinistres pressentiments . J' ai eu peur de
Balzac-Honore-de_Louis-Lambert_<vous-1664>_35721,"faut tout te dire , ma chère Pauline . Il"
Balzac-Honore-de_Louis-Lambert_<vous-1664>_35734,moments où l' esprit qui m' anime semble se retirer
Balzac-Honore-de_Louis-Lambert_<vous-1664>_35740,anime semble se retirer de moi . Je suis comme
Balzac-Honore-de_Louis-Lambert_<vous-1664>_35742,se retirer de moi . Je suis comme abandonné par
Balzac-Honore-de_Louis-Lambert_<vous-1664>_35747,Je suis comme abandonné par ma force . Tout me
Balzac-Honore-de_Louis-Lambert_<vous-1664>_35751,"par ma force . Tout me pèse alors , chaque"
