,text_surronding
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_18789,- je ? demanda humblement le roi . – De
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_18824,"Aujourd' hui , s' écria le roi frappé de terreur"
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_18833,"terreur . – Eh ! sire , rassurez - vous"
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_18836,"Eh ! sire , rassurez - vous , reprit Coyctier"
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_18856,"tourmenter , et voyez à vous égayer . – Ah"
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_18863,". – Ah ! dit le roi , ma fille"
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_18866,"! dit le roi , ma fille réussissait jadis à"
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_18900,"royal . Sur le permis du roi , il entra"
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_18906,"roi , il entra pour lui annoncer le comte et"
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_18918,de Saint - Vallier . Louis XI fit un signe
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_18943,"première . – Bonjour , mes enfants , dit le"
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_18947,", mes enfants , dit le roi . – Sire"
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_18951,"dit le roi . – Sire , répondit à voix"
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_18960,"voix basse la dame en l' embrassant , je voudrais"
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_18965,"l' embrassant , je voudrais vous parler en secret ."
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_18970,vous parler en secret . Louis XI n' eut pas
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_18981,air d' avoir entendu . Il se tourna vers la
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_18989,"vers la porte , et cria d' une voix creuse"
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_19046,de Beaujeu lui dire que je veux dîner seul aujourd'
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_19061,"vous , madame , reprit le roi en feignant d'"
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_19074,"en colère , que vous me négligez ? Voici trois"
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_19082,Voici trois ans bientôt que je ne vous ai vue
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_19094,"Allons , venez là , mignonne , ajouta - t"
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_19099,"mignonne , ajouta - t - il en s' asseyant"
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_19105,il en s' asseyant et lui tendant les bras .
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_19110,lui tendant les bras . Vous êtes bien maigrie !
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_19118,maigrie ! – Et pourquoi la maigrissez - vous ?
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_19120,– Et pourquoi la maigrissez - vous ? demanda brusquement
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_19125,- vous ? demanda brusquement Louis XI au sieur de
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_19140,"un regard si craintif à sa femme , qu' elle"
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_19144,"à sa femme , qu' elle en eut presque pitié"
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_19154,". – Le bonheur , sire , répondit - il"
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_19157,"bonheur , sire , répondit - il . – Ah"
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_19163,"il . – Ah ! vous vous aimez trop ,"
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_19164,". – Ah ! vous vous aimez trop , dit"
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_19169,"vous aimez trop , dit le roi , qui tenait"
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_19172,", dit le roi , qui tenait sa fille droit"
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_19174,"le roi , qui tenait sa fille droit entre ses"
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_19178,"tenait sa fille droit entre ses genoux . Allons ,"
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_19183,"ses genoux . Allons , je vois que j' avais"
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_19186,"Allons , je vois que j' avais raison en te"
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_19190,que j' avais raison en te nommant Marie - pleine
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_19201,"de - grâce . – Coyctier , laissez - nous"
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_19209,- nous ! – Que me voulez - vous ?
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_19211,! – Que me voulez - vous ? dit -
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_19215,voulez - vous ? dit - il à sa fille
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_19218,? dit - il à sa fille au moment où
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_19230,s' en alla . Pour m' avoir envoyé votre …
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_19233,. Pour m' avoir envoyé votre … Dans ce danger
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_19239,"… Dans ce danger , Marie mit hardiment sa main"
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_19242,"danger , Marie mit hardiment sa main sur la bouche"
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_19247,"sa main sur la bouche du roi , en lui"
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_19251,"bouche du roi , en lui disant à l' oreille"
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_19258,à l' oreille : – Je vous croyais toujours discret
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_19259,l' oreille : – Je vous croyais toujours discret et
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_19267,"discret et pénétrant … – Saint - Vallier , dit"
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_19272,"Saint - Vallier , dit le roi en riant ,"
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_19277,"le roi en riant , je crois que Bridoré veut"
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_19282,je crois que Bridoré veut t' entretenir de quelque chose
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_19288,entretenir de quelque chose . Le comte sortit . Mais
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_19293,Le comte sortit . Mais il fit un geste d'
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_19303,"épaule , bien connu de sa femme , qui devina"
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_19310,", qui devina les pensées du terrible jaloux et jugea"
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_19318,et jugea qu' elle devait en prévenir les mauvais desseins
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_19326,"mauvais desseins . – Dis - moi , mon enfant"
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_19329,"– Dis - moi , mon enfant , comment me"
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_19335,"enfant , comment me trouves - tu ? Hein !"
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_19341,tu ? Hein ! Suis - je bien changé ?–
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_19349,"changé ?– En dà , sire , voulez - vous"
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_19352,"dà , sire , voulez - vous la vraie vérité"
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_19360,vraie vérité ? ou voulez - vous que je vous
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_19363,ou voulez - vous que je vous trompe ?– Non
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_19364,"voulez - vous que je vous trompe ?– Non ,"
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_19370,"trompe ?– Non , dit - il à voix basse"
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_19376,"il à voix basse , j' ai besoin de savoir"
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_19382,ai besoin de savoir où j' en suis . –
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_19391,"– En ce cas , vous avez aujourd' hui bien"
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_19401,mauvais visage . Mais que ma véracité ne nuise pas
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_19409,nuise pas au succès de mon affaire . – Quelle
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_19415,affaire . – Quelle est - elle ? dit le
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_19419,est - elle ? dit le roi en fronçant les
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_19429,sourcils et promenant une de ses mains sur son front
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_19432,une de ses mains sur son front . – Ah
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_19439,". – Ah bien ! sire , dit - elle"
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_19442,"bien ! sire , dit - elle , le jeune"
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>_19449,", le jeune homme que vous avez fait arrêter chez"
