,text_surronding
Balzac-Honore-de_Pierrette_<Sylvie-2587>_42836,", et l' attention de Sylvie avait été détournée par"
Balzac-Honore-de_Pierrette_<Sylvie-2587>_42871,; les cœurs étaient entre Sylvie et lui ; le
Balzac-Honore-de_Pierrette_<Sylvie-2587>_42886,quoiqu' il fût gardé chez Sylvie par cinq petites cartes
Balzac-Honore-de_Pierrette_<Sylvie-2587>_42922,"Mais , mademoiselle , dit Céleste , le jeu du"
Balzac-Honore-de_Pierrette_<Sylvie-2587>_42930,"jeu du colonel était de continuer cœur , puisqu' il"
Balzac-Honore-de_Pierrette_<Sylvie-2587>_42935,"continuer cœur , puisqu' il vous en trouvait !Cette phrase"
Balzac-Honore-de_Pierrette_<Sylvie-2587>_42996,quoi il s' agissait . Sylvie jeta sur mademoiselle Habert
Balzac-Honore-de_Pierrette_<Sylvie-2587>_43022,"Pierrette , vous avez vu mon jeu , dit Sylvie"
Balzac-Honore-de_Pierrette_<Sylvie-2587>_43026,"vu mon jeu , dit Sylvie en fixant ses yeux"
Balzac-Honore-de_Pierrette_<Sylvie-2587>_43029,", dit Sylvie en fixant ses yeux sur sa cousine"
Balzac-Honore-de_Pierrette_<Sylvie-2587>_43032,en fixant ses yeux sur sa cousine . – Non
Balzac-Honore-de_Pierrette_<Sylvie-2587>_43038,"cousine . – Non , ma cousine . – Je"
Balzac-Honore-de_Pierrette_<Sylvie-2587>_43088,". – Ah ! fit Sylvie . – Oui ,"
Balzac-Honore-de_Pierrette_<Sylvie-2587>_43101,elle a pu voir dans votre jeu pour vous jouer
Balzac-Honore-de_Pierrette_<Sylvie-2587>_43104,voir dans votre jeu pour vous jouer une malice .
Balzac-Honore-de_Pierrette_<Sylvie-2587>_43115,"est - ce pas , ma petite belle ?– Non"
Balzac-Honore-de_Pierrette_<Sylvie-2587>_43122,"belle ?– Non , dit la loyale Bretonne , j'"
Balzac-Honore-de_Pierrette_<Sylvie-2587>_43126,"dit la loyale Bretonne , j' en suis incapable ,"
Balzac-Honore-de_Pierrette_<Sylvie-2587>_43132,"en suis incapable , et je me serais dans ce"
Balzac-Honore-de_Pierrette_<Sylvie-2587>_43142,cas intéressée au jeu de ma cousine . – Vous
Balzac-Honore-de_Pierrette_<Sylvie-2587>_43146,de ma cousine . – Vous savez bien que vous
Balzac-Honore-de_Pierrette_<Sylvie-2587>_43150,"– Vous savez bien que vous êtes une menteuse ,"
Balzac-Honore-de_Pierrette_<Sylvie-2587>_43163,"une petite sotte , dit Sylvie . Comment peut -"
Balzac-Honore-de_Pierrette_<Sylvie-2587>_43184,ajouter la moindre foi à vos paroles ? Vous êtes
Balzac-Honore-de_Pierrette_<Sylvie-2587>_43187,foi à vos paroles ? Vous êtes une … Pierrette
Balzac-Honore-de_Pierrette_<Sylvie-2587>_43189,vos paroles ? Vous êtes une … Pierrette ne laissa
Balzac-Honore-de_Pierrette_<Sylvie-2587>_43191,? Vous êtes une … Pierrette ne laissa pas sa
Balzac-Honore-de_Pierrette_<Sylvie-2587>_43195,… Pierrette ne laissa pas sa cousine achever en sa
Balzac-Honore-de_Pierrette_<Sylvie-2587>_43199,pas sa cousine achever en sa présence ce qu' elle
Balzac-Honore-de_Pierrette_<Sylvie-2587>_43203,en sa présence ce qu' elle allait dire . En
Balzac-Honore-de_Pierrette_<Sylvie-2587>_43214,"un torrent d' injures , elle se leva , sortit"
Balzac-Honore-de_Pierrette_<Sylvie-2587>_43218,", elle se leva , sortit sans lumière et monta"
Balzac-Honore-de_Pierrette_<Sylvie-2587>_43222,", sortit sans lumière et monta chez elle . Sylvie"
Balzac-Honore-de_Pierrette_<Sylvie-2587>_43224,sans lumière et monta chez elle . Sylvie devint pâle
Balzac-Honore-de_Pierrette_<Sylvie-2587>_43226,et monta chez elle . Sylvie devint pâle de rage
Balzac-Honore-de_Pierrette_<Sylvie-2587>_43232,devint pâle de rage et dit entre ses dents :
Balzac-Honore-de_Pierrette_<Sylvie-2587>_43234,de rage et dit entre ses dents : – Elle
Balzac-Honore-de_Pierrette_<Sylvie-2587>_43238,entre ses dents : – Elle me le payera .
Balzac-Honore-de_Pierrette_<Sylvie-2587>_43239,ses dents : – Elle me le payera . –
Balzac-Honore-de_Pierrette_<Sylvie-2587>_43245,le payera . – Payez - vous la Misère ?
Balzac-Honore-de_Pierrette_<Sylvie-2587>_43258,Chargebœuf . En ce moment la pauvre Pierrette se cogna
Balzac-Honore-de_Pierrette_<Sylvie-2587>_43287,bien fait ! s' écria Sylvie . – Que lui
Balzac-Honore-de_Pierrette_<Sylvie-2587>_43291,écria Sylvie . – Que lui arrive - t -
Balzac-Honore-de_Pierrette_<Sylvie-2587>_43304,"Desfondrilles . – Rien qu' elle ne mérite , répondit"
Balzac-Honore-de_Pierrette_<Sylvie-2587>_43309,"elle ne mérite , répondit Sylvie . – Elle a"
Balzac-Honore-de_Pierrette_<Sylvie-2587>_43312,", répondit Sylvie . – Elle a reçu quelque mauvais"
Balzac-Honore-de_Pierrette_<Sylvie-2587>_43323,", dit mademoiselle Habert . Sylvie essaya de ne pas"
Balzac-Honore-de_Pierrette_<Sylvie-2587>_43329,essaya de ne pas payer sa Misère en se levant
Balzac-Honore-de_Pierrette_<Sylvie-2587>_43341,"voir ce qu' avait fait Pierrette , mais madame de"
Balzac-Honore-de_Pierrette_<Sylvie-2587>_43347,", mais madame de Chargebœuf l' arrêta . – Payez"
Balzac-Honore-de_Pierrette_<Sylvie-2587>_43357,"- nous d' abord , lui dit - elle en"
Balzac-Honore-de_Pierrette_<Sylvie-2587>_43365,"elle en riant , car vous ne vous souviendriez plus"
Balzac-Honore-de_Pierrette_<Sylvie-2587>_43384,sur la mauvaise foi que l' ex - mercière mettait
Balzac-Honore-de_Pierrette_<Sylvie-2587>_43390,ex - mercière mettait dans ses dettes de jeu ou
Balzac-Honore-de_Pierrette_<Sylvie-2587>_43396,"dettes de jeu ou dans ses chicanes , obtint l'"
Balzac-Honore-de_Pierrette_<Sylvie-2587>_43404,"obtint l' assentiment général . Sylvie se rassit , ne"
Balzac-Honore-de_Pierrette_<Sylvie-2587>_43409,"Sylvie se rassit , ne pensa plus à Pierrette ,"
Balzac-Honore-de_Pierrette_<Sylvie-2587>_43412,", ne pensa plus à Pierrette , et cette indifférence"
Balzac-Honore-de_Pierrette_<Sylvie-2587>_43426,"Pendant toute la soirée , Sylvie eut une préoccupation constante"
