,text_surronding
Balzac-Honore-de_Seraphita_<un homme-480>_9270,"En entendant ces mots , un homme se présenta soudain"
Balzac-Honore-de_Seraphita_<un homme-480>_9277,"se présenta soudain , et vint s' asseoir auprès d'"
Balzac-Honore-de_Seraphita_<un homme-480>_9285,"auprès d' elle . – Ma chère Séraphîta , souffrez"
Balzac-Honore-de_Seraphita_<un homme-480>_9293,", souffrez - vous ? Je vous trouve plus pâle"
Balzac-Honore-de_Seraphita_<un homme-480>_9307,"Elle se tourna lentement vers lui , après avoir chassé"
Balzac-Honore-de_Seraphita_<un homme-480>_9369,donc vous tuer ? dit - il avec l' effroi
Balzac-Honore-de_Seraphita_<un homme-480>_9387,"peur , bon Wilfrid , j' ai eu bien soin"
Balzac-Honore-de_Seraphita_<un homme-480>_9396,soin de votre Minna . Wilfrid frappa violemment de sa
Balzac-Honore-de_Seraphita_<un homme-480>_9400,". Wilfrid frappa violemment de sa main la table ,"
Balzac-Honore-de_Seraphita_<un homme-480>_9406,"main la table , se leva , fit quelques pas"
Balzac-Honore-de_Seraphita_<un homme-480>_9408,"table , se leva , fit quelques pas vers la"
Balzac-Honore-de_Seraphita_<un homme-480>_9424,"pleine de douleur , puis il revint et voulut exprimer"
Balzac-Honore-de_Seraphita_<un homme-480>_9427,", puis il revint et voulut exprimer une plainte ."
Balzac-Honore-de_Seraphita_<un homme-480>_9438,"Pourquoi ce tapage , si vous croyez que je souffre"
Balzac-Honore-de_Seraphita_<un homme-480>_9453,"Pardon , grâce ! répondit - il en s' agenouillant"
Balzac-Honore-de_Seraphita_<un homme-480>_9460,"en s' agenouillant . Parlez - moi durement , exigez"
Balzac-Honore-de_Seraphita_<un homme-480>_9470,de moi tout ce que vos cruelles fantaisies de femme
Balzac-Honore-de_Seraphita_<un homme-480>_9475,vos cruelles fantaisies de femme vous feront imaginer de plus
Balzac-Honore-de_Seraphita_<un homme-480>_9486,"à supporter ; mais , ma bien - aimée ,"
Balzac-Honore-de_Seraphita_<un homme-480>_9496,ne mettez pas en doute mon amour . Vous prenez
Balzac-Honore-de_Seraphita_<un homme-480>_9499,en doute mon amour . Vous prenez Minna comme une
Balzac-Honore-de_Seraphita_<un homme-480>_9507,"comme une hache , et m' en frappez à coups"
Balzac-Honore-de_Seraphita_<un homme-480>_9527,", mon ami , quand vous les savez inutiles ?"
Balzac-Honore-de_Seraphita_<un homme-480>_9536,? répondit - elle en lui jetant des regards qui
Balzac-Honore-de_Seraphita_<un homme-480>_9547,par devenir si doux que Wilfrid ne voyait plus les
Balzac-Honore-de_Seraphita_<un homme-480>_9587,"pas d' angoisse , dit - il . – Vous"
Balzac-Honore-de_Seraphita_<un homme-480>_9607,émanations produisaient au cœur de cet homme un effet semblable
Balzac-Honore-de_Seraphita_<un homme-480>_9619,des regards . Que puis - je pour vous ?–
Balzac-Honore-de_Seraphita_<un homme-480>_9625,je pour vous ?– Aimez - moi comme je vous
Balzac-Honore-de_Seraphita_<un homme-480>_9628,?– Aimez - moi comme je vous aime . –
Balzac-Honore-de_Seraphita_<un homme-480>_9641,répondit - elle . – Je n' apporte jamais d'
Balzac-Honore-de_Seraphita_<un homme-480>_9649,"jamais d' armes , cria Wilfrid . – Vous êtes"
Balzac-Honore-de_Seraphita_<un homme-480>_9652,", cria Wilfrid . – Vous êtes d' une humeur"
Balzac-Honore-de_Seraphita_<un homme-480>_9666,souriant Séraphîta . N' ai - je pas bien dit
Balzac-Honore-de_Seraphita_<un homme-480>_9678,comme ces Parisiennes de qui vous me racontez les amours
Balzac-Honore-de_Seraphita_<un homme-480>_9687,"amours ?Wilfrid s' assit , se croisa les bras ,"
Balzac-Honore-de_Seraphita_<un homme-480>_9688,"?Wilfrid s' assit , se croisa les bras , et"
Balzac-Honore-de_Seraphita_<un homme-480>_9693,"croisa les bras , et contempla Séraphîta d' un air"
Balzac-Honore-de_Seraphita_<un homme-480>_9701,"un air sombre . – Je vous pardonne , dit"
Balzac-Honore-de_Seraphita_<un homme-480>_9706,"Je vous pardonne , dit - il , car vous"
Balzac-Honore-de_Seraphita_<un homme-480>_9742,"et le mal . – Je le crois , dit"
Balzac-Honore-de_Seraphita_<un homme-480>_9747,"Je le crois , dit - il . – J'"
Balzac-Honore-de_Seraphita_<un homme-480>_9756,"J' en suis sûre , Wilfrid . Notre instinct est"
Balzac-Honore-de_Seraphita_<un homme-480>_9771,"si parfaites . Ce que vous apprenez , vous autres"
Balzac-Honore-de_Seraphita_<un homme-480>_9860,"affreux . La douleur , Wilfrid , est une lumière"
Balzac-Honore-de_Seraphita_<un homme-480>_9875,. – Pourquoi donc alliez - vous sur le Falberg
Balzac-Honore-de_Seraphita_<un homme-480>_9926,"d' épreuves sociales . Amusez - moi , j' écoute"
Balzac-Honore-de_Seraphita_<un homme-480>_9929,". Amusez - moi , j' écoute . – Que"
Balzac-Honore-de_Seraphita_<un homme-480>_9936,". – Que vous dirai - je , que vous"
Balzac-Honore-de_Seraphita_<un homme-480>_9999,"dehors du globe . – Vous voyez bien , mon"
Balzac-Honore-de_Seraphita_<un homme-480>_10003,"– Vous voyez bien , mon ami , que je"
Balzac-Honore-de_Seraphita_<un homme-480>_10007,", mon ami , que je ne suis pas une"
Balzac-Honore-de_Seraphita_<un homme-480>_10014,suis pas une femme . Vous avez tort de m'
