,text_surronding
Balzac-Honore-de_Splendeurs-et-miseres-des-courtisanes_<Louise-2134>_38033,écrit ce triste événement . Louise est dans un état
Balzac-Honore-de_Splendeurs-et-miseres-des-courtisanes_<Louise-2134>_38053,aimée dans sa vie comme Louise l' était par son
Balzac-Honore-de_Splendeurs-et-miseres-des-courtisanes_<Louise-2134>_38057,"comme Louise l' était par son mari , dit Madeleine"
Balzac-Honore-de_Splendeurs-et-miseres-des-courtisanes_<Louise-2134>_38066,Madeleine de Mortsauf . – Ce sera une riche veuve
Balzac-Honore-de_Splendeurs-et-miseres-des-courtisanes_<Louise-2134>_38089,"garda son impassibilité . – Pauvre Louise , fit madame"
Balzac-Honore-de_Splendeurs-et-miseres-des-courtisanes_<Louise-2134>_38098,"madame d' Espard , je la comprends et je la"
Balzac-Honore-de_Splendeurs-et-miseres-des-courtisanes_<Louise-2134>_38102,je la comprends et je la plains . La marquise
Balzac-Honore-de_Splendeurs-et-miseres-des-courtisanes_<Louise-2134>_38124,et de cœur . Quoique Sabine de Grandlieu n' eût
Balzac-Honore-de_Splendeurs-et-miseres-des-courtisanes_<Louise-2134>_38133,"eût que dix ans , elle leva sur sa mère"
Balzac-Honore-de_Splendeurs-et-miseres-des-courtisanes_<Louise-2134>_38136,"ans , elle leva sur sa mère un œil intelligent"
Balzac-Honore-de_Splendeurs-et-miseres-des-courtisanes_<Louise-2134>_38154,un coup d' œil de sa mère . C' est
Balzac-Honore-de_Splendeurs-et-miseres-des-courtisanes_<Louise-2134>_38190,"air le plus maternel , son avenir m' inquiétera ."
Balzac-Honore-de_Splendeurs-et-miseres-des-courtisanes_<Louise-2134>_38195,son avenir m' inquiétera . Louise est très - romanesque
Balzac-Honore-de_Splendeurs-et-miseres-des-courtisanes_<Louise-2134>_38307,– Vous croyez donc que ce garçon - là aime
Balzac-Honore-de_Splendeurs-et-miseres-des-courtisanes_<Louise-2134>_38336,qu' après l' esquisse de Clotilde . Cette jeune personne
Balzac-Honore-de_Splendeurs-et-miseres-des-courtisanes_<Louise-2134>_38338,"l' esquisse de Clotilde . Cette jeune personne , de"
Balzac-Honore-de_Splendeurs-et-miseres-des-courtisanes_<Louise-2134>_38370,taille sèche et mince de Clotilde qui ressemblait parfaitement à
Balzac-Honore-de_Splendeurs-et-miseres-des-courtisanes_<Louise-2134>_38381,asperge . Le corsage de la pauvre fille était si
Balzac-Honore-de_Splendeurs-et-miseres-des-courtisanes_<Louise-2134>_38406,"des fichus menteurs . Aussi Clotilde , qui se savait"
Balzac-Honore-de_Splendeurs-et-miseres-des-courtisanes_<Louise-2134>_38408,"menteurs . Aussi Clotilde , qui se savait de suffisants"
Balzac-Honore-de_Splendeurs-et-miseres-des-courtisanes_<Louise-2134>_38415,"savait de suffisants avantages dans son nom , loin de"
Balzac-Honore-de_Splendeurs-et-miseres-des-courtisanes_<Louise-2134>_38430,"ce défaut , le faisait - elle héroïquement ressortir ."
Balzac-Honore-de_Splendeurs-et-miseres-des-courtisanes_<Louise-2134>_38439,". En se serrant dans ses robes , elle obtenait"
