,text_surronding
Barbusse-Henri_L-enfer_<Une femme-242>_6940,", déjà toute grise . Une femme est là ,"
Barbusse-Henri_L-enfer_<Une femme-242>_6948,"là , obscurément . ††† Elle s' est approchée de"
Barbusse-Henri_L-enfer_<Une femme-242>_6988,dans une chambre . Je la vois de plus en
Barbusse-Henri_L-enfer_<Une femme-242>_7003,"mes yeux s' habituent , elle se précise ; il"
Barbusse-Henri_L-enfer_<Une femme-242>_7014,"semble que , charitable , elle vient . Elle porte"
Barbusse-Henri_L-enfer_<Une femme-242>_7017,"charitable , elle vient . Elle porte , en ce"
Barbusse-Henri_L-enfer_<Une femme-242>_7052,rayonnement fané de la fenêtre la couvre d' un reflet
Barbusse-Henri_L-enfer_<Une femme-242>_7060,un reflet presque éteint . Sa robe est de la
Barbusse-Henri_L-enfer_<Une femme-242>_7088,"Un souffle de parfum qu' elle porte , une odeur"
Barbusse-Henri_L-enfer_<Une femme-242>_7108,et à ce parfum qui la désigne comme un vrai
Barbusse-Henri_L-enfer_<Une femme-242>_7116,"un vrai nom , je la reconnais : c' est"
Barbusse-Henri_L-enfer_<Une femme-242>_7119,", je la reconnais : c' est la jeune femme"
Barbusse-Henri_L-enfer_<Une femme-242>_7121,"la reconnais : c' est la jeune femme qui ,"
Barbusse-Henri_L-enfer_<Une femme-242>_7124,"c' est la jeune femme qui , tout à l'"
Barbusse-Henri_L-enfer_<Une femme-242>_7140,"de moi , puis s' est envolée . Maintenant ,"
Barbusse-Henri_L-enfer_<Une femme-242>_7145,"est envolée . Maintenant , elle est là , derrière"
Barbusse-Henri_L-enfer_<Une femme-242>_7150,"elle est là , derrière sa porte fermée , en"
Barbusse-Henri_L-enfer_<Une femme-242>_7160,proie à mes regards . Ses lèvres ont remué ;
Barbusse-Henri_L-enfer_<Une femme-242>_7170,je ne sais pas si elle se parle tout bas
Barbusse-Henri_L-enfer_<Une femme-242>_7178,"tout bas , ou si elle chantonne … Elle est"
Barbusse-Henri_L-enfer_<Une femme-242>_7181,"ou si elle chantonne … Elle est là , près"
Barbusse-Henri_L-enfer_<Une femme-242>_7217,"train de se décolorer ; elle est là , avec"
Barbusse-Henri_L-enfer_<Une femme-242>_7222,"elle est là , avec ses yeux sombres et sa"
Barbusse-Henri_L-enfer_<Une femme-242>_7226,"avec ses yeux sombres et sa chair sombre , avec"
Barbusse-Henri_L-enfer_<Une femme-242>_7234,", avec la clarté de sa figure , que tant"
Barbusse-Henri_L-enfer_<Une femme-242>_7245,regards ont caressée depuis qu' elle existe . Son cou
Barbusse-Henri_L-enfer_<Une femme-242>_7248,"depuis qu' elle existe . Son cou blanc , effrayamment"
Barbusse-Henri_L-enfer_<Une femme-242>_7304,qu' ils sont blonds . Sa bouche est obscure comme
Barbusse-Henri_L-enfer_<Une femme-242>_7314,si elle était entrouverte . Sa main est posée sur
Barbusse-Henri_L-enfer_<Une femme-242>_7327,", comme un oiseau . Son corsage est d' une"
Barbusse-Henri_L-enfer_<Une femme-242>_7346,". J' ignore tout d' elle , et elle est"
Barbusse-Henri_L-enfer_<Une femme-242>_7349,"tout d' elle , et elle est aussi loin de"
Barbusse-Henri_L-enfer_<Une femme-242>_7367,"nous séparaient , que si elle était morte . Pourtant"
Barbusse-Henri_L-enfer_<Une femme-242>_7385,": je suis près d' elle , je suis avec"
Barbusse-Henri_L-enfer_<Une femme-242>_7390,"elle , je suis avec elle ; je m' épanouis"
Barbusse-Henri_L-enfer_<Une femme-242>_7396,; je m' épanouis sur elle en tremblant . …
Barbusse-Henri_L-enfer_<Une femme-242>_7406,Mes mains se tendent pour l' embrasser . Je suis
Barbusse-Henri_L-enfer_<Une femme-242>_7429,la première femme venue . Elle est l' image la
Barbusse-Henri_L-enfer_<Une femme-242>_7470,soit sur terre . ††† Elle se retourne et glisse
Barbusse-Henri_L-enfer_<Une femme-242>_7474,††† Elle se retourne et glisse dans la chambre déjà
Barbusse-Henri_L-enfer_<Une femme-242>_7486,"comme un nuage , avec ses formes rondes et bercées"
Barbusse-Henri_L-enfer_<Une femme-242>_7498,entends le murmure profond de sa robe . Je cherche
Barbusse-Henri_L-enfer_<Une femme-242>_7503,sa robe . Je cherche sa figure comme une étoile
Barbusse-Henri_L-enfer_<Une femme-242>_7515,je ne vois pas plus sa figure que sa pensée
Barbusse-Henri_L-enfer_<Une femme-242>_7518,pas plus sa figure que sa pensée . Je cherche
Barbusse-Henri_L-enfer_<Une femme-242>_7526,Je cherche le sens de ses gestes ; mais ils
Barbusse-Henri_L-enfer_<Une femme-242>_7539,"Je suis si près d' elle , et je ne"
Barbusse-Henri_L-enfer_<Une femme-242>_7548,ne sais pas ce qu' elle fait ! Les êtres
Barbusse-Henri_L-enfer_<Une femme-242>_7574,ce qu' ils font . Elle ferme sa porte à
Barbusse-Henri_L-enfer_<Une femme-242>_7576,"ils font . Elle ferme sa porte à clef ,"
Barbusse-Henri_L-enfer_<Une femme-242>_7583,"à clef , ce qui la divinise un peu plus"
