,text_surronding
Barjavel-Rene_Le-Grand-Secret_<Jeanne-1872>_31711,sommes encore loin ? demanda Jeanne . — Je ne
Barjavel-Rene_Le-Grand-Secret_<Jeanne-1872>_31723,", dit Walt . Il lui tendit un hot -"
Barjavel-Rene_Le-Grand-Secret_<Jeanne-1872>_31741,la moutarde avait détrempées . Elle remercia avec un sourire
Barjavel-Rene_Le-Grand-Secret_<Jeanne-1872>_31759,. Il le mangea . Elle se demandait si c'
Barjavel-Rene_Le-Grand-Secret_<Jeanne-1872>_31773,ou dans cinq heures qu' elle tomberait du ciel vers
Barjavel-Rene_Le-Grand-Secret_<Jeanne-1872>_31780,du ciel vers celui qu' elle avait tant cherché .
Barjavel-Rene_Le-Grand-Secret_<Jeanne-1872>_31785,elle avait tant cherché . Son bonheur noyait son impatience
Barjavel-Rene_Le-Grand-Secret_<Jeanne-1872>_31788,cherché . Son bonheur noyait son impatience . Elle éprouvait
Barjavel-Rene_Le-Grand-Secret_<Jeanne-1872>_31791,bonheur noyait son impatience . Elle éprouvait une sorte d'
Barjavel-Rene_Le-Grand-Secret_<Jeanne-1872>_31842,"souches , les fondrières , elle se trouvait tout à"
Barjavel-Rene_Le-Grand-Secret_<Jeanne-1872>_31880,"c' était la paix . Elle arrivait , dans cinq"
Barjavel-Rene_Le-Grand-Secret_<Jeanne-1872>_31896,"… Au début , lorsqu' elle avait su , tout"
Barjavel-Rene_Le-Grand-Secret_<Jeanne-1872>_31908,"de façon certaine , qu' elle allait retrouver Roland ,"
Barjavel-Rene_Le-Grand-Secret_<Jeanne-1872>_31913,"elle allait retrouver Roland , elle avait failli perdre son"
Barjavel-Rene_Le-Grand-Secret_<Jeanne-1872>_31917,", elle avait failli perdre son équilibre , comme un"
Barjavel-Rene_Le-Grand-Secret_<Jeanne-1872>_31941,"dans une chambre militaire , elle ne savait où ,"
Barjavel-Rene_Le-Grand-Secret_<Jeanne-1872>_31947,"ne savait où , après sa visite à la Maison"
Barjavel-Rene_Le-Grand-Secret_<Jeanne-1872>_31961,"été des heures folles . Elle avait ri , sangloté"
Barjavel-Rene_Le-Grand-Secret_<Jeanne-1872>_31967,"avait ri , sangloté , s' était roulée sur son"
Barjavel-Rene_Le-Grand-Secret_<Jeanne-1872>_31971,", s' était roulée sur son lit , frappé la"
Barjavel-Rene_Le-Grand-Secret_<Jeanne-1872>_31985,", mordu les poignets . Elle avait parlé toute seule"
Barjavel-Rene_Le-Grand-Secret_<Jeanne-1872>_31992,"parlé toute seule , à elle - même , à"
Barjavel-Rene_Le-Grand-Secret_<Jeanne-1872>_32031,ce rendez - vous où elle l' avait en vain
