,text_surronding
Barrès-Maurice_La-Colline-inspirée_<le vieux prêtre-6084>_89813,"étreval chassant de sa maison le vieux prêtre , l'"
Barrès-Maurice_La-Colline-inspirée_<le vieux prêtre-6084>_89960,"- il averti du retour du père Cléach , qu'"
Barrès-Maurice_La-Colline-inspirée_<le vieux prêtre-6084>_89966,"père Cléach , qu' il le pria de venir dans"
Barrès-Maurice_La-Colline-inspirée_<le vieux prêtre-6084>_89971,"le pria de venir dans sa chambre , et minutieusement"
Barrès-Maurice_La-Colline-inspirée_<le vieux prêtre-6084>_89996,de sa compagne . Il l' écoutait en se frappant
Barrès-Maurice_La-Colline-inspirée_<le vieux prêtre-6084>_90011,son jeune confrère eut achevé son récit : - je
Barrès-Maurice_La-Colline-inspirée_<le vieux prêtre-6084>_90015,achevé son récit : - je vois ce qui vous
Barrès-Maurice_La-Colline-inspirée_<le vieux prêtre-6084>_90025,"est arrivé , lui dit - il . Il y"
Barrès-Maurice_La-Colline-inspirée_<le vieux prêtre-6084>_90036,"vingt - cinq ans , j' ai commis la même"
Barrès-Maurice_La-Colline-inspirée_<le vieux prêtre-6084>_90066,"ah ! Que ne puis - je , mon cher"
Barrès-Maurice_La-Colline-inspirée_<le vieux prêtre-6084>_90069,"ne puis - je , mon cher ami , vous"
Barrès-Maurice_La-Colline-inspirée_<le vieux prêtre-6084>_90083,obstiné ! Que Dieu qui me refuse cette grâce m'
Barrès-Maurice_La-Colline-inspirée_<le vieux prêtre-6084>_90087,qui me refuse cette grâce m' accorde au moins la
Barrès-Maurice_La-Colline-inspirée_<le vieux prêtre-6084>_90099,"vous communiquer l' expérience de ma vie , et qu'"
Barrès-Maurice_La-Colline-inspirée_<le vieux prêtre-6084>_90112,même temps la confession de ma faiblesse . Et comme
Barrès-Maurice_La-Colline-inspirée_<le vieux prêtre-6084>_90155,dans son âme . - vous ne pouvez pas savoir
Barrès-Maurice_La-Colline-inspirée_<le vieux prêtre-6084>_90161,"ne pouvez pas savoir , mon ami , les pensées"
Barrès-Maurice_La-Colline-inspirée_<le vieux prêtre-6084>_90175,d' un mourant . Toute mon existence est présente devant
Barrès-Maurice_La-Colline-inspirée_<le vieux prêtre-6084>_90180,mon existence est présente devant moi . Comment vais -
Barrès-Maurice_La-Colline-inspirée_<le vieux prêtre-6084>_90184,devant moi . Comment vais - je justifier au tribunal
Barrès-Maurice_La-Colline-inspirée_<le vieux prêtre-6084>_90191,justifier au tribunal de Dieu mon passage sur cette terre
Barrès-Maurice_La-Colline-inspirée_<le vieux prêtre-6084>_90201,privilégiée de Sion ? Ai - je su y respirer
Barrès-Maurice_La-Colline-inspirée_<le vieux prêtre-6084>_90226,", presque au lendemain de mon ordination , j' ai"
Barrès-Maurice_La-Colline-inspirée_<le vieux prêtre-6084>_90229,"lendemain de mon ordination , j' ai été envoyé sur"
Barrès-Maurice_La-Colline-inspirée_<le vieux prêtre-6084>_90238,sur cette sainte colline ; j' ai été chargé de
Barrès-Maurice_La-Colline-inspirée_<le vieux prêtre-6084>_90254,notre - dame . Puis - je dire que j'
Barrès-Maurice_La-Colline-inspirée_<le vieux prêtre-6084>_90258,Puis - je dire que j' ai réussi ? L'
Barrès-Maurice_La-Colline-inspirée_<le vieux prêtre-6084>_90266,? L' âme des Baillard m' a échappé . Ah
Barrès-Maurice_La-Colline-inspirée_<le vieux prêtre-6084>_90300,", mais arriver seul ! J' ai vu François me"
Barrès-Maurice_La-Colline-inspirée_<le vieux prêtre-6084>_90304,! J' ai vu François me repousser à son lit
Barrès-Maurice_La-Colline-inspirée_<le vieux prêtre-6084>_90316,. Si cette âme que j' ai laissée partir irritée
Barrès-Maurice_La-Colline-inspirée_<le vieux prêtre-6084>_90323,laissée partir irritée et désolée m' attendait là - haut
Barrès-Maurice_La-Colline-inspirée_<le vieux prêtre-6084>_90329,"attendait là - haut , j' accepterais la mort avec"
Barrès-Maurice_La-Colline-inspirée_<le vieux prêtre-6084>_90338,"avec moins d' appréhension , j' entonnerais avec confiance le"
Barrès-Maurice_La-Colline-inspirée_<le vieux prêtre-6084>_90350,"sacrifice . Sauvons Léopold , mon père ! Alors ,"
Barrès-Maurice_La-Colline-inspirée_<le vieux prêtre-6084>_90355,"mon père ! Alors , je pourrai murmurer : introïbo"
Barrès-Maurice_La-Colline-inspirée_<le vieux prêtre-6084>_90364,introïbo ad altare dei . il s' interrompit un instant
Barrès-Maurice_La-Colline-inspirée_<le vieux prêtre-6084>_90383,"oblat se tenait près de lui , silencieux et méditatif"
Barrès-Maurice_La-Colline-inspirée_<le vieux prêtre-6084>_90396,"une voix quasi intérieure , il reprit : - ai"
Barrès-Maurice_La-Colline-inspirée_<le vieux prêtre-6084>_90399,"intérieure , il reprit : - ai - je su"
Barrès-Maurice_La-Colline-inspirée_<le vieux prêtre-6084>_90401,il reprit : - ai - je su comprendre Léopold
Barrès-Maurice_La-Colline-inspirée_<le vieux prêtre-6084>_90458,de Dieu . Avec tous j' ai ri et puis
Barrès-Maurice_La-Colline-inspirée_<le vieux prêtre-6084>_90467,puis anathématisé . N' aurais - je pas dû l'
Barrès-Maurice_La-Colline-inspirée_<le vieux prêtre-6084>_90499,N' était - ce pas mon rôle de prêtre de
Barrès-Maurice_La-Colline-inspirée_<le vieux prêtre-6084>_90502,"ce pas mon rôle de prêtre de reconnaître , au"
Barrès-Maurice_La-Colline-inspirée_<le vieux prêtre-6084>_90562,"le laisser à Satan , mon père , il faut"
Barrès-Maurice_La-Colline-inspirée_<le vieux prêtre-6084>_90572,le rendre au Christ qui m' en a donné la
Barrès-Maurice_La-Colline-inspirée_<le vieux prêtre-6084>_90580,donné la charge . Sauvez - moi en le sauvant
Barrès-Maurice_La-Colline-inspirée_<le vieux prêtre-6084>_90586,moi en le sauvant . Le jeune oblat écoutait sans
Barrès-Maurice_La-Colline-inspirée_<le vieux prêtre-6084>_90596,"interrompre , et de toute son âme , il croyait"
Barrès-Maurice_La-Colline-inspirée_<le vieux prêtre-6084>_90599,"de toute son âme , il croyait ce que lui"
Barrès-Maurice_La-Colline-inspirée_<le vieux prêtre-6084>_90603,", il croyait ce que lui disait ce mourant ."
Barrès-Maurice_La-Colline-inspirée_<le vieux prêtre-6084>_90609,disait ce mourant . Tout l' émouvait dans ce discours
Barrès-Maurice_La-Colline-inspirée_<le vieux prêtre-6084>_90648,de fièvre . Ces paroles du père Aubry donnaient un
Barrès-Maurice_La-Colline-inspirée_<le vieux prêtre-6084>_90685,plus loin dans la conscience du jeune oblat . Elles
Barrès-Maurice_La-Colline-inspirée_<le vieux prêtre-6084>_90708,"joyeux et fort , dans cette âme de lévite ."
Barrès-Maurice_La-Colline-inspirée_<le vieux prêtre-6084>_90715,de lévite . Ces paroles lui donnaient une mission de
