,text_surronding
Bassanville-Anais-de_Les-Primeurs-de-la-vie-ou-Bonheurs-joies-et-douleurs-de-la-jeunesse_<lui-1300>_34424,père me fit entrer chez lui à l' issue du
Bassanville-Anais-de_Les-Primeurs-de-la-vie-ou-Bonheurs-joies-et-douleurs-de-la-jeunesse_<lui-1300>_34437,"après m' avoir prise sur ses genoux , et m'"
Bassanville-Anais-de_Les-Primeurs-de-la-vie-ou-Bonheurs-joies-et-douleurs-de-la-jeunesse_<lui-1300>_34447,"avoir embrassée tendrement : — Ma Louise , me dit"
Bassanville-Anais-de_Les-Primeurs-de-la-vie-ou-Bonheurs-joies-et-douleurs-de-la-jeunesse_<lui-1300>_34452,"Ma Louise , me dit - il avec une gravité"
Bassanville-Anais-de_Les-Primeurs-de-la-vie-ou-Bonheurs-joies-et-douleurs-de-la-jeunesse_<lui-1300>_34492,"de nous vint me confirmer ses paroles , et je"
Bassanville-Anais-de_Les-Primeurs-de-la-vie-ou-Bonheurs-joies-et-douleurs-de-la-jeunesse_<lui-1300>_34515,"— Petite coquette , fit - il en me donnant"
Bassanville-Anais-de_Les-Primeurs-de-la-vie-ou-Bonheurs-joies-et-douleurs-de-la-jeunesse_<lui-1300>_34541,"Mais avec tout cela , ma fille , tu es"
Bassanville-Anais-de_Les-Primeurs-de-la-vie-ou-Bonheurs-joies-et-douleurs-de-la-jeunesse_<lui-1300>_34551,"riche , continua - t - il en reprenant sa"
Bassanville-Anais-de_Les-Primeurs-de-la-vie-ou-Bonheurs-joies-et-douleurs-de-la-jeunesse_<lui-1300>_34555,"t - il en reprenant sa gravité , et je"
Bassanville-Anais-de_Les-Primeurs-de-la-vie-ou-Bonheurs-joies-et-douleurs-de-la-jeunesse_<lui-1300>_34559,"reprenant sa gravité , et je songe à te marier"
Bassanville-Anais-de_Les-Primeurs-de-la-vie-ou-Bonheurs-joies-et-douleurs-de-la-jeunesse_<lui-1300>_34609,un triste sourire ; puis il reprit d' une voix
Bassanville-Anais-de_Les-Primeurs-de-la-vie-ou-Bonheurs-joies-et-douleurs-de-la-jeunesse_<lui-1300>_34631,"et belle pour toi , ma fille ; mais ,"
Bassanville-Anais-de_Les-Primeurs-de-la-vie-ou-Bonheurs-joies-et-douleurs-de-la-jeunesse_<lui-1300>_34645,"en est pas ainsi pour moi , et je n'"
Bassanville-Anais-de_Les-Primeurs-de-la-vie-ou-Bonheurs-joies-et-douleurs-de-la-jeunesse_<lui-1300>_34648,"ainsi pour moi , et je n' ai plus que"
Bassanville-Anais-de_Les-Primeurs-de-la-vie-ou-Bonheurs-joies-et-douleurs-de-la-jeunesse_<lui-1300>_34659,jours à vivre ; aussi je veux assurer ton bonheur
Bassanville-Anais-de_Les-Primeurs-de-la-vie-ou-Bonheurs-joies-et-douleurs-de-la-jeunesse_<lui-1300>_34674,qui t' ont confiée à ma tendresse ! Et comme
Bassanville-Anais-de_Les-Primeurs-de-la-vie-ou-Bonheurs-joies-et-douleurs-de-la-jeunesse_<lui-1300>_34679,ma tendresse ! Et comme il s' aperçut que mes
Bassanville-Anais-de_Les-Primeurs-de-la-vie-ou-Bonheurs-joies-et-douleurs-de-la-jeunesse_<lui-1300>_34701,"peu sérieusement , me dit - il en riant ."
Bassanville-Anais-de_Les-Primeurs-de-la-vie-ou-Bonheurs-joies-et-douleurs-de-la-jeunesse_<lui-1300>_34707,il en riant . — Je me fais bien vieux
Bassanville-Anais-de_Les-Primeurs-de-la-vie-ou-Bonheurs-joies-et-douleurs-de-la-jeunesse_<lui-1300>_34739,ce ne serait que pour me décharger de ces deux
Bassanville-Anais-de_Les-Primeurs-de-la-vie-ou-Bonheurs-joies-et-douleurs-de-la-jeunesse_<lui-1300>_34748,deux choses trop lourdes pour mes cheveux blancs . —
Bassanville-Anais-de_Les-Primeurs-de-la-vie-ou-Bonheurs-joies-et-douleurs-de-la-jeunesse_<lui-1300>_34759,! si c' est pour vous débarrasser de moi que
Bassanville-Anais-de_Les-Primeurs-de-la-vie-ou-Bonheurs-joies-et-douleurs-de-la-jeunesse_<lui-1300>_34764,vous débarrasser de moi que vous voulez me donner un
Bassanville-Anais-de_Les-Primeurs-de-la-vie-ou-Bonheurs-joies-et-douleurs-de-la-jeunesse_<lui-1300>_34775,", je suis prête à vous obéir , — fis"
Bassanville-Anais-de_Les-Primeurs-de-la-vie-ou-Bonheurs-joies-et-douleurs-de-la-jeunesse_<lui-1300>_34802,"si bonne disposition , reprit - il , je te"
Bassanville-Anais-de_Les-Primeurs-de-la-vie-ou-Bonheurs-joies-et-douleurs-de-la-jeunesse_<lui-1300>_34805,", reprit - il , je te conseille de te"
Bassanville-Anais-de_Les-Primeurs-de-la-vie-ou-Bonheurs-joies-et-douleurs-de-la-jeunesse_<lui-1300>_34817,", car aujourd' hui même je te présente deux prétendus"
Bassanville-Anais-de_Les-Primeurs-de-la-vie-ou-Bonheurs-joies-et-douleurs-de-la-jeunesse_<lui-1300>_34876,"belle fortune , tous deux me sont recommandés par de"
Bassanville-Anais-de_Les-Primeurs-de-la-vie-ou-Bonheurs-joies-et-douleurs-de-la-jeunesse_<lui-1300>_34887,et vieux amis en qui j' ai toute confiance ;
Bassanville-Anais-de_Les-Primeurs-de-la-vie-ou-Bonheurs-joies-et-douleurs-de-la-jeunesse_<lui-1300>_34893,"ai toute confiance ; mais je t' avoue que ,"
Bassanville-Anais-de_Les-Primeurs-de-la-vie-ou-Bonheurs-joies-et-douleurs-de-la-jeunesse_<lui-1300>_34904,"les avoir vus encore , mon cœur penche pour le"
Bassanville-Anais-de_Les-Primeurs-de-la-vie-ou-Bonheurs-joies-et-douleurs-de-la-jeunesse_<lui-1300>_34921,"occupation grave , ce qui me semble une garantie de"
Bassanville-Anais-de_Les-Primeurs-de-la-vie-ou-Bonheurs-joies-et-douleurs-de-la-jeunesse_<lui-1300>_34939,"à lui ; pourtant , je te le répète ,"
Bassanville-Anais-de_Les-Primeurs-de-la-vie-ou-Bonheurs-joies-et-douleurs-de-la-jeunesse_<lui-1300>_34953,"choisir . Tu comprends , ma Clotilde , qu' après"
Bassanville-Anais-de_Les-Primeurs-de-la-vie-ou-Bonheurs-joies-et-douleurs-de-la-jeunesse_<lui-1300>_34963,"avoir reçu cette confidence de mon grand - père ,"
Bassanville-Anais-de_Les-Primeurs-de-la-vie-ou-Bonheurs-joies-et-douleurs-de-la-jeunesse_<lui-1300>_34968,"mon grand - père , je montai dans ma chambre"
Bassanville-Anais-de_Les-Primeurs-de-la-vie-ou-Bonheurs-joies-et-douleurs-de-la-jeunesse_<lui-1300>_34971,"père , je montai dans ma chambre fort préoccupée de"
Bassanville-Anais-de_Les-Primeurs-de-la-vie-ou-Bonheurs-joies-et-douleurs-de-la-jeunesse_<lui-1300>_34976,ma chambre fort préoccupée de ma toilette ? . .
Bassanville-Anais-de_Les-Primeurs-de-la-vie-ou-Bonheurs-joies-et-douleurs-de-la-jeunesse_<lui-1300>_34982,"toilette ? . . . J' essayai dix robes ,"
