,text_surronding
Bazin-Rene_Madame-Corentine_<Guillaume-1872>_35858,"à mener l' affaire . Guillaume , après la mort"
Bazin-Rene_Madame-Corentine_<Guillaume-1872>_35864,", après la mort de son père , pouvait vivre"
Bazin-Rene_Madame-Corentine_<Guillaume-1872>_35994,"au pays natal , ne lui revenait qu' en bloc"
Bazin-Rene_Madame-Corentine_<Guillaume-1872>_36055,"nouvelle , alors , où son fils et elle s'"
Bazin-Rene_Madame-Corentine_<Guillaume-1872>_36058,", où son fils et elle s' étaient retrouvés seuls"
Bazin-Rene_Madame-Corentine_<Guillaume-1872>_36089,contre soi - même . Elle était devenue blanche de
Bazin-Rene_Madame-Corentine_<Guillaume-1872>_36096,"devenue blanche de cheveux , madame Jeanne L' Héréec ."
Bazin-Rene_Madame-Corentine_<Guillaume-1872>_36101,"madame Jeanne L' Héréec . Elle avait beaucoup travaillé ,"
Bazin-Rene_Madame-Corentine_<Guillaume-1872>_36131,chagrin d' avoir quitté Tréguier la tenait toujours . Devant
Bazin-Rene_Madame-Corentine_<Guillaume-1872>_36136,"la tenait toujours . Devant son fils , elle se"
Bazin-Rene_Madame-Corentine_<Guillaume-1872>_36139,". Devant son fils , elle se contenait . C'"
Bazin-Rene_Madame-Corentine_<Guillaume-1872>_36172,tous deux . Mais quand elle était seule à travailler
Bazin-Rene_Madame-Corentine_<Guillaume-1872>_36178,"était seule à travailler , madame Jeanne laissait parler les"
Bazin-Rene_Madame-Corentine_<Guillaume-1872>_36186,"parler les vieilles déceptions de sa vie , amassées au"
Bazin-Rene_Madame-Corentine_<Guillaume-1872>_36193,", amassées au fond de son cœur . Et elle"
Bazin-Rene_Madame-Corentine_<Guillaume-1872>_36197,de son cœur . Et elle concluait souvent: « Si
Bazin-Rene_Madame-Corentine_<Guillaume-1872>_36202,"elle concluait souvent: « Si j' étais un homme ,"
Bazin-Rene_Madame-Corentine_<Guillaume-1872>_36207,"j' étais un homme , je retournerais à Tréguier ,"
Bazin-Rene_Madame-Corentine_<Guillaume-1872>_36213,"retournerais à Tréguier , et j' y referais ma fortune!"
Bazin-Rene_Madame-Corentine_<Guillaume-1872>_36216,", et j' y referais ma fortune! » Madame Jeanne"
Bazin-Rene_Madame-Corentine_<Guillaume-1872>_36219,"y referais ma fortune! » Madame Jeanne , ce jour"
Bazin-Rene_Madame-Corentine_<Guillaume-1872>_36265,L' heure était morte . Madame Jeanne entendit une voix
