,text_surronding
Beigbeder-Frederic_99-Francs_<vous-3160>_56916,"pour la première fois , vous avez fait l' amour"
Beigbeder-Frederic_99-Francs_<vous-3160>_56930,"merveille fruitée et logique . Octave , tu mérites ta"
Beigbeder-Frederic_99-Francs_<vous-3160>_56932,"et logique . Octave , tu mérites ta réputation de"
Beigbeder-Frederic_99-Francs_<vous-3160>_56934,". Octave , tu mérites ta réputation de spécialiste du"
Beigbeder-Frederic_99-Francs_<vous-3160>_56968,Tamara s' est rapprochée de toi; tu cherchais une serviette
Beigbeder-Frederic_99-Francs_<vous-3160>_56969,s' est rapprochée de toi; tu cherchais une serviette de
Beigbeder-Frederic_99-Francs_<vous-3160>_56977,serviette de table pour essuyer tes doigts poisseux après avoir
Beigbeder-Frederic_99-Francs_<vous-3160>_56994,fut elle qui commença par te lécher la main; puis
Beigbeder-Frederic_99-Francs_<vous-3160>_57002,main; puis le reste . Tu t' en es mêlé
Beigbeder-Frederic_99-Francs_<vous-3160>_57009,"en es mêlé , ou vous vous êtes emmêlés ,"
Beigbeder-Frederic_99-Francs_<vous-3160>_57032,l' abricot ) . Elle te caressait avec ses cheveux
Beigbeder-Frederic_99-Francs_<vous-3160>_57051,on se voyait dedans . Tu as rebandé juste après
Beigbeder-Frederic_99-Francs_<vous-3160>_57065,est une chose qui ne t' était plus arrivée depuis
Beigbeder-Frederic_99-Francs_<vous-3160>_57100,"est pourtant si bon : vous venez d' éjaculer ,"
Beigbeder-Frederic_99-Francs_<vous-3160>_57105,"vous venez d' éjaculer , vous vous regardez , buvez"
Beigbeder-Frederic_99-Francs_<vous-3160>_57109,", vous vous regardez , buvez un peu d' eau"
Beigbeder-Frederic_99-Francs_<vous-3160>_57119,", fumez une clope , gloussez , et tout à"
Beigbeder-Frederic_99-Francs_<vous-3160>_57137,"le désir se repointe , vous avez de nouveau la"
Beigbeder-Frederic_99-Francs_<vous-3160>_57160,"un coup de barre , Tamara , et ça repart"
