,text_surronding
Beigbeder-Frederic_Windows-on-the-World_<Holden Caulfield-733>_9868,qu' à l' époque où Holden Caulfield fuguait . La
Beigbeder-Frederic_Windows-on-the-World_<Holden Caulfield-733>_9975,"travers les seigles . "" Holden Caulfield ( le narrateur"
Beigbeder-Frederic_Windows-on-the-World_<Holden Caulfield-733>_9978,". "" Holden Caulfield ( le narrateur ) a mal"
Beigbeder-Frederic_Windows-on-the-World_<Holden Caulfield-733>_9987,mal entendu le poème : il croit qu' il dit
Beigbeder-Frederic_Windows-on-the-World_<Holden Caulfield-733>_9990,"poème : il croit qu' il dit ""si un coeur"
Beigbeder-Frederic_Windows-on-the-World_<Holden Caulfield-733>_9999,"coeur rencontre un coeur"" . Il se définit comme ""l'"
Beigbeder-Frederic_Windows-on-the-World_<Holden Caulfield-733>_10014,C' est le métier qu' il aimerait faire dans la
Beigbeder-Frederic_Windows-on-the-World_<Holden Caulfield-733>_10024,"vie . Page 208 , il explique sa vocation à"
Beigbeder-Frederic_Windows-on-the-World_<Holden Caulfield-733>_10026,"Page 208 , il explique sa vocation à sa petite"
Beigbeder-Frederic_Windows-on-the-World_<Holden Caulfield-733>_10029,"il explique sa vocation à sa petite soeur , Phoebe"
Beigbeder-Frederic_Windows-on-the-World_<Holden Caulfield-733>_10035,"petite soeur , Phoebe . Il s' imagine en train"
Beigbeder-Frederic_Windows-on-the-World_<Holden Caulfield-733>_10061,". Ce serait , pour lui , la profession idéale"
Beigbeder-Frederic_Windows-on-the-World_<Holden Caulfield-733>_10157,qu' ils ne tombent . Moi aussi je voudrais être
Beigbeder-Frederic_Windows-on-the-World_<Holden Caulfield-733>_10159,ne tombent . Moi aussi je voudrais être l' attrapeur
Beigbeder-Frederic_Windows-on-the-World_<Holden Caulfield-733>_10162,Moi aussi je voudrais être l' attrapeur à travers les
Beigbeder-Frederic_Windows-on-the-World_<Holden Caulfield-733>_10169,à travers les fenêtres . Je joue à mépriser mes
Beigbeder-Frederic_Windows-on-the-World_<Holden Caulfield-733>_10173,". Je joue à mépriser mes voisins de table ,"
Beigbeder-Frederic_Windows-on-the-World_<Holden Caulfield-733>_10182,", c' est un de mes sports favoris quand je"
Beigbeder-Frederic_Windows-on-the-World_<Holden Caulfield-733>_10186,de mes sports favoris quand je m' emmerde avec mes
Beigbeder-Frederic_Windows-on-the-World_<Holden Caulfield-733>_10190,quand je m' emmerde avec mes gosses . Regarde -
Beigbeder-Frederic_Windows-on-the-World_<Holden Caulfield-733>_10194,avec mes gosses . Regarde - moi ces parvenus ;
Beigbeder-Frederic_Windows-on-the-World_<Holden Caulfield-733>_10235,"trois siècles . Yeeehaa , j' ai réussi , j'"
Beigbeder-Frederic_Windows-on-the-World_<Holden Caulfield-733>_10239,", j' ai réussi , j' ai une maison à"
Beigbeder-Frederic_Windows-on-the-World_<Holden Caulfield-733>_10260,"au lieu de ""shit"" ! Je ne suis plus un"
Beigbeder-Frederic_Windows-on-the-World_<Holden Caulfield-733>_10296,appareils électroménagers qui font baver ma femme aux cheveux laqués
Beigbeder-Frederic_Windows-on-the-World_<Holden Caulfield-733>_10312,"Beauty . Par moments , j' ai l' impression d'"
Beigbeder-Frederic_Windows-on-the-World_<Holden Caulfield-733>_10348,"famille parfaite , c' est ""so me"" il y a"
Beigbeder-Frederic_Windows-on-the-World_<Holden Caulfield-733>_10369,"au lendemain . Well , j' ai fait en sorte"
Beigbeder-Frederic_Windows-on-the-World_<Holden Caulfield-733>_10375,ai fait en sorte de me faire virer de chez
Beigbeder-Frederic_Windows-on-the-World_<Holden Caulfield-733>_10380,me faire virer de chez moi : j' ignore si
Beigbeder-Frederic_Windows-on-the-World_<Holden Caulfield-733>_10382,virer de chez moi : j' ignore si c' est
Beigbeder-Frederic_Windows-on-the-World_<Holden Caulfield-733>_10423,Disons que pour l' instant je m' en sors mieux
Beigbeder-Frederic_Windows-on-the-World_<Holden Caulfield-733>_10439,qu' est - ce que je me suis masturbé sous
