,text_surronding
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_36677,il était là ! reprit le baron Robert . Et
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_36694,"eue devant lui ?— Elle le regardait , sans trop"
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_36719,verbal de constatation . — Vous me parlez d' une
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_36720,de constatation . — Vous me parlez d' une lettre
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_36857,"tant d' honneur , dit le baron , elle a"
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_36874,le genre de celles que vous avez bien voulu me
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_36878,que vous avez bien voulu me citer ? Par exemple
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37020,"t - elle répondu , je vous prie ?— Elle"
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37021,"- elle répondu , je vous prie ?— Elle a"
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37043,"avoué ?— Faut - il vous le dire , mon"
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37047,"il vous le dire , mon cher baron , ému"
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37053,"cher baron , ému comme vous l' êtes ?— Moi"
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37057,"comme vous l' êtes ?— Moi , ému ! Je"
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37061,"?— Moi , ému ! Je suis très calme ."
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37069,"calme . Du reste , vous en avez tant dit"
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37079,que rien ne doit plus vous arrêter . — Eh
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37205,"à ce sujet . Mais j' ai cru comprendre ,"
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37214,", d' après ce que m' a dit mon confrère"
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37217,"ce que m' a dit mon confrère , que si"
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37310,!Cette épithète parut excessive à l' avoué qui ne put
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37312,parut excessive à l' avoué qui ne put s' empêcher
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37322,de dire :— N' êtes - vous pas trop sévère
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37331,"sévère pour le mari , mon cher baron , et"
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37357,"malheureusement établies ?— Établies pour vous , un homme de"
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37373,et un constat suffisent et qui jugez sur pièces .
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37379,"jugez sur pièces . Mais moi , un homme de"
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37381,"pièces . Mais moi , un homme de science ,"
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37386,"un homme de science , j' attache aux écrits moins"
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37394,"écrits moins d' importance que vous , et j' essaye"
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37397,"importance que vous , et j' essaye de lire au"
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37408,delà des faits lorsqu' ils m' étonnent . Je me
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37411,lorsqu' ils m' étonnent . Je me refuse à admettre
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37450,"est pas la faute qui m' étonne le plus ,"
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37490,"de mystérieux , et comme j' ai consacré ma vie"
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37493,et comme j' ai consacré ma vie à essayer de
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37502,"de deviner les mystères , j' essayerai de pénétrer celui"
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37516,". Pour y arriver , mon cher maître , je"
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37520,", mon cher maître , je vais aller m' entretenir"
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37526,vais aller m' entretenir avec votre cliente que vous me
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37528,m' entretenir avec votre cliente que vous me paraissez avoir
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37529,entretenir avec votre cliente que vous me paraissez avoir trop
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37530,avec votre cliente que vous me paraissez avoir trop facilement
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37548,"le petit salon , où Laure Chassin le recevait d'"
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37550,"salon , où Laure Chassin le recevait d' habitude ,"
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37556,"recevait d' habitude , et la trouva seule travaillant à"
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37566,une tapisserie . — Enfin vous voilà ! s' écria
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37573,! s' écria - t - elle toute joyeuse en
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37578,- elle toute joyeuse en l' apercevant . Près de
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37587,"de trois jours , sans me voir . C' est"
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37598,", bien mal . Que vous est - il donc"
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37617,"- vous . Puis , je suis venu avant -"
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37624,venu avant - hier et vous étiez sortie . —
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37634,"C' est vrai , et j' en ai été désolée"
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37640,en ai été désolée . Moi qui ne sors jamais
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37641,ai été désolée . Moi qui ne sors jamais dans
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37649,jamais dans la soirée ! Je ne sais pas ce
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37655,ne sais pas ce qui m' a pris . Je
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37659,qui m' a pris . Je n' ai pas pu
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37686,enfermée tout le jour . Je me suis bien trouvée
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37704,. . nocturne . Elle m' a comme réveillée .
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37709,"m' a comme réveillée . J' étais assoupie , engourdie"
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37724,"et , depuis hier , je me sens beaucoup mieux"
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37732,"beaucoup mieux . . . Vous devez être content ,"
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37737,"Vous devez être content , mon grand ami , vous"
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37741,", mon grand ami , vous qui vous inquiétiez de"
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37742,"mon grand ami , vous qui vous inquiétiez de mon"
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37746,vous qui vous inquiétiez de mon état . Vous ne
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37749,inquiétiez de mon état . Vous ne le disiez pas
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37756,"le disiez pas , mais je le voyais bien ."
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37767,est - ce pas que vous êtes content ? fit
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37772,vous êtes content ? fit - elle en lui souriant
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37775,? fit - elle en lui souriant de son sourire
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37778,"elle en lui souriant de son sourire doux , affectueux"
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37789,"— Très content , répondit - il . Il était"
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37792,", répondit - il . Il était surtout très étonné"
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37798,"était surtout très étonné de sa bonne humeur , de"
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37803,"sa bonne humeur , de son ton enjoué , de"
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37812,de la façon légère dont elle parlait de sa sortie
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37815,légère dont elle parlait de sa sortie . . .
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37845,police ? En admettant qu' elle n' en comprît pas
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37855,"toute la portée , qu' elle n' eût commis ,"
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37877,", qu' une imprudence , elle devrait s' en repentir"
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37901,"situation nouvelle où cette imprudence l' avait placée , comment"
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37907,"avait placée , comment gardait - elle un silence si"
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37924,de celui qui avait défendu sa cause avec tant de
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37933,"de chaleur , partagé tous ses ennuis , tous ses"
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37937,"tous ses ennuis , tous ses chagrins ? Aussi ,"
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37951,"il s' était faite de l' interroger doucement , de"
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37956,"l' interroger doucement , de l' amener peu à peu"
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37966,"à se confesser , il lui dit brusquement :— Est"
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37974,:— Est - ce que vous n' avez pas vu
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37979,"vous n' avez pas vu votre mari , ces jours"
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_37997,sans remarquer sa brusquerie :— Je l' ai vu en
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_38026,la veille du jour où je suis sortie après le
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_38035,"le dîner . Retirée dans ma chambre , j' avais"
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_38038,"Retirée dans ma chambre , j' avais lu , jusqu'"
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_38047,"jusqu' à minuit , et je venais de m' assoupir"
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_38058,"la chaise longue , lorsque je l' ai vu entrer"
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_38067,"entrer , s' avancer vers moi , me regarder fixement"
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_38069,"s' avancer vers moi , me regarder fixement et poser"
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_38077,et poser ses doigts sur mes yeux . Il croyait
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_38083,yeux . Il croyait qu' elle allait continuer . Mais
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_38090,"continuer . Mais , comme elle s' était arrêtée ,"
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_38096,"s' était arrêtée , il lui dit :— Eh bien"
Belot-Adolphe_Alphonsine_<le baron Robert-1305>_38108,? Est - ce que votre rêve finit là ?—
