,text_surronding
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_23905,", Mme de Saire reconnut Marcelle , se jeta dans"
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_23910,"Marcelle , se jeta dans ses bras et , l'"
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_23914,"dans ses bras et , l' attirant sur la chaise"
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_23929,"toutes deux : — Enfin te voilà , lui dit"
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_23932,"— Enfin te voilà , lui dit - elle ,"
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_23934,"te voilà , lui dit - elle , tu daignes"
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_23937,"lui dit - elle , tu daignes me faire visite"
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_23939,"- elle , tu daignes me faire visite ! La"
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_23943,daignes me faire visite ! La femme du grand M
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_23969,Saire . — Quoi ! tu supposes . . .
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_23975,supposes . . . fit Marcelle en se défendant .
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_23981,"en se défendant . — Je ne suppose pas ,"
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_23986,"Je ne suppose pas , je constate : tu es"
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_23989,"pas , je constate : tu es à Paris depuis"
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_23996,à Paris depuis longtemps et tu n' as pas encore
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_24011,celle qui s' attendait à te voir le lendemain de
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_24016,te voir le lendemain de ton arrivée . — Ah
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_24023,. — Ah ! si tu savais ! dit Marcelle
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_24027,si tu savais ! dit Marcelle . — Quoi donc
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_24035,Quoi donc ? — Si tu connaissais ma vie !
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_24037,? — Si tu connaissais ma vie ! — Comme
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_24042,ma vie ! — Comme tu dis cela ! Serais
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_24047,tu dis cela ! Serais - tu malheureuse ? Tu
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_24051,Serais - tu malheureuse ? Tu ne réponds pas .
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_24062,est donc vrai ? Et tu viens à moi le
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_24065,? Et tu viens à moi le jour où tu
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_24069,à moi le jour où tu souffres . Tu accours
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_24072,jour où tu souffres . Tu accours te réfugier auprès
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_24078,"accours te réfugier auprès de ton amie , de ta"
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_24082,"de ton amie , de ta sœur . . ."
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_24087,"ta sœur . . . Tu te le rappelles ,"
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_24100,ce pas ? Au couvent tu me donnais le nom
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_24101,pas ? Au couvent tu me donnais le nom de
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_24118,"- gentil , ce que tu fais là . Voilà"
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_24128,de la véritable amitié ou je ne m' y connais
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_24173,. C' est ce que tu fais . Merci .
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_24190,ironie dans ces paroles ; Lucile exprimait fidèlement sa pensée
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_24193,paroles ; Lucile exprimait fidèlement sa pensée . Son sourire
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_24196,"exprimait fidèlement sa pensée . Son sourire , son regard"
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_24199,"pensée . Son sourire , son regard , la tendresse"
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_24205,"regard , la tendresse de sa voix , affirmaient ses"
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_24209,"de sa voix , affirmaient ses protestations et ne permettaient"
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_24218,permettaient pas de douter de sa franchise . Elle s'
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_24221,douter de sa franchise . Elle s' était arrêtée et
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_24226,Elle s' était arrêtée et regardait Marcelle . — Comme
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_24227,s' était arrêtée et regardait Marcelle . — Comme tu
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_24231,"regardait Marcelle . — Comme tu es changée , lui"
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_24235,"Comme tu es changée , lui disait - elle ,"
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_24237,"es changée , lui disait - elle , comme tu"
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_24241,"disait - elle , comme tu t' es développée ,"
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_24247,"t' es développée , comme tu es jolie ! Au"
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_24256,"Au Sacré - Cœur , tu promettais déjà beaucoup ;"
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_24261,tu promettais déjà beaucoup ; tu as tenu bien au
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_24268,tenu bien au delà de tes promesses . Je te
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_24271,"delà de tes promesses . Je te voudrais cependant ,"
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_24272,"de tes promesses . Je te voudrais cependant , plus"
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_24284,". . les hommes adorent les femmes grasses , ils"
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_24297,le goût des musulmans . Mon mari prétend qu' il
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_24318,"la femme maigre . Rassure - toi , tu ne"
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_24321,". Rassure - toi , tu ne fais pas encore"
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_24331,partie du troisième sexe ; tu as seulement des tendances
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_24347,", si rose autrefois ! Tu as vécu tant d'"
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_24361,"de la mer , pour me rapporter ce visage !"
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_24366,me rapporter ce visage ! Tu es plus pâle que
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_24371,"Tu es plus pâle que moi , chère petite ;"
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_24373,"plus pâle que moi , chère petite ; et moi"
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_24377,", chère petite ; et moi je suis brune ,"
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_24378,"chère petite ; et moi je suis brune , j'"
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_24382,"moi je suis brune , j' ai le droit de"
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_24405,", à la vie que je mène : toujours en"
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_24418,à Paris . . . Je ne me plains pas
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_24432,". . . Quoi ! ton regard , si brillant"
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_24442,"autrefois , est éteint , tes yeux sont cernés ."
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_24454,Ah ça ! qu' as - tu donc ? —
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_24459,"- tu donc ? — Je suis malade , dit"
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_24464,"Je suis malade , dit Marcelle . — Malade !"
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_24470,". — Malade ! Et moi qui parle , qui"
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_24471,"— Malade ! Et moi qui parle , qui parle"
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_24474,"Et moi qui parle , qui parle . Je ne"
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_24477,"parle , qui parle . Je ne suis pas toujours"
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_24485,"pas toujours aussi bavarde , ma chère . Je passe"
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_24488,"bavarde , ma chère . Je passe des journées entières"
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_24504,desserrer les dents ; on me croirait endormie . Mon
Belot-Adolphe_Les-Mysteres-mondains_<Marcelle-1305>_24508,"on me croirait endormie . Mon mari assis là ,"
