,text_surronding
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_71341,"Puis , il avait appelé Zarzuz . Celui - ci"
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_71343,il avait appelé Zarzuz . Celui - ci s' était
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_71353,approché . J' avais entendu son maître lui parler à
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_71355,J' avais entendu son maître lui parler à l' oreille
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_71364,oreille . « Emmène avec toi autant d' hommes qu'
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_71370,autant d' hommes qu' il te sera nécessaire . Je
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_71374,il te sera nécessaire . Je ne veux te revoir
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_71377,nécessaire . Je ne veux te revoir que lorsque tu
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_71381,veux te revoir que lorsque tu auras nettoyé de cette
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_71409,Crois - tu que ça lui fera plaisir ? me
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_71417,"? me demanda - t - il , le doigt"
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_71430,chambre d' Ariane . Faut - il lui en parler
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_71440,"? »En même temps , il me montrait , pendu"
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_71449,"pendu à la selle de Zarzuz , le sac ,"
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_71501,", on verra . » Il ne se trouvait vraiment"
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_71509,"trouvait vraiment pas mal , le père Sam , à"
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_71519,Catharona . On sentait qu' il en appréciait de plus
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_71537,", je suis persuadé qu' il n' aurait pas demandé"
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_71547,mieux que d' y prolonger son séjour . Mais le
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_71578,silencieuse douleur d' Ariane qui le glaçait . Et puis
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_71587,"puis , n' oublions pas son voyage à Fort Patterson"
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_71593,"voyage à Fort Patterson , ses trois semaines d' absence"
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_71599,"trois semaines d' absence … Ses affaires , maintenant ,"
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_71604,"Ses affaires , maintenant , le rappelaient à Isquilar ."
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_71631,"avait pas assisté – , il m' annonça son départ"
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_71634,"– , il m' annonça son départ pour l' après"
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_71665,"Heu ! heu ! fit - il , pas au"
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_71680,coup comme celui dont tu m' as gratifié il y
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_71690,"a un an , souviens - toi , mauvais sujet"
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_71714,". »Là - dessus , il m' avait allongé dans"
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_71731,un jeune veau . « J' espère aussi que je
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_71742,"la dérangerai pas , que je pourrai lui dire un"
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_71763,"tout cela avec timidité , rougissant presque . Imaginez -"
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_71770,. Imaginez - vous ! Samuel Butler ! Ma parole
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_71778,"Ma parole , on me l' avait transformé . Je"
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_71834,n' avais craint . Lorsqu' il la vit devant lui
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_71838,"Lorsqu' il la vit devant lui , toute droite ,"
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_71849,"pâle , le peu qui lui restait d' assurance s'"
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_71856,d' assurance s' évanouit . Il se mit à bafouiller
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_71871,plus curieux était que cela le rendait verbeux . Il
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_71875,cela le rendait verbeux . Il n' en finissait pas
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_71882,en finissait pas . Je l' écoutais avec stupéfaction .
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_71889,avec stupéfaction . « À mon tour de mettre ma
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_71893,À mon tour de mettre ma maison à votre disposition
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_71900,"à votre disposition , disait - il . Isquilar ,"
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_71948,"ce qui est arrivé à mon ami Adair , Théo"
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_71962,"circonstance analogue . Oui , sa chère femme , qu'"
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_71967,"sa chère femme , qu' il adorait … Lui ,"
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_71970,", qu' il adorait … Lui , Adair , ce"
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_71972,"il adorait … Lui , Adair , ce n' était"
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_71974,"… Lui , Adair , ce n' était qu' un"
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_71984,"homme , un camarade . Je l' avais reçu à"
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_71985,", un camarade . Je l' avais reçu à la"
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_72008,"si vous veniez … »Elle le regardait , sans un"
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_72021,- être même aussi sans l' entendre . Elle le
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_72025,"sans l' entendre . Elle le remercia , cependant ,"
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_72031,"remercia , cependant , quand il eut fini . Et"
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_72054,"est - ce pas , monsieur Butler , vous qui"
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_72057,"pas , monsieur Butler , vous qui vous y connaissez"
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_72058,", monsieur Butler , vous qui vous y connaissez en"
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_72071,est - ce pas que c' était un brave enfant
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_72073,ce pas que c' était un brave enfant ? »Crevant
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_72082,"»Crevant littéralement d' émotion , il n' avait même pas"
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_72093,capable de lui répondre . Il lui avait embrassé la
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_72103,"main , précipitamment . Et il était parti . «"
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_72115,", eh bien , aurais - je dit à Ariane"
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_72125,"en toute autre occasion , je ne suis plus maintenant"
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_72150,seule dans les Rocheuses . Je ne m' étonnerai pas
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_72194,! à la plaisanterie . J' aimais John . Je
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_72196,la plaisanterie . J' aimais John . Je l' aimais
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_72198,. J' aimais John . Je l' aimais beaucoup .
Benoit-Pierre_La-dame-de-l-ouest_<Zarzuz-2699>_72199,J' aimais John . Je l' aimais beaucoup . Si
