,text_surronding
Bernanos-Georges_Monsieur-Ouine_<vous-3340>_93535,"Bref , des idées que vous ne pouvez pas comprendre"
Bernanos-Georges_Monsieur-Ouine_<vous-3340>_93575,"Et cependant , si je vous racontais … Descendez -"
Bernanos-Georges_Monsieur-Ouine_<vous-3340>_93579,"je vous racontais … Descendez - vous maintenant , oui"
Bernanos-Georges_Monsieur-Ouine_<vous-3340>_93591,"? – Non , dit Philippe , et il s'"
Bernanos-Georges_Monsieur-Ouine_<vous-3340>_93594,", dit Philippe , et il s' efforçait de raffermir"
Bernanos-Georges_Monsieur-Ouine_<vous-3340>_93611,"moins la fenêtre , conclut la vieille . Il y"
Bernanos-Georges_Monsieur-Ouine_<vous-3340>_93669,"jours déjà qu' elle hante Philippe , cette odeur –"
Bernanos-Georges_Monsieur-Ouine_<vous-3340>_93691,géants du vieux parc . Il la retrouve chaque matin
Bernanos-Georges_Monsieur-Ouine_<vous-3340>_93698,"retrouve chaque matin , lorsqu' il va décrocher son veston"
Bernanos-Georges_Monsieur-Ouine_<vous-3340>_93701,", lorsqu' il va décrocher son veston , elle se"
Bernanos-Georges_Monsieur-Ouine_<vous-3340>_93719,"l' eau de Cologne dont il s' inonde , après"
Bernanos-Georges_Monsieur-Ouine_<vous-3340>_93724,"il s' inonde , après son tub . Et pourtant"
Bernanos-Georges_Monsieur-Ouine_<vous-3340>_93732,"Et pourtant , même s' il plonge alors sa figure"
Bernanos-Georges_Monsieur-Ouine_<vous-3340>_93735,même s' il plonge alors sa figure dans les plis
Bernanos-Georges_Monsieur-Ouine_<vous-3340>_93744,"plis de l' étoffe , il ne sent rien ."
Bernanos-Georges_Monsieur-Ouine_<vous-3340>_93769,qu' à son heure . Philippe ouvre néanmoins la fenêtre
Bernanos-Georges_Monsieur-Ouine_<vous-3340>_93775,"ouvre néanmoins la fenêtre , regarde le jardin jadis cher"
Bernanos-Georges_Monsieur-Ouine_<vous-3340>_93817,dessine d' imperceptibles moires . L' enfant prête l' oreille
