,text_surronding
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_25500,est le pays béni où j' ai reçu le jour
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_25582,La chasse aux auks . Ma peuplade se composait seulement
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_25603,"la mer de Baffin . Mon père était , disait"
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_25651,"rugissements du blessé , attaquèrent mon père tous à la"
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_25671,", peu de temps après ma naissance . Aussi loin"
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_25678,". Aussi loin que remontent mes souvenirs , je me"
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_25681,"que remontent mes souvenirs , je me vois tout petit"
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_25685,", je me vois tout petit enfant , emmaillotté dans"
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_25703,"porté sur le dos de ma mère , dans son"
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_25712,son capuchon de fourrure . J' avais pour perspective habituelle
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_25750,"lard de baleine , car ma mère , quoique veuve"
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_25778,et cette suave odeur ne me charmaient pas outre mesure
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_25785,"pas outre mesure , car je pleurais quelquefois . Alors"
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_25793,. Alors la digne femme me passait par - dessus
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_25820,"autre friandise , sur laquelle j' exerçais mes dents naissantes"
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_25822,", sur laquelle j' exerçais mes dents naissantes et qui"
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_25827,mes dents naissantes et qui me calmait aussitôt . Mais
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_25838,prospérité ne dura pas ; ma pauvre mère mourut subitement
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_25854,"de notre race , et je demeurai orphelin à l'"
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_25864,âge de quelques années . Je ne fus pas abandonné
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_25872,pas abandonné pour cela et je devins l' enfant d'
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_25907,"importe guère . Chaque matrone me taillait , à son"
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_25933,pour l' hiver ; ou me cousait des bottines de
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_25940,des bottines de cuir . Je couchais sur le kolopsut
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_25964,"avec la famille , et j' étais aussi bien vêtu"
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_25995,"générale parmi nous ; quand je grandis , on exigea"
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_26001,"grandis , on exigea de moi des services en rapport"
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_26007,des services en rapport avec mes forces . On m'
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_26011,avec mes forces . On m' envoyait dénicher les oiseaux
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_26030,enlever . leurs œufs ; je tendais des piéges pour
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_26042,lapins et des martres ; je veillais sur les chiens
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_26058,"pour les voyages . Quand je fus adolescent , on"
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_26065,"adolescent , on songea à m' apprendre tout ce que"
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_26088,"son tour , et on me plaça sous la surveillance"
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_26114,quel âge avait Metek ; mes compatriotes ne savent compter
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_26252,"souvent , en ce qui me regardait , des taloches"
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_26269,". Outre qu' il était mon maître d' apprentissage ,"
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_26281,"un caractère sacré , qui me pénétrait de respect et"
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_26299,de la tribu . Comme je l' ai dit déjà
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_26405,pédagogue qui était chargé de mon éducation esquimaude et qui
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_26414,qui veillait à ce que j' accomplisse mes diverses tâches
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_26416,à ce que j' accomplisse mes diverses tâches . Ne
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_26446,", mais sans pitié . J' avais un défaut ,"
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_26454,"défaut , commun à toute ma race , et qui"
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_26459,"ma race , et qui me faisait prendre bien souvent"
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_26473,était une gourmandise insatiable ; mon estomac était comme un
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_26491,"irrésistible et toujours renaissante , je commettais des larcins ,"
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_26496,"je commettais des larcins , j' employais des ruses que"
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_26520,des rudes corrections qu' il m' administrait . On m'
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_26524,il m' administrait . On m' enseignait la chasse aux
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_26569,"excellentes leçons de Metek , je commençais à faire des"
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_26589,Les gens de la tribu me comblaient d' éloges et
