,text_surronding
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_35042,vous trop tard pour recevoir son dernier soupir . —
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_35064,c' est impossible ! — Il est peut être mort
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_35089,"venez avec moi , vous le sauverez . Maxime ,"
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_35244,"deux ou trois jours , le père Mathurin était entre"
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_35255,vie et la mort . Il avait été amené à
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_35281,connaissent la cause . Quand il eut appris le départ
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_35287,"eut appris le départ de sa fille , il prit"
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_35290,"départ de sa fille , il prit en dégoût la"
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_35300,vie et le travail . Il passait ses journées dans
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_35302,le travail . Il passait ses journées dans la chambre
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_35318,que le père Bourdois vînt l' y chercher et l'
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_35322,vînt l' y chercher et l' entraînât pour lui faire
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_35337,", cédant aux exhortations de son ami , il retournait"
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_35340,"exhortations de son ami , il retournait à son bateau"
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_35343,"ami , il retournait à son bateau , à l'"
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_35352,"l' autre Louise , qui l' attendait tristement échouée sur"
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_35360,échouée sur le pavé . Il la mettait à flot
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_35366,la mettait à flot et reprenait ses avirons . Mais
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_35367,mettait à flot et reprenait ses avirons . Mais les
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_35378,d' énergie étaient courts . Il revenait toujours à la
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_35398,"vague espoir d' y retrouver sa fille , assise et"
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_35415,"fenêtre . Peu à peu ses forces s' affaiblirent ,"
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_35424,", et le père Bourdois le décida à se mettre"
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_35434,"au lit . Cependant , il ne souffrait pas ."
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_35483,", était monté près de lui , et s' était"
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_35498,comptant passer la nuit auprès du malade . Celui -
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_35501,"nuit auprès du malade . Celui - ci , pour"
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_35506,"Celui - ci , pour qui la parole semblait être"
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_35527,"pour le remercier , et était retombé dans son assoupissement"
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_35530,", et était retombé dans son assoupissement . Le père"
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_35651,". Elle courut au lit du vieillard , et ,"
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_35659,"et , s' agenouillant , lui saisit la main qui"
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_35691,"Louise , ta fille . Le père Mathurin fit un"
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_35698,Mathurin fit un mouvement . Ses lèvres s' agitèrent .
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_35712,"qui venaient d' entrer , le soulevèrent doucement . Il"
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_35716,", le soulevèrent doucement . Il ouvrit les yeux ,"
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_35722,"ouvrit les yeux , et ses mains tremblantes cherchèrent la"
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_35729,tremblantes cherchèrent la tête de son enfant . — C'
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_35743,. . . Oh ! je savais bien que tu
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_35747,! je savais bien que tu reviendrais . . .
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_35752,tu reviendrais . . . Je suis bien heureux de
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_35768,". . . — Mais vous ne mourrez pas ,"
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_35773,"vous ne mourrez pas , mon père ; nous vous"
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_35777,", mon père ; nous vous sauverons . N' est"
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_35786,"est - ce pas , monsieur , que vous le"
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_35789,"pas , monsieur , que vous le sauverez ? Renard"
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_35790,", monsieur , que vous le sauverez ? Renard avait"
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_35803,premier coup d' œil que le vieillard n' avait plus
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_35820,"C' est égal , continua le père Mathurin , ça"
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_35825,"le père Mathurin , ça m' a fait bien du"
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_35832,fait bien du mal quand tu m' as quitté .
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_35833,bien du mal quand tu m' as quitté . .
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_35839,as quitté . . . Je faisais tout ce que
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_35844,Je faisais tout ce que je pouvais pour te rendre
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_35847,ce que je pouvais pour te rendre heureuse . .
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_35856,". . Et puis , j' avais l' habitude de"
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_35861,"j' avais l' habitude de te voir , et tu"
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_35865,"de te voir , et tu sais , chez les"
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_35883,les habitudes . . . Louise sanglotait . Les trois
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_35911,"va . . . si j' ai souffert , ça"
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_35922,"bientôt fini , et puisque je te laisse heureuse ."
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_35923,"fini , et puisque je te laisse heureuse . ."
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_35930,"heureuse . . . car tu es heureuse , n'"
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_35948,. . . s' écria Louise . — Laissez -
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_35952,écria Louise . — Laissez - lui cette dernière consolation
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_35959,"cette dernière consolation , dit Renard à voix basse ."
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_35968,. — Eh bien ! je m' en irai content
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_35989,"si Dieu est juste , vous ne mourrez pas ;"
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_35998,"; ce n' est pas vous , mon père ,"
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_36000,"n' est pas vous , mon père , qui êtes"
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_36016,"A quoi bon , dit Renard , attrister encore ses"
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_36020,"dit Renard , attrister encore ses derniers moments ? —"
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_36039,? s' écria - t - elle en se levant
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_36051,est horrible ; c' est moi qui le tue et
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_36056,moi qui le tue et sa dernière parole est une
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_36063,"parole est une bénédiction pour moi ! Mon père ,"
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_36065,"une bénédiction pour moi ! Mon père , reprit -"
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_36069,"! Mon père , reprit - elle en s' agenouillant"
Boissieres-Ernest_Un-crime-inconnu_<son-1641>_36077,"s' agenouillant de nouveau , mon père , je vous"
