,text_surronding
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143349,pour sa martyre . Et lui ? je vois encore
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143354,lui ? je vois encore ses yeux vides . parfois
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143359,ses yeux vides . parfois il restait immobile une heure
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143373,près de la tombe de sa femme . et ses
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143377,de sa femme . et ses yeux étaient – comme
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143384,étaient – comme désert . son chagrin aux yeux ouverts
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143393,ouverts ne regardait ni derrière lui ni devant . ni
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143405,ni nulle part … mais il voyait . voyait …
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143408,… mais il voyait . voyait … son visage changeait
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143410,il voyait . voyait … son visage changeait . doux
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143418,. doux visage . je le reconnaissais pas ! il
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143422,je le reconnaissais pas ! il me voyait pas !
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143427,il me voyait pas ! il voyait tout ! cet
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143444,"ouvre devant un homme et cet homme voit , voit"
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143448,"et cet homme voit , voit ! se réveille de"
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143450,"homme voit , voit ! se réveille de sa vie"
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143453,voit ! se réveille de sa vie … et reconnaît
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143457,de sa vie … et reconnaît plus rien ! et
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143464,rien ! et puis ne voit plus et la vision
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143473,vision ne parle pas … il retombe dans son corps
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143476,pas … il retombe dans son corps et son destin
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143479,retombe dans son corps et son destin tapi dans l'
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143485,destin tapi dans l' embuscade le happe avec sa gueule
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143488,l' embuscade le happe avec sa gueule . c' est
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143496,c' est comme ça qu' il a parfois le visage
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143517,pour ça qu' au retour il frémit au soleil …
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143529,"? nuit après nuit , il rentrait dans la gnôle"
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143538,gnôle comme un djinn dans sa bouteille pour sortir encore
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143546,sortir encore plus fort ! il évitait la famille .
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143551,"il évitait la famille . il m' évitait , moi"
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143560,moi aussi . moi ! son cochonnet ! son groinceau
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143563,moi ! son cochonnet ! son groinceau précieux ! à
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143571,! à trois trous ! il me marmonnait de loin
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143579,de loin quelque chose et allait son chemin ! son
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143580,loin quelque chose et allait son chemin ! son chemin
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143583,et allait son chemin ! son chemin … parfois la
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143595,allumée toute la nuit chez lui . et je venais
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143618,"la pièce , debout , il parlait à quelqu' un"
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143641,"comme caché , et que lui seul voyait . je"
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143651,ne pouvais plus distinguer s' il était sobre ou pas
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143667,moi ni personne ! parfois il ouvrait la porte la
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143674,la porte la nuit et gueulait à faire bégayer les
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143682,bégayer les rossignols « Regardez - moi ! vous !
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143693,joie est morte ? mais je mords pas les murs
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143699,"mords pas les murs , moi ! je mords les"
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143701,"les murs , moi ! je mords les cuisses !"
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143712,"et c' est vrai , il s' est déchaîné ,"
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143717,"il s' est déchaîné , lui ! et personne ne"
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143723,! et personne ne pouvait l' enchaîner ! aucun mort
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143733,ni vivant !Quand je venais le voir – il parlait
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143736,"je venais le voir – il parlait pas beaucoup ,"
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143750,", toi ? … laisse - moi , faut que"
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143755,"- moi , faut que je me rase . »"
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143763,. » tout ce qui l' intéressait – se trouvait
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143776,"à la ronde . et il se gênait pas ,"
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143781,"il se gênait pas , lui ! plus du tout"
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143787,! plus du tout . Il n' allait plus au
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143802,"mais parfois , ivre , il trottait encore vers le"
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143809,"encore vers le cimetière où sa femme reposait , comme"
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143826,"à mi - chemin , restait un peu comme ça"
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143836,", immobile , et puis rentrait , et puis repartait"
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143840,"puis rentrait , et puis repartait voir ses copines ."
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143842,", et puis repartait voir ses copines . en rugissant"
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143879,sais plus . mais enfin il avait retrouvé la joie
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143887,la joie . joie à sa gorge . personne ne
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143895,personne ne regardait plus de son côté . tout le
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143908,par se foutre et de lui et de la martyre
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143927,retrouvé la joie . là – il est devenu pépé
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143930,. là – il est devenu pépé Jo . véritable
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143935,"devenu pépé Jo . véritable , grand pépé Jo !Un"
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143941,grand pépé Jo !Un jour je l' ai ramassé dans
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143952,"neige , ivre muet , et il m' a reconnu"
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143954,"ivre muet , et il m' a reconnu tout de"
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143960,a reconnu tout de suite ! il était si heureux
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143967,était si heureux ! de me voir ! de me
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143971,de me voir ! de me sentir ! de ne
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143985,comme ça ! et puis je l' ai trimbalé jusqu'
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143991,"l' ai trimbalé jusqu' à chez lui , et puis"
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_143996,"chez lui , et puis je l' ai déshabillé et"
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_144001,je l' ai déshabillé et j' ai vu comment la
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_144006,j' ai vu comment la mort l' a frappé d'
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_144014,frappé d' estoc et où . il était nu comme
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_144020,"il était nu comme Isaïe , lui ! épuisé et"
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_144027,! épuisé et souriant … et ses cicatrices et ses
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_144030,souriant … et ses cicatrices et ses trous où le
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_144044,a mis ses doigts … je transe encore ! et
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_144049,je transe encore ! et je l' ai astiqué avec
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_144063,puis – sauna prêt – je l' ai porté sur
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_144068,"je l' ai porté sur mon dos , et lui"
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_144071,"porté sur mon dos , et lui , il pleurait"
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_144073,"mon dos , et lui , il pleurait de honte"
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_144083,", sobre et faible … mon grand - père ."
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_144087,… mon grand - père . Il était à l'
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_144119,de la liturgie ! il m' a raconté après …
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_144178,m' écoute ! »Moi – je l' écoutais . mais
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_144184,l' écoutais . mais il m' a pas tout dit
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_144196,! le prêtre a vu ma mère et lui –
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_144296,qu' est - ce que ma mère pouvait faire …
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_144309,rien ! n' empêche que moi – j' aurais aimé
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_144311,n' empêche que moi – j' aurais aimé voir pépé
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_144432,", les prêtres – il m' a dit après –"
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_144444,normal peut - être ! je ne sais rien !
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_144497,– un saint ! »Il m' a dit pas mal
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_144507,"de choses , pépé . Je l' écoute toujours ."
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_144515,toujours . il parle en moi … parle . Mais
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_144526,?! ce jour - là je l' ai pas vue
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_144538,merde et barbe ! sinon je me serais caché sous
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_144548,la jupe de Babanya ! j' étais en train de
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_144556,"train de loucher tranquillement sur ma bosse au front ,"
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_144561,"ma bosse au front , moi ! bosse grande comme"
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_144573,"corne ! en deux jours j' étais devenu licorneau ,"
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_144578,"j' étais devenu licorneau , moi !Et cette fille ,"
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_144609,"cheveux ! oh ! « Tu fais quoi , toi"
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_144621,elle s' arrête . elle me parle ! toujours à
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_144633,plus rouge qu' une betterave je m' écarte de Babanya
Bortnikov-Dimitri_Face-au-Styx_<lui-5983>_144664,sur sa jupe ! ça m' a mis en rage
