,text_surronding
Bourget-Paul_Nos-actes-nous-suivent_<le vieux Beslay-361>_7225,fête de la fédération et le vieux Beslay a un
Bourget-Paul_Nos-actes-nous-suivent_<le vieux Beslay-361>_7234,un discours à placer . C' est un brave coeur
Bourget-Paul_Nos-actes-nous-suivent_<le vieux Beslay-361>_7236,"à placer . C' est un brave coeur , mais"
Bourget-Paul_Nos-actes-nous-suivent_<le vieux Beslay-361>_7368,"bobards , en voilà ! Il nous l' a lu"
Bourget-Paul_Nos-actes-nous-suivent_<le vieux Beslay-361>_7374,"nous l' a lu , son topo , le père"
Bourget-Paul_Nos-actes-nous-suivent_<le vieux Beslay-361>_7377,"lu , son topo , le père Beslay . ."
Bourget-Paul_Nos-actes-nous-suivent_<le vieux Beslay-361>_7453,exercé ce triste métier . Il ne vous nommera pas
Bourget-Paul_Nos-actes-nous-suivent_<le vieux Beslay-361>_7463,"dans un collège . Mais il aura , sous sa"
Bourget-Paul_Nos-actes-nous-suivent_<le vieux Beslay-361>_7467,"Mais il aura , sous sa direction , les laboratoires"
Bourget-Paul_Nos-actes-nous-suivent_<le vieux Beslay-361>_7473,"direction , les laboratoires . Il vous en donnera un"
Bourget-Paul_Nos-actes-nous-suivent_<le vieux Beslay-361>_7538,", cette fois . Si vous nous trouviez le moyen"
Bourget-Paul_Nos-actes-nous-suivent_<le vieux Beslay-361>_7605,hé bien ! Que dites - vous de mon idée
Bourget-Paul_Nos-actes-nous-suivent_<le vieux Beslay-361>_7611,"vous de mon idée , monsieur de la cornue ?"
Bourget-Paul_Nos-actes-nous-suivent_<le vieux Beslay-361>_7617,"de la cornue ? Acceptez - vous ? "" -"
Bourget-Paul_Nos-actes-nous-suivent_<le vieux Beslay-361>_7623,"vous ? "" - "" j' accepte "" , répondis"
Bourget-Paul_Nos-actes-nous-suivent_<le vieux Beslay-361>_7641,magnétisme qui se dégageait de cet homme si évidemment sincère
Bourget-Paul_Nos-actes-nous-suivent_<le vieux Beslay-361>_7649,évidemment sincère . Et puis je venais pour être un
Bourget-Paul_Nos-actes-nous-suivent_<le vieux Beslay-361>_7674,"d' armes chimiques , et je répétai : "" oui"
Bourget-Paul_Nos-actes-nous-suivent_<le vieux Beslay-361>_7680,"répétai : "" oui , j' accepte . "" Vallès"
Bourget-Paul_Nos-actes-nous-suivent_<le vieux Beslay-361>_7684,", j' accepte . "" Vallès me tendit la main"
Bourget-Paul_Nos-actes-nous-suivent_<le vieux Beslay-361>_7685,"j' accepte . "" Vallès me tendit la main ,"
Bourget-Paul_Nos-actes-nous-suivent_<le vieux Beslay-361>_7710,"à la normale . "" je me revois , huit"
