,text_surronding
Bouvier-Alexis_La-femme-du-mort_<Pierre-562>_14539,"me dit , Simon? … Pierre est malade? … —Chut!"
Bouvier-Alexis_La-femme-du-mort_<Pierre-562>_14559,"pas de bruit , madame; il dort et m' a"
Bouvier-Alexis_La-femme-du-mort_<Pierre-562>_14569,bien recommandé de ne pas le laisser éveiller … Et
Bouvier-Alexis_La-femme-du-mort_<Pierre-562>_14624,de faire du bruit; elle le regarda un instant et
Bouvier-Alexis_La-femme-du-mort_<Pierre-562>_14632,instant et dit: —Oh! qu' il est pâle! Elle mit
Bouvier-Alexis_La-femme-du-mort_<Pierre-562>_14643,main sur son front et lui prit délicatement le poignet
Bouvier-Alexis_La-femme-du-mort_<Pierre-562>_14653,… —Son front brûle … il a la fièvre! …
Bouvier-Alexis_La-femme-du-mort_<Pierre-562>_14665,"elle , et , après l' avoir contemplé avec amour"
Bouvier-Alexis_La-femme-du-mort_<Pierre-562>_14717,est - il arrivé? … Il n' était pas malade
Bouvier-Alexis_La-femme-du-mort_<Pierre-562>_14777,le mal … ce matin il n' était pas bien
Bouvier-Alexis_La-femme-du-mort_<Pierre-562>_14794,a pas été mieux … Il souffrait ici et là
Bouvier-Alexis_La-femme-du-mort_<Pierre-562>_14849,"—Et enfin , il ne lui est pas arrivé d'"
Bouvier-Alexis_La-femme-du-mort_<Pierre-562>_14919,"on est fixé , dit le matelot tout rouge et"
Bouvier-Alexis_La-femme-du-mort_<Pierre-562>_14929,ne sachant plus ce qu' il disait … Après avoir
Bouvier-Alexis_La-femme-du-mort_<Pierre-562>_14954,"reviens tout de suite; veillez - le bien , Simon"
Bouvier-Alexis_La-femme-du-mort_<Pierre-562>_14958,"veillez - le bien , Simon , et s' il"
Bouvier-Alexis_La-femme-du-mort_<Pierre-562>_14962,", Simon , et s' il s' éveille , appelez"
Bouvier-Alexis_La-femme-du-mort_<Pierre-562>_14977,"vais embrasser ma fille … Pauvre aimé , mon Pierre"
Bouvier-Alexis_La-femme-du-mort_<Pierre-562>_14985,"mon Pierre , pourvu qu' il ne soit pas malade!"
Bouvier-Alexis_La-femme-du-mort_<Pierre-562>_14990,"il ne soit pas malade! Simon se demanda , en"
