,text_surronding
Boylesve-Rene_Le-Medecin-des-Dames-de-Neans_<mon cher papa-2305>_49133,"à dîner . »Eh bien! mon cher papa , tout"
Boylesve-Rene_Le-Medecin-des-Dames-de-Neans_<mon cher papa-2305>_49160,"fait que tout , comme je te le disais en"
Boylesve-Rene_Le-Medecin-des-Dames-de-Neans_<mon cher papa-2305>_49187,"Encore ne t' en parlerais - je point , si"
Boylesve-Rene_Le-Medecin-des-Dames-de-Neans_<mon cher papa-2305>_49226,"Figure - toi donc , mon cher papa , que"
Boylesve-Rene_Le-Medecin-des-Dames-de-Neans_<mon cher papa-2305>_49282,"à lui faire concurrence , je compris au vacarme retentissant"
Boylesve-Rene_Le-Medecin-des-Dames-de-Neans_<mon cher papa-2305>_49293,"tout le chalet , que je ne pourrais jamais fermer"
Boylesve-Rene_Le-Medecin-des-Dames-de-Neans_<mon cher papa-2305>_49305,", d' autant plus que j' étais fort énervé par"
Boylesve-Rene_Le-Medecin-des-Dames-de-Neans_<mon cher papa-2305>_49316,événements de la journée . J' étais donc parfaitement éveillé
Boylesve-Rene_Le-Medecin-des-Dames-de-Neans_<mon cher papa-2305>_49322,étais donc parfaitement éveillé et avais même assez peur de
Boylesve-Rene_Le-Medecin-des-Dames-de-Neans_<mon cher papa-2305>_49345,"torrents de pluie , quand j' entendis des portes s'"
Boylesve-Rene_Le-Medecin-des-Dames-de-Neans_<mon cher papa-2305>_49362,", et reconnus qui? quoi? je te le donne en"
Boylesve-Rene_Le-Medecin-des-Dames-de-Neans_<mon cher papa-2305>_49382,se passèrent; on frappa à ma porte . J' allai
Boylesve-Rene_Le-Medecin-des-Dames-de-Neans_<mon cher papa-2305>_49385,"frappa à ma porte . J' allai ouvrir naturellement ,"
Boylesve-Rene_Le-Medecin-des-Dames-de-Neans_<mon cher papa-2305>_49393,"naturellement , assez ému . Je n' aperçus même pas"
Boylesve-Rene_Le-Medecin-des-Dames-de-Neans_<mon cher papa-2305>_49414,vis que la façon de me regarder et de s'
Boylesve-Rene_Le-Medecin-des-Dames-de-Neans_<mon cher papa-2305>_49421,et de s' éloigner de ma chambre où il me
Boylesve-Rene_Le-Medecin-des-Dames-de-Neans_<mon cher papa-2305>_49425,de ma chambre où il me dit ne vouloir entrer
Boylesve-Rene_Le-Medecin-des-Dames-de-Neans_<mon cher papa-2305>_49491,Est - ce assez étrange? Je n' ai pu rien
Boylesve-Rene_Le-Medecin-des-Dames-de-Neans_<mon cher papa-2305>_49504,". En vérité , comme je te l' ai déjà"
Boylesve-Rene_Le-Medecin-des-Dames-de-Neans_<mon cher papa-2305>_49575,"pour s' imaginer entendre dans ma chambre «des chuchotements ,"
Boylesve-Rene_Le-Medecin-des-Dames-de-Neans_<mon cher papa-2305>_49590,. . et même pis!» m' a - t -
Boylesve-Rene_Le-Medecin-des-Dames-de-Neans_<mon cher papa-2305>_49616,ne venait sûrement pas de moi! J' ai fait observer
Boylesve-Rene_Le-Medecin-des-Dames-de-Neans_<mon cher papa-2305>_49617,venait sûrement pas de moi! J' ai fait observer à
Boylesve-Rene_Le-Medecin-des-Dames-de-Neans_<mon cher papa-2305>_49678,pu fort bien continuer à ma porte à se forger
Boylesve-Rene_Le-Medecin-des-Dames-de-Neans_<mon cher papa-2305>_49701,est - ce pas vraisemblable? Mon observation était - elle
Boylesve-Rene_Le-Medecin-des-Dames-de-Neans_<mon cher papa-2305>_49713,"comme il l' a trouvé? Je crois que non ,"
Boylesve-Rene_Le-Medecin-des-Dames-de-Neans_<mon cher papa-2305>_49774,"entre monsieur l' abbé et moi , ce qui n'"
Boylesve-Rene_Le-Medecin-des-Dames-de-Neans_<mon cher papa-2305>_49852,", ce qui serait , je suis sûr , un"
Boylesve-Rene_Le-Medecin-des-Dames-de-Neans_<mon cher papa-2305>_49860,", un grand soulagement pour monsieur le curé doyen; et"
Boylesve-Rene_Le-Medecin-des-Dames-de-Neans_<mon cher papa-2305>_49867,"curé doyen; et il veut m' emmener avec lui ,"
Boylesve-Rene_Le-Medecin-des-Dames-de-Neans_<mon cher papa-2305>_49881,tout le monde fait pour me retenir et le bien
Boylesve-Rene_Le-Medecin-des-Dames-de-Neans_<mon cher papa-2305>_49887,retenir et le bien que me produit le séjour d'
Boylesve-Rene_Le-Medecin-des-Dames-de-Neans_<mon cher papa-2305>_49911,ce n' est pas à moi à apprécier les façons
Boylesve-Rene_Le-Medecin-des-Dames-de-Neans_<mon cher papa-2305>_49922,"monsieur l' abbé , mais je te dirai qu' il"
Boylesve-Rene_Le-Medecin-des-Dames-de-Neans_<mon cher papa-2305>_49923,"l' abbé , mais je te dirai qu' il a"
Boylesve-Rene_Le-Medecin-des-Dames-de-Neans_<mon cher papa-2305>_49929,dirai qu' il a voulu me faire faire une confession
Boylesve-Rene_Le-Medecin-des-Dames-de-Neans_<mon cher papa-2305>_49945,l' histoire du corridor . Je trouve que la ville
Boylesve-Rene_Le-Medecin-des-Dames-de-Neans_<mon cher papa-2305>_49965,"encore à la générale et je passe mes jours ,"
Boylesve-Rene_Le-Medecin-des-Dames-de-Neans_<mon cher papa-2305>_49967,"la générale et je passe mes jours , à présent"
Boylesve-Rene_Le-Medecin-des-Dames-de-Neans_<mon cher papa-2305>_49982,"cette opération . Enfin , je me suis avisé d'"
Boylesve-Rene_Le-Medecin-des-Dames-de-Neans_<mon cher papa-2305>_49991,d' un expédient en lequel j' ai la plus grande
Boylesve-Rene_Le-Medecin-des-Dames-de-Neans_<mon cher papa-2305>_49998,la plus grande foi . J' ai promis à monsieur
Boylesve-Rene_Le-Medecin-des-Dames-de-Neans_<mon cher papa-2305>_50007,"monsieur l' abbé , puisque ma parole ne lui suffit"
Boylesve-Rene_Le-Medecin-des-Dames-de-Neans_<mon cher papa-2305>_50015,"lui suffit pas , de te dire toute la vérité"
Boylesve-Rene_Le-Medecin-des-Dames-de-Neans_<mon cher papa-2305>_50022,toute la vérité et de m' en rapporter à ton
Boylesve-Rene_Le-Medecin-des-Dames-de-Neans_<mon cher papa-2305>_50026,de m' en rapporter à ton jugement sur l' opportunité
Boylesve-Rene_Le-Medecin-des-Dames-de-Neans_<mon cher papa-2305>_50035,opportunité de quitter Aix où je suis attaché par les
Boylesve-Rene_Le-Medecin-des-Dames-de-Neans_<mon cher papa-2305>_50051,"où l' on remarque que je prends des façons ,"
Boylesve-Rene_Le-Medecin-des-Dames-de-Neans_<mon cher papa-2305>_50065,"lui - même affirme que je me dégourdis , enfin"
Boylesve-Rene_Le-Medecin-des-Dames-de-Neans_<mon cher papa-2305>_50071,"me dégourdis , enfin où je suis plus heureux que"
Boylesve-Rene_Le-Medecin-des-Dames-de-Neans_<mon cher papa-2305>_50076,je suis plus heureux que je n' ai été jamais
Boylesve-Rene_Le-Medecin-des-Dames-de-Neans_<mon cher papa-2305>_50085,"jamais . »Je crois , mon cher papa , que"
Boylesve-Rene_Le-Medecin-des-Dames-de-Neans_<mon cher papa-2305>_50091,"cher papa , que voilà mon engagement accompli , que"
Boylesve-Rene_Le-Medecin-des-Dames-de-Neans_<mon cher papa-2305>_50096,"mon engagement accompli , que ma lettre ne contient rien"
Boylesve-Rene_Le-Medecin-des-Dames-de-Neans_<mon cher papa-2305>_50115,informé pour te prononcer . J' attends ton jugement avec
Boylesve-Rene_Le-Medecin-des-Dames-de-Neans_<mon cher papa-2305>_50125,"la plus parfaite soumission et suis respectueusement , mon cher"
Boylesve-Rene_Le-Medecin-des-Dames-de-Neans_<mon cher papa-2305>_50128,"soumission et suis respectueusement , mon cher papa , »Ton"
Boylesve-Rene_Le-Medecin-des-Dames-de-Neans_<mon cher papa-2305>_50140,SEPTIME . » Lorsqu' il l' avait ravie par de
Boylesve-Rene_Le-Medecin-des-Dames-de-Neans_<mon cher papa-2305>_50151,"caresses sur les bras , il lui disait: —Mais ,"
