,text_surronding
Buet-Charles_Le-chasseur-d-ours_<j'-44>_831,". Un jour , comme j' étais allé rendre visite"
Buet-Charles_Le-chasseur-d-ours_<j'-44>_837,"étais allé rendre visite à mon oncle , je le"
Buet-Charles_Le-chasseur-d-ours_<j'-44>_840,"visite à mon oncle , je le priai de me"
Buet-Charles_Le-chasseur-d-ours_<j'-44>_844,", je le priai de me conter une de ces"
Buet-Charles_Le-chasseur-d-ours_<j'-44>_861,bien conter . Hilarion Bruno me jeta un regard sournois
Buet-Charles_Le-chasseur-d-ours_<j'-44>_872,"— Tiens ! tiens ! petit , me dit -"
Buet-Charles_Le-chasseur-d-ours_<j'-44>_874,"! tiens ! petit , me dit - il étonné"
Buet-Charles_Le-chasseur-d-ours_<j'-44>_882,"il étonné , je ne te savais pas curieux d'"
Buet-Charles_Le-chasseur-d-ours_<j'-44>_889,pas curieux d' aventures . Je poussai un soupir à
Buet-Charles_Le-chasseur-d-ours_<j'-44>_903,deux . — Ah ! mon oncle ! m' écriai
Buet-Charles_Le-chasseur-d-ours_<j'-44>_908,mon oncle ! m' écriai - je d' un air
Buet-Charles_Le-chasseur-d-ours_<j'-44>_916,"un air scandalisé , quand je ferai des livres il"
Buet-Charles_Le-chasseur-d-ours_<j'-44>_1004,". Pour en revenir à mon histoire , ou plutôt"
Buet-Charles_Le-chasseur-d-ours_<j'-44>_1013,"plutôt à l' histoire de mon oncle , il alla"
Buet-Charles_Le-chasseur-d-ours_<j'-44>_1027,"vin blanc d' Hermillon , me versa rasade et reprit"
Buet-Charles_Le-chasseur-d-ours_<j'-44>_1036,"reprit : — Tiens ! neveu , je vais te"
Buet-Charles_Le-chasseur-d-ours_<j'-44>_1040,"! neveu , je vais te raconter comme je suis"
Buet-Charles_Le-chasseur-d-ours_<j'-44>_1046,"raconter comme je suis devenu chasseur , et chasseur d'"
Buet-Charles_Le-chasseur-d-ours_<j'-44>_1059,"Alléché par ce préambule , je m' assis commodément dans"
Buet-Charles_Le-chasseur-d-ours_<j'-44>_1073,"cuir à oreillettes , et je me préparai à écouter"
Buet-Charles_Le-chasseur-d-ours_<j'-44>_1079,me préparai à écouter de mon mieux . — Il
Buet-Charles_Le-chasseur-d-ours_<j'-44>_1089,"faut te dire , commença mon oncle , que je"
