,text_surronding
Calet-Henri_Trente-a-quarante_<ils-989>_21391,"sa caque … Non , ils sont encore là -"
Calet-Henri_Trente-a-quarante_<ils-989>_21397,"sont encore là - haut tous les deux ensemble ,"
Calet-Henri_Trente-a-quarante_<ils-989>_21411,"Je vais crier maintenant , ils m' entendront . »"
Calet-Henri_Trente-a-quarante_<ils-989>_21524,ne suis pas seule . Vous êtes là tous les
Calet-Henri_Trente-a-quarante_<ils-989>_21527,seule . Vous êtes là tous les deux à m'
Calet-Henri_Trente-a-quarante_<ils-989>_21573,durer plus . N' êtes - vous pas honteux ?
Calet-Henri_Trente-a-quarante_<ils-989>_21578,- vous pas honteux ? Ils ne répondaient rien .
Calet-Henri_Trente-a-quarante_<ils-989>_21600,"crispés sur sa détresse : Seigneur , qu' est -"
Calet-Henri_Trente-a-quarante_<ils-989>_21607,qu' est - ce que nous allons faire maintenant ?
Calet-Henri_Trente-a-quarante_<ils-989>_21621,"oui , et c' est toi qui l' as fait"
Calet-Henri_Trente-a-quarante_<ils-989>_21641,soir avec mes mains . Vous avez cru que je
Calet-Henri_Trente-a-quarante_<ils-989>_21652,"saurais rien . Ça , vous l' avez cru ."
Calet-Henri_Trente-a-quarante_<ils-989>_21657,vous l' avez cru . Vous avez dit : «
Calet-Henri_Trente-a-quarante_<ils-989>_21729,de ses yeux . — Tu ne devais pas toucher
Calet-Henri_Trente-a-quarante_<ils-989>_21737,"pas toucher à elle , Staf . Son corps ,"
Calet-Henri_Trente-a-quarante_<ils-989>_21746,", c' était sacré pour toi . Tu ne devais"
Calet-Henri_Trente-a-quarante_<ils-989>_21748,était sacré pour toi . Tu ne devais pas le
Calet-Henri_Trente-a-quarante_<ils-989>_21760,"Qu' est - ce que vous allez faire , maintenant"
Calet-Henri_Trente-a-quarante_<ils-989>_21772,va avoir un petit de toi ? Vous devriez vous
Calet-Henri_Trente-a-quarante_<ils-989>_21774,un petit de toi ? Vous devriez vous jeter à
Calet-Henri_Trente-a-quarante_<ils-989>_21784,"l' Eau , criminels que vous êtes tous les deux"
Calet-Henri_Trente-a-quarante_<ils-989>_21786,", criminels que vous êtes tous les deux … Criminels"
Calet-Henri_Trente-a-quarante_<ils-989>_21797,Mène se tut soudain . On ouvrait la trappe avec
Calet-Henri_Trente-a-quarante_<ils-989>_21817,grincement des charnières … — J' entends la trappe .
Calet-Henri_Trente-a-quarante_<ils-989>_21822,J' entends la trappe . Tu étais encore avec elle
Calet-Henri_Trente-a-quarante_<ils-989>_21830,"avec elle , maudit , tu y étais ! Staf"
Calet-Henri_Trente-a-quarante_<ils-989>_21834,", tu y étais ! Staf descendait lentement l' échelle"
Calet-Henri_Trente-a-quarante_<ils-989>_21844,; le bois craquelait sous son poids … — J'
Calet-Henri_Trente-a-quarante_<ils-989>_21848,sous son poids … — J' entends le bois qui
Calet-Henri_Trente-a-quarante_<ils-989>_21855,le bois qui craque . Il approchait sans pouvoir empêcher
Calet-Henri_Trente-a-quarante_<ils-989>_21861,approchait sans pouvoir empêcher que son pied nu n' écrase
Calet-Henri_Trente-a-quarante_<ils-989>_21898,"le reconnaissait déjà . — Staf , tu es là"
Calet-Henri_Trente-a-quarante_<ils-989>_21900,"déjà . — Staf , tu es là , réponds"
Calet-Henri_Trente-a-quarante_<ils-989>_21905,"tu es là , réponds - moi je te dis"
Calet-Henri_Trente-a-quarante_<ils-989>_21907,"là , réponds - moi je te dis . —"
Calet-Henri_Trente-a-quarante_<ils-989>_21908,", réponds - moi je te dis . — N'"
Calet-Henri_Trente-a-quarante_<ils-989>_21924,crier ainsi ? dit enfin l' homme d' une voix
Calet-Henri_Trente-a-quarante_<ils-989>_21931,d' une voix sourde . J' étais à la petite
Calet-Henri_Trente-a-quarante_<ils-989>_21947,"n' est pas vrai , tu mens , tu étais"
Calet-Henri_Trente-a-quarante_<ils-989>_21950,"vrai , tu mens , tu étais avec notre Laura"
Calet-Henri_Trente-a-quarante_<ils-989>_21966,"est pas vrai , répondit l' homme en mon -"
Calet-Henri_Trente-a-quarante_<ils-989>_21969,", répondit l' homme en mon - tant sur le"
Calet-Henri_Trente-a-quarante_<ils-989>_21979,"lit . Au moment où il l' enjambait , Mène"
Calet-Henri_Trente-a-quarante_<ils-989>_21983,"où il l' enjambait , Mène saisit un des mollets"
Calet-Henri_Trente-a-quarante_<ils-989>_21995,"deux mains , de toutes ses forces . Enfin ,"
Calet-Henri_Trente-a-quarante_<ils-989>_22000,"ses forces . Enfin , elle serrait autre chose que"
Calet-Henri_Trente-a-quarante_<ils-989>_22013,". — Eh bien , Mène , dit l' homme"
Calet-Henri_Trente-a-quarante_<ils-989>_22016,"bien , Mène , dit l' homme , lâche -"
Calet-Henri_Trente-a-quarante_<ils-989>_22020,"dit l' homme , lâche - moi , tu me"
Calet-Henri_Trente-a-quarante_<ils-989>_22023,", lâche - moi , tu me fais mal ,"
Calet-Henri_Trente-a-quarante_<ils-989>_22024,"lâche - moi , tu me fais mal , Dieu"
Calet-Henri_Trente-a-quarante_<ils-989>_22047,"depuis la grande kermesse , tu vas avec elle ."
Calet-Henri_Trente-a-quarante_<ils-989>_22057,"C' est notre fille , Staf , tu l' as"
Calet-Henri_Trente-a-quarante_<ils-989>_22059,"notre fille , Staf , tu l' as oublié ."
Calet-Henri_Trente-a-quarante_<ils-989>_22060,"fille , Staf , tu l' as oublié . —"
Calet-Henri_Trente-a-quarante_<ils-989>_22068,". — Hé , lâche ma jambe ! Mais elle"
Calet-Henri_Trente-a-quarante_<ils-989>_22072,lâche ma jambe ! Mais elle s' y cramponnait .
Calet-Henri_Trente-a-quarante_<ils-989>_22077,elle s' y cramponnait . Il se libéra d' un
Calet-Henri_Trente-a-quarante_<ils-989>_22084,libéra d' un coup ; Mène retomba sur l' oreiller
Calet-Henri_Trente-a-quarante_<ils-989>_22090,retomba sur l' oreiller . L' homme se coucha contre
Calet-Henri_Trente-a-quarante_<ils-989>_22095,"L' homme se coucha contre elle , à sa place"
Calet-Henri_Trente-a-quarante_<ils-989>_22098,"coucha contre elle , à sa place . Sur un"
Calet-Henri_Trente-a-quarante_<ils-989>_22107,"un ton plus bas , Mène se mit à geindre"
Calet-Henri_Trente-a-quarante_<ils-989>_22123,"notre Laura est grosse , j' ai senti son ventre"
Calet-Henri_Trente-a-quarante_<ils-989>_22131,son ventre ce soir … L' homme la rabroua :
Calet-Henri_Trente-a-quarante_<ils-989>_22133,ce soir … L' homme la rabroua : — Quelle
Calet-Henri_Trente-a-quarante_<ils-989>_22137,homme la rabroua : — Quelle folle ! J' étais
Calet-Henri_Trente-a-quarante_<ils-989>_22140,: — Quelle folle ! J' étais allé caquer .
Calet-Henri_Trente-a-quarante_<ils-989>_22153,est temps de dormir . Cesse un peu tes baveries
Calet-Henri_Trente-a-quarante_<ils-989>_22156,"dormir . Cesse un peu tes baveries , Mène ."
Calet-Henri_Trente-a-quarante_<ils-989>_22159,"un peu tes baveries , Mène . Il mentirait jusqu'"
Calet-Henri_Trente-a-quarante_<ils-989>_22161,"tes baveries , Mène . Il mentirait jusqu' au bout"
Calet-Henri_Trente-a-quarante_<ils-989>_22167,mentirait jusqu' au bout . Mène insista ; elle allongea
Calet-Henri_Trente-a-quarante_<ils-989>_22170,bout . Mène insista ; elle allongea le bras et
Calet-Henri_Trente-a-quarante_<ils-989>_22175,elle allongea le bras et rencontra la hanche dure de
Calet-Henri_Trente-a-quarante_<ils-989>_22180,rencontra la hanche dure de son homme : — Staf
Calet-Henri_Trente-a-quarante_<ils-989>_22184,"de son homme : — Staf , dit - elle"
Calet-Henri_Trente-a-quarante_<ils-989>_22187,": — Staf , dit - elle doucement , je"
Calet-Henri_Trente-a-quarante_<ils-989>_22191,"dit - elle doucement , je veux savoir qu' est"
Calet-Henri_Trente-a-quarante_<ils-989>_22205,"allons faire , maintenant . Tu te ronges le cœur"
Calet-Henri_Trente-a-quarante_<ils-989>_22224,jour . — Dors . Elle retira sa main .
Calet-Henri_Trente-a-quarante_<ils-989>_22226,— Dors . Elle retira sa main . — Est
Calet-Henri_Trente-a-quarante_<ils-989>_22239,"il fait nuit noire , Staf ? Staf ne répondit"
Calet-Henri_Trente-a-quarante_<ils-989>_22241,"nuit noire , Staf ? Staf ne répondit plus ."
Calet-Henri_Trente-a-quarante_<ils-989>_22247,ne répondit plus . — Je sais que tu ne
Calet-Henri_Trente-a-quarante_<ils-989>_22250,". — Je sais que tu ne dors pas ,"
Calet-Henri_Trente-a-quarante_<ils-989>_22255,"tu ne dors pas , tu fais seulement celui qui"
Calet-Henri_Trente-a-quarante_<ils-989>_22264,qui dort . Pourquoi Dieu l' avait - il enfermée
Calet-Henri_Trente-a-quarante_<ils-989>_22276,noir de malheur ? Pourquoi elle ? Pourquoi cette punition
Calet-Henri_Trente-a-quarante_<ils-989>_22284,cette punition ? N' était - elle pas une de
Calet-Henri_Trente-a-quarante_<ils-989>_22294,ses créatures ? N' avait - elle pas droit à
Calet-Henri_Trente-a-quarante_<ils-989>_22309,? Pourquoi ? Et cependant elle ne pouvait plus compter
Calet-Henri_Trente-a-quarante_<ils-989>_22318,"compter que sur Dieu pour la mener , la soutenir"
