,text_surronding
Cami-Pierre-Henri_le-jugement-dernier_<- moi-1>_1,"- moi , je vous"
Cami-Pierre-Henri_le-jugement-dernier_<- moi-1>_4,je vous prie ! …
Cami-Pierre-Henri_le-jugement-dernier_<- moi-1>_20,! Jules ! m' entends - tu ? – Ci
Cami-Pierre-Henri_le-jugement-dernier_<- moi-1>_29,Ci - Gît moi … moi ! – La Tabatière
Cami-Pierre-Henri_le-jugement-dernier_<- moi-1>_97,que Néant et Vanité . J' ai beau me pincer
Cami-Pierre-Henri_le-jugement-dernier_<- moi-1>_111,"fois par heure , pour me prouver que je ne"
Cami-Pierre-Henri_le-jugement-dernier_<- moi-1>_114,", pour me prouver que je ne rêve pas ,"
Cami-Pierre-Henri_le-jugement-dernier_<- moi-1>_119,"je ne rêve pas , j' ai encore beaucoup de"
Cami-Pierre-Henri_le-jugement-dernier_<- moi-1>_133,"la réalité de ce que mes yeux ont vu ,"
Cami-Pierre-Henri_le-jugement-dernier_<- moi-1>_148,voient depuis quatre semaines . Je ne suis d' ailleurs
Cami-Pierre-Henri_le-jugement-dernier_<- moi-1>_246,"un fumeur . Hier , j' ai rencontré un vieux"
Cami-Pierre-Henri_le-jugement-dernier_<- moi-1>_290,"je suis bien éveillé , m' a - t -"
Cami-Pierre-Henri_le-jugement-dernier_<- moi-1>_292,"bien éveillé , m' a - t - il expliqué"
Cami-Pierre-Henri_le-jugement-dernier_<- moi-1>_376,. Est - ce que je n' ai pas déjà
Cami-Pierre-Henri_le-jugement-dernier_<- moi-1>_384,pas déjà repris certaines de mes habitudes ? … Est
Cami-Pierre-Henri_le-jugement-dernier_<- moi-1>_392,… Est - ce que je n' écris pas en
Cami-Pierre-Henri_le-jugement-dernier_<- moi-1>_418,Peut - être … Pour m' obliger à ne pas
Cami-Pierre-Henri_le-jugement-dernier_<- moi-1>_449,de parler d' Elle ?Pour me parler à moi -
Cami-Pierre-Henri_le-jugement-dernier_<- moi-1>_452,Elle ?Pour me parler à moi - même de notre
Cami-Pierre-Henri_le-jugement-dernier_<- moi-1>_515,! c' est pour libérer mon cerveau que j' écris
Cami-Pierre-Henri_le-jugement-dernier_<- moi-1>_518,pour libérer mon cerveau que j' écris ces lignes .
Cami-Pierre-Henri_le-jugement-dernier_<- moi-1>_550,pour rétablir l' équilibre de mon âme désaxée que je
Cami-Pierre-Henri_le-jugement-dernier_<- moi-1>_554,de mon âme désaxée que je veux relater ici tout
Cami-Pierre-Henri_le-jugement-dernier_<- moi-1>_610,"? Rien . Et puis ma première impression , comme"
Cami-Pierre-Henri_le-jugement-dernier_<- moi-1>_664,brusquement un choc formidable . J' ai l' obscure sensation
Cami-Pierre-Henri_le-jugement-dernier_<- moi-1>_685,Mais l' océan dans lequel je me débats n' est
Cami-Pierre-Henri_le-jugement-dernier_<- moi-1>_701,les vagues qui se renvoient mon corps endolori sont sèches
Cami-Pierre-Henri_le-jugement-dernier_<- moi-1>_709,sont sèches et dures . J' ouvre les yeux .
Cami-Pierre-Henri_le-jugement-dernier_<- moi-1>_718,. Un nuage de poussière m' aveugle . Je referme
Cami-Pierre-Henri_le-jugement-dernier_<- moi-1>_721,de poussière m' aveugle . Je referme précipitamment mes paupières
Cami-Pierre-Henri_le-jugement-dernier_<- moi-1>_724,aveugle . Je referme précipitamment mes paupières . J' étouffe
Cami-Pierre-Henri_le-jugement-dernier_<- moi-1>_727,referme précipitamment mes paupières . J' étouffe . Je veux
