,text_surronding
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_168373,Voilà ! voilà » il me raconte . . .
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_168394,"Angèle , sa femme ! tu la connais ! Mme"
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_168422,. juste sur mes craies tu peux te rendre compte
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_168447,! . . . Elle me fait : “Pas une
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_168467,!” ses propres paroles “Cascade vous demande ! Vite au
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_168481,! . . . ” Tu me connais n' est
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_168498,"rapide , même invalide comme je suis . . ."
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_168514,du désastre . . . J' avais du monde plein
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_168519,J' avais du monde plein mes barbouilles ! des touristes
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_168536,bien ! . . . Je finissais justement une tour
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_168551,insiste . . . elle me supplie . . .
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_168570,. . Très bien ! Tu connais Cascade ! Soupe
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_168608,. . . Et puis tu sais qu' avec Cascade
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_168632,chose ! . . . Je lui demande bien d'
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_168674,l' heure ! Ah ! j' étais fixé ! “C'
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_168692,” Oh ! du coup je fonce ! ça m'
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_168696,coup je fonce ! ça m' intéresse toujours les recherches
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_168705,recherches ! . . . Tu vois comme ça s'
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_168727,. . . » Et il en rigolait encore du
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_168742,. . . comment qu' il avait bondi . .
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_168765,ils se repapouillent Pépé et lui - même . .
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_168771,- même . . . j' assiste à tout ça
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_168791,cris . . . Ils me regardent plus . .
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_168806,! . . . » Je les décroche . .
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_168824,"– Voilà ! Voilà ! Je te disais , elle"
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_168825,"Voilà ! Voilà ! Je te disais , elle me"
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_168828,"! Je te disais , elle me fait : “Cascade"
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_168829,"Je te disais , elle me fait : “Cascade est"
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_168856,! . . . ” Je cavale . . .
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_168861,Je cavale . . . me voilà . . .
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_168866,me voilà . . . tu me comprends bien .
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_168867,voilà . . . tu me comprends bien . .
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_168876,. . Tout de suite il m' attaque : “Mon
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_168877,. Tout de suite il m' attaque : “Mon cher
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_168888,! le Chinois ? Avez - vous vu le Chinois
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_168894,vous vu le Chinois sur votre Trafalgar ? Est -
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_168901,? Est - ce que vous l' avez aperçu ?
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_168916,en robe ?” Voilà comme il me cause . Je
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_168917,robe ?” Voilà comme il me cause . Je rigole
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_168920,comme il me cause . Je rigole . “Chinois .
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_168949,! . . . ” J' en avais vu des
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_168972,de toutes les couleurs ! je sais pas si c'
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_168986,! des vrais bataillons que j' avais vus devant mes
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_168990,que j' avais vus devant mes tableaux ! des petits
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_169023,un Chinois !” Du coup il me donne des détails
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_169024,Chinois !” Du coup il me donne des détails .
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_169046,. d' après ce que je comprenais . . .
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_169088,se cachait . . . Il me le dépeignait un
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_169089,cachait . . . Il me le dépeignait un petit
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_169115,sa gueule . . . Je saisis ! Poëp !
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_169187,Entendu ! . . . Je serai pas long à
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_169232,. ” Tiens ! ça me dit quelque chose !
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_169247,! . . . Finette m' en avait causé .
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_169260,un Chinois . . . Attends un petit peu je
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_169264,. Attends un petit peu je me rappelle ! .
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_169279,tout d' un coup ça me remonte ! . .
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_169286,! . . . Elle t' avait même vu avec
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_169295,avec lui . . . Tu vois ça d' ici
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_169309,est pas pédoc ?” que je demande . . .
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_169314,je demande . . . Je voulais parler de toi
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_169318,. Je voulais parler de toi . . . Je
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_169322,de toi . . . Je voyais qu' ils te
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_169326,. Je voyais qu' ils te cherchaient avec . .
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_169341,"le genre , qu' ils me rétorquent . . ."
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_169371,alors mauvais . . . je comprenais qu' il était
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_169423,air . . . qui me double ! Rattrape ce
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_169426,. qui me double ! Rattrape ce chintoc ! Œil
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_169434,! Œil de lynx ! Démerde - toi ! il
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_169435,Œil de lynx ! Démerde - toi ! il me
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_169468,"de conditions avec lui , je connais les manières ."
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_169475,les manières . . . Je fonce ! . .
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_169491,tergiverse . . . ! Je trouvais que c' était
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_169503,. . . que ça m' ouvrait des perspectives .
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_169570,"Alors ? Alors ? que je le stimule , raconte"
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_169575,"je le stimule , raconte Poëp ! Poëp ! vas"
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_169587,maintenant merde ! Comment que t' es parvenu ici ?
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_169593,es parvenu ici ? que t' as trouvé le logement
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_169611,môme un petit peu ! Tu crois qu' on connaît
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_169621,personne ? » Ah ! je l' offensais . «
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_169637,retrouve ! Surtout faux ! tu m' entends ? .
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_169638,! Surtout faux ! tu m' entends ? . .
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_169658,traîne ! . . . Je l' aurais retrouvé moi
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_169662,. Je l' aurais retrouvé moi tiens césigue déguisé en
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_169692,. Ah ! là ! tu vois c' est te
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_169696,! tu vois c' est te dire ! » Le
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_169700,est te dire ! » Le buté ! . .
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_169710,. voilà . . . le buté ! . .
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_169719,. . « Ah ! tu me connais pas petite
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_169720,. « Ah ! tu me connais pas petite *craque*
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_169723,"! tu me connais pas petite *craque* , du moment"
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_169729,"*craque* , du moment que je me décide ! ."
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_169737,! . . . » Il me gafait avec une
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_169738,. . . » Il me gafait avec une pitié
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_169770,n' importe qui . « Tu vois ! Pas un
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_169777,! Pas un jour que j' ai mis ! .
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_169797,furet ! . . . Je ramène le beau et
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_169805,beau et la belle ! Je veux bien que je
Celine-Louis-Ferdinand_Guignol-s-band_<me-5510>_169809,! Je veux bien que je l' ai eu commode
