,text_surronding
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_77668,assis l' un près de l' autre . Le maire
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_77691,comme par enchantement ; et Aoustin attendait . Il attendait
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_77699,Il attendait que l' autre le fixât sur la question
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_77725,"moment , M . Moyon lui prodiguait les marques de"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_77739,. Il ne cessait de l' appeler « mon pauvre
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_77748,"pauvre Lucifer » , de lui donner des petites tapes"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_77757,"tapes sur le genou , l' interrogeait sur les soins"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_77763,"interrogeait sur les soins qu' il avait reçus , sur"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_77768,"il avait reçus , sur son régime à l' hôpital"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_77775,"à l' hôpital . Et Aoustin , à seule fin"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_77785,de bien cacher ce qui lui battait entre les côtes
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_77794,"côtes , y allait de son mieux dans ses réponses"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_77797,"allait de son mieux dans ses réponses . Enfin ,"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_77802,"ses réponses . Enfin , il sentit que M ."
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_77831,la même manière qu' il lui aurait dit : «
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_77914,"su le fin mot . Aoustin , dépité , haussa"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_77923,"haussa les épaules et se tut . — Alors ,"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_77932,", encore une fois , tu ne veux pas répondre"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_77954,"se sont rendus auprès de toi à l' hôpital ,"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_77960,"à l' hôpital , et tu as refusé de les"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_77973,"le comble des combles , tu as refusé de porter"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_77989,"naturellement , les camarades de l' homme sur qui pesaient"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78001,se sont tous rencontrés pour lui fournir un alibi …
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78009,alibi … de sorte qu' il n' a même pas
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78017,même pas été inquiété . Tu sais de qui je
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78046,", aurait pu défiler devant Aoustin , qu' ils ne"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78051,"Aoustin , qu' ils ne lui auraient pas arraché une"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78066,la chose est ancienne … Tu peux parler … je
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78072,peux parler … je ne te vendrai pas si tu
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78076,"ne te vendrai pas si tu ne veux pas ,"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78083,"veux pas , sacrebleu ! Aoustin , par l' espèce"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78091,"l' espèce de surexcitation que lui causait son attente ,"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78093,"de surexcitation que lui causait son attente , éprouva une"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78106,avait guère eu cours en lui depuis longtemps : il
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78110,en lui depuis longtemps : il sentit qu' il riait
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78113,"longtemps : il sentit qu' il riait , mais en"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78142,à M . Moyon de l' imiter . — Rien
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78160,c' est mon affaire ! Il attendait toujours que l'
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78184,"! … » , avait - il envie de crier"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78194,. Mais M . Moyon lui parlait de la Brière
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78236,"sont pour rien … Et Aoustin , en entendant ces"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78249,"qu' ils furent prononcés , eut l' impression , hélas"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78275,années du beau temps où il poussait ses recherches dans
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78277,beau temps où il poussait ses recherches dans les villages
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78375,"en est ainsi , dit Aoustin … s' il en"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78403,de la même façon ? Il savait bien qu' en
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78413,"parlant de la sorte , il n' avait point l'"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78423,air de savoir ce qu' il disait ; aussi ne
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78429,disait ; aussi ne fit - il point attention au
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78437,attention au visage ébahi qui lui fut rendu . —
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78459,soit gardée … pendant que j' étais … Et M
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78503,"Larmentières , de Pendille , Aoustin . — Ah !"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78511,Ah ! Larmentières ! … Je le connais bien …
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78529,"alors ? interrogea - t - il , en sentant"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78534,"- il , en sentant sa figure se crisper ,"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78545,l' espèce de sourire auquel il essayait de forcer sa
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78549,auquel il essayait de forcer sa physionomie . — Eh
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78570,"s' interrompit - il , tu ne bois pas !"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78599,il avança la bouteille pour lui verser un coup .
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78605,"verser un coup . Et Aoustin , du fait de"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78617,"cet instant M . Moyon lui remplir son verre ,"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78619,"M . Moyon lui remplir son verre , eut une"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78631,". — Bien sûr , il n' a pas ton"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78635,", il n' a pas ton autorité . Il n'"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78650,vingt - cinq ans qu' il trotte pour le syndicat
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78719,cette diable de main qui te manque … on se
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78727,on se demande … si tu seras aussi bien respecté
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78735,bien respecté qu' autrefois ? Aoustin dut fermer les yeux
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78744,"yeux , se caler de son autre main sur son"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78748,de son autre main sur son siège . — Je
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78752,sur son siège . — Je pensais bien … que
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78758,pensais bien … que vous me diriez cela … une
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78766,… une chose pareille … Je m' y attendais .
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78772,m' y attendais . Ça lui tombait sur la poitrine
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78778,tombait sur la poitrine . Il était là tout soufflant
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78784,était là tout soufflant . Il n' écoutait plus rien
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78796,M . Moyon avait beau lui dire : — Voyons
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78804,— Voyons ! … ne prends pas tant que ça
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78834,"et , le front dans sa main , il regardait"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78837,"front dans sa main , il regardait à terre ,"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78845,"terre , accablé . Quand il se redressa brusquement ,"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78853,"brusquement , un feu intérieur l' envahissait , lui rendait"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78856,"feu intérieur l' envahissait , lui rendait des forces ,"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78871,", cette vieille compagne de sa vie . — Et"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78883,"! … vociféra - t - il , en montrant"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78894,"poing , c' est pourtant moi qui les ai dénichées"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78895,", c' est pourtant moi qui les ai dénichées ,"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78931,sur sa tête . Qui l' oublie ? … et
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78939,… et je ferai valoir tes droits à mes collègues
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78945,"droits à mes collègues , tu peux y compter !"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78977,conseil … les autres ne te connaissent pas aussi bien
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78989,… Ils font valoir que tu n' as plus tous
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_78994,tu n' as plus tous tes moyens … en ce
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79016,ne doit pas dormir . Aoustin cracha par terre .
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79021,Aoustin cracha par terre . Il croyait voir dans cette
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79052,pourtant guère avec ce que vous me disiez ! …
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79084,. Moyon . Et si tu me demandes de préciser
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79092,"de préciser pourquoi , je te répondrai simplement : les"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79101,"les temps sont changés , Aoustin ! — Ah !"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79113,"ils sont changés ! … Aoustin ! Aoustin , il"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79115,"changés ! … Aoustin ! Aoustin , il n' y"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79128,temps à perdre … prends ton bateau et ta perche
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79131,… prends ton bateau et ta perche … file dans
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79134,bateau et ta perche … file dans toutes les directions
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79151,"… Aujourd' hui , on lui dit au bonhomme :"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79153,"hui , on lui dit au bonhomme : « Mets"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79158,au bonhomme : « Mets ton chapeau sous ton aisselle
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79161,« Mets ton chapeau sous ton aisselle . » Ah
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79174,… Eh bien ! … Sa gorge n' avait plus
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79203,vous l' êtes aussi . Il se leva . Cette
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79209,se leva . Cette dépense l' avait exténué . Même
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79221,"tournant vers la porte , il vacilla . — Bon"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79229,— Bon Dieu ! — Aoustin ! ne t' en
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79232,! — Aoustin ! ne t' en va pas !
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79248,en vais . — Rassieds - toi ! — Monsieur
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79270,"je me trouve . — Aoustin , j' ai à"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79275,"Aoustin , j' ai à te parler encore ! …"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79281,parler encore ! … Ça me faisait tant plaisir de
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79286,me faisait tant plaisir de te revoir ! — Ce
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79298,"point la main qui fait l' homme , monsieur Moyon"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79305,", monsieur Moyon . Et il leva le loquet ,"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79310,"il leva le loquet , passa la porte . Et"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79316,"la porte . Et derrière lui , M . Moyon"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79328,"se dépêchait , clopinait , tendait sa jambe raide en"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79344,", de la table … Aoustin s' en allait ."
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79349,Aoustin s' en allait . Sa colère était tombée .
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79361,"plutôt maintenant des pleurs qu' il aurait eus , des"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79388,abattent toute la nature . Il ne s' occupait plus
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79394,ne s' occupait plus de son chemin ; il ne
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79397,plus de son chemin ; il ne pensait même plus
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79416,", dans la surprise de son retour , accouraient sur"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79424,"accouraient sur les portes pour lui adresser la parole ,"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79429,"lui adresser la parole , il ne les voyait pas"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79435,"ne les voyait pas , il ne les entendait pas"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79445,". Dans le cornet de ses oreilles , il n'"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79448,"cornet de ses oreilles , il n' y avait plus"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79466,« On se demande si tu seras aussi bien respecté
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79475,"respecté qu' autrefois ! » Sa main coupée , on"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79480,"Sa main coupée , on l' amputait maintenant de sa"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79484,"on l' amputait maintenant de sa Brière , on lui"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79488,"de sa Brière , on lui enlevait la dernière joie"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79494,enlevait la dernière joie de son corps … On le
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79498,de son corps … On le jetait à l' humiliation
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79505,à l' humiliation ! … Il n' était plus qu'
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79510,Il n' était plus qu' un vieil âne bon à
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79525,"Va - t' en , vieillard , à ta station"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79528,"en , vieillard , à ta station , sur ta"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79532,"à ta station , sur ta pierre , recevoir ton"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79536,"sur ta pierre , recevoir ton dernier soleil . »"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79541,ton dernier soleil . » Lui dont les membres étaient
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79542,dernier soleil . » Lui dont les membres étaient aussi
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79554,"ceux d' un enfant , lui dont les yeux encore"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79555,"d' un enfant , lui dont les yeux encore ,"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79564,", aussi bien que dans sa jeunesse , auraient mis"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79577,monde . Toute la journée il resta enfermé chez lui
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79581,journée il resta enfermé chez lui . Julie ne l'
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79585,chez lui . Julie ne l' ayant vu de tout
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79599,"le soir aux nouvelles , le trouva assis à la"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79619,"la veille , quand elle l' avait quitté . Elle"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79632,c' était le malheur de Théotiste qui l' accablait …
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79641,"… Avec sollicitude , elle lui demanda comment il allait"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79644,", elle lui demanda comment il allait , ce qu'"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79649,"il allait , ce qu' il avait fait . Mais"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79654,il avait fait . Mais il lui répondit mal :
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79663,: trois mots . Surtout il s' abstint de la
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79701,". Dans le torrent où il était roulé , demeurait"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79720,ce qui se passait en lui . — … Mon
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79728,"… Mon pauvre Aoustin … tu es là , bien"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79735,"là , bien fidèle à ta pierre … Qu' est"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79774,"comme d' habitude , répondit - il , de telle"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79798,plus loin . — Veux - tu venir manger à
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79806,manger à la maison ? Il n' était point dans
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79822,", sur place , elle lui prépara sa soupe :"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79843,"côté , avec charge à lui d' y mettre la"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79857,eau commencerait à bouillir . Il resta seul . Ce
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79869,jour le plus malheureux de sa vie . Seulement à
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79883,tous ceux qui suivirent . Il était maintenant comme un
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79902,la lumière de Dieu . Sa maison ne le contenait
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79905,Dieu . Sa maison ne le contenait plus . Et
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79913,". Et pourtant , comme il y avait songé là"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79922,là - bas ! Comme il avait désiré d' y
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79934,"Eh bien , maintenant , il y était plus au"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79949,". À l' hôpital , sa blessure trouvait sa place"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79966,"ici , partout autour de lui , ne se montraient"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79979,de l' ancienne fleur de son temps … Ses meubles
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79982,"fleur de son temps … Ses meubles , ses engins"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79985,"temps … Ses meubles , ses engins , son ménage"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79988,"meubles , ses engins , son ménage , tout cela"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79994,"ménage , tout cela qui l' avait connu dans son"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_79998,"qui l' avait connu dans son intégrité , ces manches"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_80017,"voyait encore la poisse de ses dix doigts , n'"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_80029,miroirs inexorables se plaisant à lui reproduire l' homme qu'
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_80034,lui reproduire l' homme qu' il avait été ! Sans
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_80045,", ni quartier , tout lui criait : « Es"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_80050,lui criait : « Es - tu réoccupable ? Es
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_80055,- tu réoccupable ? Es - tu réoccupable ? »
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_80065,"Pour rien au monde , il ne s' en serait"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_80081,"Mais en ce lieu , il se sentait un affreux"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_80090,affreux goût de cendre . Son âme aussi lui criait
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_80093,"cendre . Son âme aussi lui criait des choses ,"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_80111,! … ne le savait - il pas qu' il
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_80115,savait - il pas qu' il avait été pétri dans
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_80126,universelle indignité ! … qu' il n' était point saint
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_80143,"est que non plus , il n' était pas bienheureux"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_80166,voix de confessionnal qui venait le tarabuster … De quoi
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_80172,tarabuster … De quoi était - il coupable ? Son
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_80176,était - il coupable ? Son corps pouvait - il
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_80179,coupable ? Son corps pouvait - il avoir été puni
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_80186,avoir été puni parce que son esprit avait voulu la
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_80197,de la vérité ! … Il avait dit « arrière
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_80221,que ceux qui dépendaient de sa paternité ne marchaient pas
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_80232,la vieille loi … Et il recommencerait s' il le
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_80240,il le fallait … dût - il en perdre sa
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_80244,"dût - il en perdre sa seconde main , dût"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_80249,"sa seconde main , dût - il demeurer là ,"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_80275,"de glace … Non , il n' était point de"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_80302,la figure … Le Christ lui dirait : « Tu
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_80306,Christ lui dirait : « Tu n' es qu' un
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_80317,"- ton - père , Aoustin , mais viens ici"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_80324,mais viens ici que je te pardonne . » Et
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_80330,"pardonne . » Et entre ses quatre murs , il"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_80334,"entre ses quatre murs , il marchait , tournait ,"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_80337,"murs , il marchait , tournait , broyait son mauvais"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_80339,"il marchait , tournait , broyait son mauvais chanvre ,"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_80340,"marchait , tournait , broyait son mauvais chanvre , s'"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_80349,"s' arrêtant au bord de sa fosse aux mottes ,"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_80356,"aux mottes , à regarder il ne savait quoi ,"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_80367,"débris qu' y avait laissés son salet , le mortas"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_80379,"toujours là , engagé dans sa tourbe et pareil à"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_80404,"même , les services qu' il avait rendus , l'"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_80408,"qu' il avait rendus , l' ascendant de sa personne"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_80411,"rendus , l' ascendant de sa personne dans la commune"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_80417,"personne dans la commune , sa vieille confiance en lui"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_80421,", sa vieille confiance en lui - même , qui"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_80425,"en lui - même , qui ne voulait point mourir"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_80437,esprit de domination qui ne lui laissait pas le souvenir
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_80460,"dans les derniers replis de son for , laissait subsister"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_80470,"la pensée qu' avant de le dégrader , on y"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_80486,fois . Le maire ne lui avait - il pas
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_80499,discutera aux syndics ? Et il conservait malgré tout une
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_80509,dernière bribe d' espoir . Il attendait . Mais qu'
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_80528,les heures du jour où son âme se rongeait en
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_80536,rongeait en cette attente . Il ne sortait pas ;
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_80558,instant sur le pas de sa porte . Mais un
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_80588,"gardeuse , pour qu' aussitôt il rentrât . Quand l'"
Chateaubriant-Alphonse-de_La-Briere_<l' autre-3349>_80600,"venue , certains soirs , il s' avançait tout de"
