,text_surronding
Chevalier-H-Emile_Peaux-rouges-et-Peaux-blanches_<Dubreuil-2107>_38302,", il se rapprocha de Dubreuil . —Jeune homme ,"
Chevalier-H-Emile_Peaux-rouges-et-Peaux-blanches_<Dubreuil-2107>_38316,lentement et en fixant sur l' ingénieur un regard incisif
Chevalier-H-Emile_Peaux-rouges-et-Peaux-blanches_<Dubreuil-2107>_38373,". —C' est juste , j' oubliais qu' elle est"
Chevalier-H-Emile_Peaux-rouges-et-Peaux-blanches_<Dubreuil-2107>_38386,les éclisses de bois que j' y ai appliquées; car
Chevalier-H-Emile_Peaux-rouges-et-Peaux-blanches_<Dubreuil-2107>_38395,"car ta vie , tu me la dois , jeune"
Chevalier-H-Emile_Peaux-rouges-et-Peaux-blanches_<Dubreuil-2107>_38408,"ne l' oublieras pas , j' espère . Sans mes"
Chevalier-H-Emile_Peaux-rouges-et-Peaux-blanches_<Dubreuil-2107>_38412,", j' espère . Sans mes connaissances médicales , et"
Chevalier-H-Emile_Peaux-rouges-et-Peaux-blanches_<Dubreuil-2107>_38421,et sans l' intérêt que je te porte depuis bientôt
Chevalier-H-Emile_Peaux-rouges-et-Peaux-blanches_<Dubreuil-2107>_38439,de l' éternité . —Je vous sais gré de ce
Chevalier-H-Emile_Peaux-rouges-et-Peaux-blanches_<Dubreuil-2107>_38445,sais gré de ce que vous avez fait pour moi
Chevalier-H-Emile_Peaux-rouges-et-Peaux-blanches_<Dubreuil-2107>_38479,qu' il tenait rivé sur Dubreuil . —Je n' ai
Chevalier-H-Emile_Peaux-rouges-et-Peaux-blanches_<Dubreuil-2107>_38490,"un seul désir , insinua ce dernier . —Recouvrer ta"
Chevalier-H-Emile_Peaux-rouges-et-Peaux-blanches_<Dubreuil-2107>_38541,", sur la face osseuse du lieutenant passa une lueur"
Chevalier-H-Emile_Peaux-rouges-et-Peaux-blanches_<Dubreuil-2107>_38565,". Avant de répondre , il se dirigea vers la"
Chevalier-H-Emile_Peaux-rouges-et-Peaux-blanches_<Dubreuil-2107>_38573,"vers la porte , l' ouvrit pour s' assurer qu'"
