,text_surronding
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39016,C' est du propre ! Cette petite femme qui passe
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39019,propre ! Cette petite femme qui passe … sa jupe
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39022,petite femme qui passe … sa jupe tombe bien .
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39027,sa jupe tombe bien . Elle a une démarche …
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39082,"bond , je suis sur elle , et je crie"
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39093,toutes mes forces : « Luce ! » C' est
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39101,"C' est invraisemblable , mais c' est bien elle !"
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39104,", mais c' est bien elle ! Sa poltronnerie me"
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39106,c' est bien elle ! Sa poltronnerie me le prouve
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39117,": à mon cri , elle a bravement sauté en"
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39124,bravement sauté en arrière et a mis son coude sur
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39126,en arrière et a mis son coude sur ses yeux
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39129,a mis son coude sur ses yeux . Mon émotion
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39141,fou rire nerveux ; je la saisis par les deux
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39148,par les deux bras ; son petit visage aux yeux
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39169,", puis pâlit brusquement ; elle soupire enfin : –"
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39182,ce soit toi ! Je la tiens toujours par les
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39200,de m' étonner . Comment l' ai - je même
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39207,- je même reconnue ? Cette toute menue gobette –
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39212,Cette toute menue gobette – que j' ai toujours vue
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39253,"chignon le dimanche – , cette Luce porte un complet"
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39301,"botte de roses , qu' elle n' a fichtre pas"
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39352,"les gants trop étroits . Elle gante du 5½ ,"
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39390,la lucrative inconduite . Qu' elle est fraîche et jeune
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39430,être impossibles . C' est Luce qui parle enfin :
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39438,enfin : – Oh ! tu as les cheveux coupés
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39447,"coupés ! – Oui , tu me trouves laide ,"
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39448,"! – Oui , tu me trouves laide , pas"
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39458,"? – Non , dit - elle tendrement . Tu"
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39462,dit - elle tendrement . Tu ne pourrais pas .
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39467,Tu ne pourrais pas . Tu as grandi . Tu
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39471,. Tu as grandi . Tu es gente . Mais
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39476,Tu es gente . Mais tu ne m' aimes plus
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39478,gente . Mais tu ne m' aimes plus ? Tu
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39482,ne m' aimes plus ? Tu ne m' aimais pas
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39484,aimes plus ? Tu ne m' aimais pas guère déjà
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39490,aimais pas guère déjà ! Elle a gardé son accent
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39493,"déjà ! Elle a gardé son accent de Montigny ,"
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39507,", l' oreille tendue à sa voix un peu traînante"
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39515,peu traînante et douce . Ses yeux verts ont changé
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39527,de nuance depuis que je la regarde . – Il
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39538,"agit bien de ça , petite « arnie » !"
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39545,"arnie » ! Pourquoi es - tu ici , et"
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39557,"belle , bon sang ? Ton chapeau est délicieux ,"
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39571,peu plus en avant . Tu n' es pas seule
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39577,n' es pas seule ? Ta sœur est ici ?
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39593,"est pas ici ! répond Luce , souriante avec malice"
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39599,", souriante avec malice . J' ai tout planté là"
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39609,. C' est long . Je voudrais t' expliquer .
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39611,est long . Je voudrais t' expliquer . C' est
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39623,"comme dans un roman , tu sais ! Son accent"
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39626,"roman , tu sais ! Son accent décèle une fierté"
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39643,". – Mais raconte , mon petit « gouri {18}"
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39650,« gouri {18} » ! J' ai tout mon après
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39653,» ! J' ai tout mon après - midi à
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39658,mon après - midi à moi . – Chance !
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39664,. – Chance ! Veux - tu venir chez moi
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39668,"Veux - tu venir chez moi , s' il te"
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39672,"chez moi , s' il te plaît , Claudine ?"
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39675,"s' il te plaît , Claudine ? – Oui ,"
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39685,mais à une condition : je n' y trouverai personne
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39702,"viens , viens vite , je demeure rue de Courcelles"
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39719,"Les idées en salade , je l' accompagne en la"
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39720,"idées en salade , je l' accompagne en la regardant"
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39723,", je l' accompagne en la regardant de côté ."
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39728,la regardant de côté . Elle ne sait pas bien
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39734,"ne sait pas bien relever sa jupe longue , et"
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39739,"sa jupe longue , et marche la tête un peu"
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39762,solide . Oh ! qu' elle était plus touchante et
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39778,"à la cheville , avec sa natte mi - défaite"
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39785,"mi - défaite , et ses pieds fins toujours hors"
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39795,des sabots . Non qu' elle soit enlaidie ! Je
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39799,qu' elle soit enlaidie ! Je constate que sa fraîcheur
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39802,enlaidie ! Je constate que sa fraîcheur et la nuance
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39808,fraîcheur et la nuance de ses prunelles équivoques produisent de
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39819,"effet sur les passants . Elle le sait , elle"
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39823,". Elle le sait , elle fait de l' œil"
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39855,que c' est drôle ! Je piétine dans l' irréel
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39862,"dans l' irréel . – Tu regardes mon ombrelle ,"
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39864,"irréel . – Tu regardes mon ombrelle , dit Luce"
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39868,"regardes mon ombrelle , dit Luce . Aga la pomme"
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39882,"a coûté cinquante francs , ma vieille ! – À"
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39892,qui ? – Attends que je te raconte . Il
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39893,? – Attends que je te raconte . Il faut
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39899,raconte . Il faut que je te prenne du commencement
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39900,. Il faut que je te prenne du commencement .
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39905,te prenne du commencement . J' adore ces tournures locales
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39926,vous prend un relief ! Je comprends certaines gaietés brusques
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39932,comprends certaines gaietés brusques de mon « neveu » Marcel
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39966,"tout en glaces , que Luce manie avec un respect"
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39978,Chez qui va - t - elle me mener ?
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39980,va - t - elle me mener ? Elle sonne
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39983,- elle me mener ? Elle sonne au dernier étage
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39989,sonne au dernier étage – elle n' a donc pas
Colette_Claudine-a-Paris_<Cette petite femme-1569>_39999,la clef ? – et passe vite devant une femme
Colette_Claudine-a-Paris_<Cette petite femme-1569>_40055,ventre par une ficelle . Luce ouvre vivement une des
Colette_Claudine-a-Paris_<Cette petite femme-1569>_40065,"portes de l' antichambre ; je la suis , dans"
Colette_Claudine-a-Paris_<Cette petite femme-1569>_40066,"de l' antichambre ; je la suis , dans un"
Colette_Claudine-a-Paris_<Cette petite femme-1569>_40078,à tapis vert sombre ; elle ouvre une autre porte
Colette_Claudine-a-Paris_<Cette petite femme-1569>_40085,"une autre porte , s' efface , la referme sur"
Colette_Claudine-a-Paris_<Cette petite femme-1569>_40088,", s' efface , la referme sur nous et se"
Colette_Claudine-a-Paris_<Cette petite femme-1569>_40093,referme sur nous et se jette dans mes bras .
Colette_Claudine-a-Paris_<Cette petite femme-1569>_40095,nous et se jette dans mes bras . – Luce
Colette_Claudine-a-Paris_<Cette petite femme-1569>_40099,dans mes bras . – Luce ! Veux - tu
Colette_Claudine-a-Paris_<Cette petite femme-1569>_40102,. – Luce ! Veux - tu une tape ?
Colette_Claudine-a-Paris_<Cette petite femme-1569>_40108,"tu une tape ? dis - je , recouvrant à"
Colette_Claudine-a-Paris_<Cette petite femme-1569>_40116,"recouvrant à grand - peine mon ancienne autorité , car"
Colette_Claudine-a-Paris_<Cette petite femme-1569>_40121,"mon ancienne autorité , car elle me tient ferme et"
Colette_Claudine-a-Paris_<Cette petite femme-1569>_40122,"ancienne autorité , car elle me tient ferme et fourre"
Colette_Claudine-a-Paris_<Cette petite femme-1569>_40126,elle me tient ferme et fourre son nez frais dans
Colette_Claudine-a-Paris_<Cette petite femme-1569>_40127,me tient ferme et fourre son nez frais dans mon
Colette_Claudine-a-Paris_<Cette petite femme-1569>_40131,"fourre son nez frais dans mon cou , sous l'"
Colette_Claudine-a-Paris_<Cette petite femme-1569>_40138,", sous l' oreille . Elle relève la tête ,"
Colette_Claudine-a-Paris_<Cette petite femme-1569>_40146,"tête , et sans desserrer ses bras avec une ineffable"
Colette_Claudine-a-Paris_<Cette petite femme-1569>_40162,Oh ! oui ! Bats - moi un peu !
Colette_Claudine-a-Paris_<Cette petite femme-1569>_40168,moi un peu ! Mais je n' ai plus de
Colette_Claudine-a-Paris_<Cette petite femme-1569>_40180,"ou pas encore , à la battre . On ne"
Colette_Claudine-a-Paris_<Cette petite femme-1569>_40214,"paquet de roses . Griffer ses petites mains , oui"
Colette_Claudine-a-Paris_<Cette petite femme-1569>_40221,"mains , oui … mais elle a gardé ses gants"
Colette_Claudine-a-Paris_<Cette petite femme-1569>_40224,… mais elle a gardé ses gants . – Claudine
Colette_Claudine-a-Paris_<Cette petite femme-1569>_40233,Claudine ! … Oh ! tu ne m' aimes plus
Colette_Claudine-a-Paris_<Cette petite femme-1569>_40235,… Oh ! tu ne m' aimes plus du tout
Colette_Claudine-a-Paris_<Cette petite femme-1569>_40242,plus du tout ! – Je ne peux pas t'
Colette_Claudine-a-Paris_<Cette petite femme-1569>_40246,– Je ne peux pas t' aimer comme ça sur
Colette_Claudine-a-Paris_<Cette petite femme-1569>_40256,commande . Il faut que je sache à qui j'
Colette_Claudine-a-Paris_<Cette petite femme-1569>_40260,"que je sache à qui j' ai affaire , moi"
Colette_Claudine-a-Paris_<Cette petite femme-1569>_40264,"qui j' ai affaire , moi ! Cette chemisette ne"
Colette_Claudine-a-Paris_<Cette petite femme-1569>_40269,moi ! Cette chemisette ne t' a pas poussé toute
Colette_Claudine-a-Paris_<Cette petite femme-1569>_40288,appartement ? « Où suis - je ? Est -
Colette_Claudine-a-Paris_<Cette petite femme-1569>_40319,"verjus . – C' est ma chambre , répond Luce"
Colette_Claudine-a-Paris_<Cette petite femme-1569>_40323,"est ma chambre , répond Luce d' une voix onctueuse"
Colette_Claudine-a-Paris_<Cette petite femme-1569>_40335,"s' écartant un peu , elle me laisse à mon"
Colette_Claudine-a-Paris_<Cette petite femme-1569>_40350,"mais pas trop bête , sa chambre . Bien tapissée"
Colette_Claudine-a-Paris_<Cette petite femme-1569>_40427,"d' un mètre cinquante , Madame , plus d' un"
Colette_Claudine-a-Paris_<Cette petite femme-1569>_40436,"un mètre cinquante , on vous dit , c' est"
Colette_Claudine-a-Paris_<Cette petite femme-1569>_40506,"encore , mon Dieu ! – Luce ! sont -"
Colette_Claudine-a-Paris_<Cette petite femme-1569>_40507,", mon Dieu ! – Luce ! sont - ce"
Colette_Claudine-a-Paris_<Cette petite femme-1569>_40517,"les fruits du déshonneur ? Tu sais bien , «"
Colette_Claudine-a-Paris_<Cette petite femme-1569>_40547,Morale en exemples . – Tu n' as pas vu
Colette_Claudine-a-Paris_<Cette petite femme-1569>_40557,"le plus beau , continue Luce sans répondre . Regarde"
Colette_Claudine-a-Paris_<Cette petite femme-1569>_40563,sans répondre . Regarde ! Elle ouvre une des portes
Colette_Claudine-a-Paris_<Cette petite femme-1569>_40584,toilette . – Merci : j' aurais pu croire que
