,text_surronding
Colette_La-retraite-sentimentale_<me-168>_4951,"d' argile rosée . Elle me tient les mains ,"
Colette_La-retraite-sentimentale_<me-168>_4961,"elle est tout près de moi , elle ouvre et"
Colette_La-retraite-sentimentale_<me-168>_4983,"Écoutez , Claudine … – J' écoute , chérie ."
Colette_La-retraite-sentimentale_<me-168>_4989,"écoute , chérie . – Vous ne savez pas ,"
Colette_La-retraite-sentimentale_<me-168>_4994,"Vous ne savez pas , vous , ce que c'"
Colette_La-retraite-sentimentale_<me-168>_5029,"être excessif de prétendre que je ne souhaite pas ,"
Colette_La-retraite-sentimentale_<me-168>_5042,heures … y aller de mon petit voyage … –
Colette_La-retraite-sentimentale_<me-168>_5051,– Ne riez pas ! Je voudrais que vous me
Colette_La-retraite-sentimentale_<me-168>_5055,! Je voudrais que vous me compreniez . L' envie
Colette_La-retraite-sentimentale_<me-168>_5097,"même pas une idée , Claudine ! Je vous jure"
Colette_La-retraite-sentimentale_<me-168>_5099,"une idée , Claudine ! Je vous jure que c'"
Colette_La-retraite-sentimentale_<me-168>_5100,"idée , Claudine ! Je vous jure que c' est"
Colette_La-retraite-sentimentale_<me-168>_5109,"est à peine mental . Je comparerais cela , plutôt"
Colette_La-retraite-sentimentale_<me-168>_5146,"plus lourd … Pendant que je mange , pendant que"
Colette_La-retraite-sentimentale_<me-168>_5151,"je mange , pendant que je dors ou que je"
Colette_La-retraite-sentimentale_<me-168>_5155,"que je dors ou que je brode , j' ai"
Colette_La-retraite-sentimentale_<me-168>_5158,"ou que je brode , j' ai là , ici"
Colette_La-retraite-sentimentale_<me-168>_5170,"autour , cette chose qui me tire obstinément : mon"
Colette_La-retraite-sentimentale_<me-168>_5174,qui me tire obstinément : mon envie de partir .
Colette_La-retraite-sentimentale_<me-168>_5187,"dirait pas , hein ? je cache bien mal ?"
Colette_La-retraite-sentimentale_<me-168>_5193,cache bien mal ? … Elle fait avec les mains
Colette_La-retraite-sentimentale_<me-168>_5209,"de malade en consultation , cherche à situer son bobo"
Colette_La-retraite-sentimentale_<me-168>_5212,"consultation , cherche à situer son bobo , tâte sa"
Colette_La-retraite-sentimentale_<me-168>_5215,"à situer son bobo , tâte sa tête et ses"
Colette_La-retraite-sentimentale_<me-168>_5216,"situer son bobo , tâte sa tête et ses flancs"
Colette_La-retraite-sentimentale_<me-168>_5219,", tâte sa tête et ses flancs ; ses yeux"
Colette_La-retraite-sentimentale_<me-168>_5222,"tête et ses flancs ; ses yeux , mauves le"
Colette_La-retraite-sentimentale_<me-168>_5229,", mauves le soir , me questionnent … Je caresse"
Colette_La-retraite-sentimentale_<me-168>_5232,"soir , me questionnent … Je caresse ses cheveux pour"
Colette_La-retraite-sentimentale_<me-168>_5234,me questionnent … Je caresse ses cheveux pour la calmer
Colette_La-retraite-sentimentale_<me-168>_5237,Je caresse ses cheveux pour la calmer : – Pauvre
Colette_La-retraite-sentimentale_<me-168>_5241,pour la calmer : – Pauvre petit ! il fallait
Colette_La-retraite-sentimentale_<me-168>_5246,Pauvre petit ! il fallait me le dire … Quel
