,text_surronding
Daeninckx-Didier_Le-bourreau-et-son-double_<Léonard-2327>_45689,"tournée contre le mur . Léonard prenait l' air ,"
Daeninckx-Didier_Le-bourreau-et-son-double_<Léonard-2327>_45715,"l' usine – Allez , tu viens , on va"
Daeninckx-Didier_Le-bourreau-et-son-double_<Léonard-2327>_45733,la cellule pour en extraire l' acteur et le conduisirent
Daeninckx-Didier_Le-bourreau-et-son-double_<Léonard-2327>_45736,en extraire l' acteur et le conduisirent à l' étage
Daeninckx-Didier_Le-bourreau-et-son-double_<Léonard-2327>_45752,. Le manque de sommeil lui creusait les traits –
Daeninckx-Didier_Le-bourreau-et-son-double_<Léonard-2327>_45757,lui creusait les traits – Vous n' auriez pas un
Daeninckx-Didier_Le-bourreau-et-son-double_<Léonard-2327>_45766,un clope . . . Il parlait d' une voix
Daeninckx-Didier_Le-bourreau-et-son-double_<Léonard-2327>_45784,couverte par le raclement de ses talons sur le parquet
Daeninckx-Didier_Le-bourreau-et-son-double_<Léonard-2327>_45790,talons sur le parquet quand il allongea ses jambes .
Daeninckx-Didier_Le-bourreau-et-son-double_<Léonard-2327>_45792,le parquet quand il allongea ses jambes . – .
Daeninckx-Didier_Le-bourreau-et-son-double_<Léonard-2327>_45803,. Vous n' allez pas me garder ici toute la
Daeninckx-Didier_Le-bourreau-et-son-double_<Léonard-2327>_45822,"Non , dans un sens tu as raison : on"
Daeninckx-Didier_Le-bourreau-et-son-double_<Léonard-2327>_45834,a rien à foutre de ton sachet de dope .
Daeninckx-Didier_Le-bourreau-et-son-double_<Léonard-2327>_45847,"ce pas , inspecteur ? Cadin approuva d' un mouvement"
Daeninckx-Didier_Le-bourreau-et-son-double_<Léonard-2327>_45860,provoquant l' étonnement de Diaz qui regarda tour à tour
Daeninckx-Didier_Le-bourreau-et-son-double_<Léonard-2327>_45880,pas fait la connerie de m' enchrister pour ces putains
