,text_surronding
Daudet-Alphonse_Jack_<Jack-2621>_50705,des chiens aboyaient longuement . Jack était ému . Chaque
Daudet-Alphonse_Jack_<Jack-2621>_50712,ému . Chaque pas qu' il faisait l' éloignait de
Daudet-Alphonse_Jack_<Jack-2621>_50714,"Chaque pas qu' il faisait l' éloignait de Paris ,"
Daudet-Alphonse_Jack_<Jack-2621>_50727,", de ses lumières , l' enfonçait plus profondément dans"
Daudet-Alphonse_Jack_<Jack-2621>_50742,". En ce moment , il arrivait à la dernière"
Daudet-Alphonse_Jack_<Jack-2621>_50769,bande lumineuse qui semblait à l' enfant la limite du
Daudet-Alphonse_Jack_<Jack-2621>_50786,"inconnu , l' ombre . Il hésita longtemps avant de"
Daudet-Alphonse_Jack_<Jack-2621>_50797,y lancer : — Si j' entrais là pour demander
Daudet-Alphonse_Jack_<Jack-2621>_50802,j' entrais là pour demander ma route ? se disait
Daudet-Alphonse_Jack_<Jack-2621>_50807,ma route ? se disait - il en regardant dans
Daudet-Alphonse_Jack_<Jack-2621>_50817,"la boutique . Malheureusement , il n' avait pas un"
Daudet-Alphonse_Jack_<Jack-2621>_50824,avait pas un sou dans sa poche … Le patron
Daudet-Alphonse_Jack_<Jack-2621>_50860,. Au bruit que fit l' enfant en poussant la
Daudet-Alphonse_Jack_<Jack-2621>_50889,", de ces visages comme Jack en avait vu le"
Daudet-Alphonse_Jack_<Jack-2621>_50901,les postes quand on cherchait Mâdou . La femme surtout
Daudet-Alphonse_Jack_<Jack-2621>_50924,"Qu' est - ce qu' il veut encore , celui"
Daudet-Alphonse_Jack_<Jack-2621>_50928,"qu' il veut encore , celui - là ? dit"
Daudet-Alphonse_Jack_<Jack-2621>_50944,"hommes se levait ; mais Jack se sauva épouvanté ,"
Daudet-Alphonse_Jack_<Jack-2621>_50949,"Jack se sauva épouvanté , franchit d' un bond la"
Daudet-Alphonse_Jack_<Jack-2621>_50961,"bouge , en entendant derrière lui un flot d' injures"
Daudet-Alphonse_Jack_<Jack-2621>_50987,"sinistre devenue un refuge , il courait de toutes ses"
Daudet-Alphonse_Jack_<Jack-2621>_50991,", il courait de toutes ses forces et ne s'"
Daudet-Alphonse_Jack_<Jack-2621>_50996,"ses forces et ne s' arrêta que longtemps après ,"
Daudet-Alphonse_Jack_<Jack-2621>_51113,"éblouissante de son mouvement . L' enfant restait là ,"
Daudet-Alphonse_Jack_<Jack-2621>_51128,était la première fois qu' il se trouvait si tard
Daudet-Alphonse_Jack_<Jack-2621>_51142,"seul . En outre , il n' avait rien mangé"
Daudet-Alphonse_Jack_<Jack-2621>_51154,"depuis le matin , et souffrait d' une grande soif"
Daudet-Alphonse_Jack_<Jack-2621>_51167,soif ardente . À présent il commençait à comprendre dans
Daudet-Alphonse_Jack_<Jack-2621>_51175,comprendre dans quelle terrible aventure il s' était lancé .
Daudet-Alphonse_Jack_<Jack-2621>_51185,Peut - être se trompait - il et marchait -
Daudet-Alphonse_Jack_<Jack-2621>_51188,se trompait - il et marchait - il à l'
Daudet-Alphonse_Jack_<Jack-2621>_51189,trompait - il et marchait - il à l' envers
Daudet-Alphonse_Jack_<Jack-2621>_51210,? En admettant même qu' il fût dans la bonne
Daudet-Alphonse_Jack_<Jack-2621>_51220,"direction , quelle force il lui faudrait pour aller jusqu'"
Daudet-Alphonse_Jack_<Jack-2621>_51230,au bout ! L' idée lui vint alors de se
Daudet-Alphonse_Jack_<Jack-2621>_51258,"le jour ; mais comme il s' approchait , devant"
Daudet-Alphonse_Jack_<Jack-2621>_51263,"il s' approchait , devant lui , tout près de"
Daudet-Alphonse_Jack_<Jack-2621>_51268,"lui , tout près de lui , il entendit respirer"
Daudet-Alphonse_Jack_<Jack-2621>_51270,"tout près de lui , il entendit respirer longuement ,"
Daudet-Alphonse_Jack_<Jack-2621>_51304,"la blancheur des cailloux . Jack s' arrêta , pétrifié"
Daudet-Alphonse_Jack_<Jack-2621>_51329,"avant . Pour achever de le terrifier , voilà que"
Daudet-Alphonse_Jack_<Jack-2621>_51355,étirer pendant le sommeil . L' enfant se rappela le
Daudet-Alphonse_Jack_<Jack-2621>_51383,le long des murs ; il se dit que «
Daudet-Alphonse_Jack_<Jack-2621>_51401,"ces faces ignobles , et il tremblait de voir s'"
Daudet-Alphonse_Jack_<Jack-2621>_51435,l' ombre se remplissait pour lui de ces larves effrayantes
Daudet-Alphonse_Jack_<Jack-2621>_51449,"fond des fossés , elles lui barraient le passage ;"
Daudet-Alphonse_Jack_<Jack-2621>_51455,barraient le passage ; s' il avait seulement étendu la
Daudet-Alphonse_Jack_<Jack-2621>_51468,"ou à gauche , il lui semblait qu' il aurait"
Daudet-Alphonse_Jack_<Jack-2621>_51471,", il lui semblait qu' il aurait touché quelqu' un"
Daudet-Alphonse_Jack_<Jack-2621>_51502,"se réveiller , sauter sur lui , Jack n' eût"
Daudet-Alphonse_Jack_<Jack-2621>_51504,", sauter sur lui , Jack n' eût pas même"
Daudet-Alphonse_Jack_<Jack-2621>_51527,"venant sur la route , le tirèrent subitement de sa"
Daudet-Alphonse_Jack_<Jack-2621>_51531,", le tirèrent subitement de sa torpeur . Un officier"
Daudet-Alphonse_Jack_<Jack-2621>_51566,"venue au - devant de lui avec un falot ,"
Daudet-Alphonse_Jack_<Jack-2621>_51585,"Bonsoir , messieurs ! dit l' enfant d' une voix"
Daudet-Alphonse_Jack_<Jack-2621>_51602,soldat qui portait la lanterne la leva dans la direction
Daudet-Alphonse_Jack_<Jack-2621>_51630,… Est - ce que tu vas loin ? —
Daudet-Alphonse_Jack_<Jack-2621>_51650,"ici tout près … répondit Jack , qui ne se"
Daudet-Alphonse_Jack_<Jack-2621>_51652,"près … répondit Jack , qui ne se souciait pas"
Daudet-Alphonse_Jack_<Jack-2621>_51659,se souciait pas de raconter sa grande escapade . —
Daudet-Alphonse_Jack_<Jack-2621>_51676,bout de chemin ensemble … Je vois jusqu' à Charenton
Daudet-Alphonse_Jack_<Jack-2621>_51685,Charenton . Quel bonheur pour l' enfant de s' en
Daudet-Alphonse_Jack_<Jack-2621>_51705,"braves soldats , de régler son petit pas sur le"
Daudet-Alphonse_Jack_<Jack-2621>_51726,"refoulait les ténèbres autour de lui de chaque côté ,"
Daudet-Alphonse_Jack_<Jack-2621>_51740,épaisses et plus effrayantes . Il y gagnait encore de
