,text_surronding
Daudet-Alphonse_L-Immortel_<Paul-3741>_67520,toujours pas de ce que Paul attendait . Il essayait
Daudet-Alphonse_L-Immortel_<Paul-3741>_67523,ce que Paul attendait . Il essayait de l' y
Daudet-Alphonse_L-Immortel_<Paul-3741>_67542,"cheveux , s' informait de son hiver . Allait -"
Daudet-Alphonse_L-Immortel_<Paul-3741>_67600,Palestine . Qu' en pensait - il ? Bien sûr
Daudet-Alphonse_L-Immortel_<Paul-3741>_67621,"un prétexte en somme pour le retenir , la femme"
Daudet-Alphonse_L-Immortel_<Paul-3741>_67635,"l' idée que , s' il retournait à Paris ,"
Daudet-Alphonse_L-Immortel_<Paul-3741>_67642,"à Paris , d' autres le lui enlèveraient . Paul"
Daudet-Alphonse_L-Immortel_<Paul-3741>_67643,"Paris , d' autres le lui enlèveraient . Paul ,"
Daudet-Alphonse_L-Immortel_<Paul-3741>_67646,"autres le lui enlèveraient . Paul , se jugeant mystifié"
Daudet-Alphonse_L-Immortel_<Paul-3741>_67653,"se jugeant mystifié , mordait ses lèvres : « Ah"
Daudet-Alphonse_L-Immortel_<Paul-3741>_67664,"c' est comme ça , ma fille … Eh bien"
Daudet-Alphonse_L-Immortel_<Paul-3741>_67677,voir . » Lasse de son voyage et de sa
Daudet-Alphonse_L-Immortel_<Paul-3741>_67721,"» . Elle viendrait ; il serait là , derrière"
Daudet-Alphonse_L-Immortel_<Paul-3741>_67768,". Mais ce mot , Paul Astier , ce soir"
Daudet-Alphonse_L-Immortel_<Paul-3741>_67784,"pas ; et , malgré sa déconvenue , elle voyait"
Daudet-Alphonse_L-Immortel_<Paul-3741>_67855,"Gobineau , qui disait à Paul , à déjeuner ,"
Daudet-Alphonse_L-Immortel_<Paul-3741>_67966,une merveille de costume qui la faisait toute jeune et
Daudet-Alphonse_L-Immortel_<Paul-3741>_67973,"toute jeune et mince , elle lui proposa une course"
Daudet-Alphonse_L-Immortel_<Paul-3741>_67974,"jeune et mince , elle lui proposa une course à"
Daudet-Alphonse_L-Immortel_<Paul-3741>_68070,oblique soleil très doux . Elle lui parlait de ce
Daudet-Alphonse_L-Immortel_<Paul-3741>_68071,soleil très doux . Elle lui parlait de ce mari
Daudet-Alphonse_L-Immortel_<Paul-3741>_68077,parlait de ce mari dont elle avait tant souffert aux
Daudet-Alphonse_L-Immortel_<Paul-3741>_68084,"tant souffert aux années de sa jeunesse , tenant beaucoup"
Daudet-Alphonse_L-Immortel_<Paul-3741>_68094,à lui faire comprendre qu' elle portait un deuil mondain
Daudet-Alphonse_L-Immortel_<Paul-3741>_68105,tout de convenance et ne l' attristant pas jusqu' au
Daudet-Alphonse_L-Immortel_<Paul-3741>_68112,pas jusqu' au cœur . Paul comprenait parfaitement et souriait
Daudet-Alphonse_L-Immortel_<Paul-3741>_68116,". Paul comprenait parfaitement et souriait , bien résolu dans"
Daudet-Alphonse_L-Immortel_<Paul-3741>_68121,"souriait , bien résolu dans sa tactique de froideur ."
Daudet-Alphonse_L-Immortel_<Paul-3741>_68222,quitter tout cela … dit - il dans un soupir
Daudet-Alphonse_L-Immortel_<Paul-3741>_68228,"il dans un soupir . Elle le regarda , stupéfaite"
Daudet-Alphonse_L-Immortel_<Paul-3741>_68229,"dans un soupir . Elle le regarda , stupéfaite ,"
Daudet-Alphonse_L-Immortel_<Paul-3741>_68242,"et contracté … Partir , il voulait partir … et"
Daudet-Alphonse_L-Immortel_<Paul-3741>_68265,Nous séparer ! … et moi ? et ce grand
Daudet-Alphonse_L-Immortel_<Paul-3741>_68278,devions faire ensemble ? — Je vous laissais dire …
Daudet-Alphonse_L-Immortel_<Paul-3741>_68279,faire ensemble ? — Je vous laissais dire … Mais
Daudet-Alphonse_L-Immortel_<Paul-3741>_68292,qu' un pauvre artiste comme lui pouvait se payer une
Daudet-Alphonse_L-Immortel_<Paul-3741>_68318,bachot sur la Loire . Elle haussa ses belles épaules
Daudet-Alphonse_L-Immortel_<Paul-3741>_68320,la Loire . Elle haussa ses belles épaules patriciennes :
Daudet-Alphonse_L-Immortel_<Paul-3741>_68328,"patriciennes : — Voyons , Paul , quel enfantillage !"
Daudet-Alphonse_L-Immortel_<Paul-3741>_68341,ce que tout ce que j' ai n' est pas
Daudet-Alphonse_L-Immortel_<Paul-3741>_68347,ai n' est pas à vous ? — À quel
Daudet-Alphonse_L-Immortel_<Paul-3741>_68359,Ce fut dit ! mais elle ne devinait pas encore
Daudet-Alphonse_L-Immortel_<Paul-3741>_68365,ne devinait pas encore où il allait en venir .
Daudet-Alphonse_L-Immortel_<Paul-3741>_68371,"allait en venir . Et lui , craignant d' être"
Daudet-Alphonse_L-Immortel_<Paul-3741>_68393,du monde pour voyager avec vous ? — Eh bien
Daudet-Alphonse_L-Immortel_<Paul-3741>_68403,! restons à Mousseaux . Il s' inclina dans une
Daudet-Alphonse_L-Immortel_<Paul-3741>_68412,une douce ironie : — Votre architecte n' y a
Daudet-Alphonse_L-Immortel_<Paul-3741>_68434,de l' ouvrage … dussé - je mettre la feu
Daudet-Alphonse_L-Immortel_<Paul-3741>_68444,au château cette nuit … Elle riait de son beau
Daudet-Alphonse_L-Immortel_<Paul-3741>_68447,"nuit … Elle riait de son beau rire passionné ,"
Daudet-Alphonse_L-Immortel_<Paul-3741>_68452,"son beau rire passionné , se serrait contre lui ,"
Daudet-Alphonse_L-Immortel_<Paul-3741>_68455,"passionné , se serrait contre lui , prenait ses mains"
Daudet-Alphonse_L-Immortel_<Paul-3741>_68457,"se serrait contre lui , prenait ses mains dont elle"
Daudet-Alphonse_L-Immortel_<Paul-3741>_68458,"serrait contre lui , prenait ses mains dont elle se"
