,text_surronding
Daudet-Ernest_Le-Crime-de-Jean-Malory_<du prince Bedleben-2455>_65735,"voix , c' était celle du prince Bedleben . Loin"
Daudet-Ernest_Le-Crime-de-Jean-Malory_<du prince Bedleben-2455>_65806,Sa langue était paralysée . Le prince s' avança vers
Daudet-Ernest_Le-Crime-de-Jean-Malory_<du prince Bedleben-2455>_65817,". Elle ne pouvait distinguer ses traits , ses yeux"
Daudet-Ernest_Le-Crime-de-Jean-Malory_<du prince Bedleben-2455>_65832,elle vit les efforts qu' il faisait pour se tenir
Daudet-Ernest_Le-Crime-de-Jean-Malory_<du prince Bedleben-2455>_65848,Ne prendrez - vous pas mon bras ? demanda -
Daudet-Ernest_Le-Crime-de-Jean-Malory_<du prince Bedleben-2455>_65854,bras ? demanda - t - il . Elle voulut
Daudet-Ernest_Le-Crime-de-Jean-Malory_<du prince Bedleben-2455>_65862,Elle voulut passer outre . Il lui barra le chemin
Daudet-Ernest_Le-Crime-de-Jean-Malory_<du prince Bedleben-2455>_65873,– Est - ce que je vous fais peur ?
Daudet-Ernest_Le-Crime-de-Jean-Malory_<du prince Bedleben-2455>_65879,vous fais peur ? reprit - il . Et il
Daudet-Ernest_Le-Crime-de-Jean-Malory_<du prince Bedleben-2455>_65883,"reprit - il . Et il arrondit le bras ,"
Daudet-Ernest_Le-Crime-de-Jean-Malory_<du prince Bedleben-2455>_65905,"voulut prouver qu' elle ne le redoutait pas et ,"
Daudet-Ernest_Le-Crime-de-Jean-Malory_<du prince Bedleben-2455>_65920,"consentit à s' appuyer sur lui , mais non sans"
Daudet-Ernest_Le-Crime-de-Jean-Malory_<du prince Bedleben-2455>_65927,mais non sans essayer de l' entraîner vers le château
Daudet-Ernest_Le-Crime-de-Jean-Malory_<du prince Bedleben-2455>_65933,entraîner vers le château . Il la retint doucement et
Daudet-Ernest_Le-Crime-de-Jean-Malory_<du prince Bedleben-2455>_65943,d' un accent brusque lui posa la question suivante :
Daudet-Ernest_Le-Crime-de-Jean-Malory_<du prince Bedleben-2455>_65953,– Savez - vous que je vous aime ? –
Daudet-Ernest_Le-Crime-de-Jean-Malory_<du prince Bedleben-2455>_65959,"vous aime ? – Vous m' aimez , vous !"
Daudet-Ernest_Le-Crime-de-Jean-Malory_<du prince Bedleben-2455>_65983,donc rien appris ? – Je savais par lui que
