,text_surronding
Delly_Le-violon-du-tzigane_<elle-263>_7380,Je suis tellement rassurée pour elle en la sachant entre
Delly_Le-violon-du-tzigane_<elle-263>_7382,tellement rassurée pour elle en la sachant entre Aglaja et
Delly_Le-violon-du-tzigane_<elle-263>_7466,", prenant la main de Mirka , s' éloigna d'"
Delly_Le-violon-du-tzigane_<elle-263>_7612,épaules . . . . Mirka se vit accueillie avec
Delly_Le-violon-du-tzigane_<elle-263>_7628,maison du garde forestier . C' était la bonne Anna
Delly_Le-violon-du-tzigane_<elle-263>_7645,"son oncle de lui amener la petite fille , dont"
Delly_Le-violon-du-tzigane_<elle-263>_7649,"amener la petite fille , dont l' air triste et"
Delly_Le-violon-du-tzigane_<elle-263>_7665,compassion . Quand Lohn vit l' enfant occupée à jouer
Delly_Le-violon-du-tzigane_<elle-263>_7699,en disant qu' il reprendrait Mirka au passage . Anna
Delly_Le-violon-du-tzigane_<elle-263>_7720,"salle , elle vit que Mirka avait cessé de jouer"
Delly_Le-violon-du-tzigane_<elle-263>_7737,"Lieschen , qui agitait devant elle une poupée informe couverte"
Delly_Le-violon-du-tzigane_<elle-263>_7746,couverte d' oripeaux éclatants . La petite tzigane regardait avec
Delly_Le-violon-du-tzigane_<elle-263>_7776,. Anna s' approcha et lui posa la main sur
Delly_Le-violon-du-tzigane_<elle-263>_7785,sur l' épaule . – Tu regardes la pauvre Roschen
Delly_Le-violon-du-tzigane_<elle-263>_7787,"épaule . – Tu regardes la pauvre Roschen , enfant"
Delly_Le-violon-du-tzigane_<elle-263>_7791,"regardes la pauvre Roschen , enfant ?– Oui , madame"
Delly_Le-violon-du-tzigane_<elle-263>_7799,", madame . . . C' était la petite -"
Delly_Le-violon-du-tzigane_<elle-263>_7801,. . . C' était la petite - fille de
Delly_Le-violon-du-tzigane_<elle-263>_7818,"ce pas ?– Oui , la fille de son unique"
Delly_Le-violon-du-tzigane_<elle-263>_7825,"de son unique enfant , une orpheline qu' il aimait"
Delly_Le-violon-du-tzigane_<elle-263>_7827,"unique enfant , une orpheline qu' il aimait comme jamais"
Delly_Le-violon-du-tzigane_<elle-263>_7850,C' était en vue de lui préparer un bel avenir
Delly_Le-violon-du-tzigane_<elle-263>_7873,"on . Et voilà que la petite , élevée chez"
Delly_Le-violon-du-tzigane_<elle-263>_7878,"la petite , élevée chez sa grand - mère maternelle"
Delly_Le-violon-du-tzigane_<elle-263>_7899,promenade sur la rivière . Mirka joignit les mains .
Delly_Le-violon-du-tzigane_<elle-263>_7983,"tourmente , le mine . Pauvre petite Roschen , si"
Delly_Le-violon-du-tzigane_<elle-263>_7993,"douce , si jolie ! Elle avait des cheveux noirs"
Delly_Le-violon-du-tzigane_<elle-263>_8002,"noirs comme les tiens , Mirka , et des yeux"
Delly_Le-violon-du-tzigane_<elle-263>_8015,mais pas si grands . Son teint non plus n'
Delly_Le-violon-du-tzigane_<elle-263>_8058,Mlle Renata ? demanda machinalement Mirka en prenant d' une
Delly_Le-violon-du-tzigane_<elle-263>_8071,poupée que Lieschen persistait à lui tendre . – C'
Delly_Le-violon-du-tzigane_<elle-263>_8110,"bas , en Autriche !– Je n' aime pas du"
Delly_Le-violon-du-tzigane_<elle-263>_8120,"tout Mme Halder , déclara Mirka d' un ton plein"
Delly_Le-violon-du-tzigane_<elle-263>_8230,est donc passé Hænsel ? Je suis sûre que ce
Delly_Le-violon-du-tzigane_<elle-263>_8241,désobéissant est encore dehors ! J' évite de les laisser
Delly_Le-violon-du-tzigane_<elle-263>_8275,". Tout en parlant , elle s' avançait vers la"
Delly_Le-violon-du-tzigane_<elle-263>_8283,"vers la porte . Mais Mirka , plus vive ,"
Delly_Le-violon-du-tzigane_<elle-263>_8288,"Mirka , plus vive , l' avait précédée . Et"
Delly_Le-violon-du-tzigane_<elle-263>_8301,", sans un cri , la petite fille s' élança"
