,text_surronding
Despentes-Virginie_Apocalypse-bebe_<elle-3215>_81332,"faire cuire les pâtes , elle aura peur , elle"
Despentes-Virginie_Apocalypse-bebe_<elle-3215>_81336,", elle aura peur , elle paniquera , elle aura"
Despentes-Virginie_Apocalypse-bebe_<elle-3215>_81339,"peur , elle paniquera , elle aura les larmes aux"
Despentes-Virginie_Apocalypse-bebe_<elle-3215>_81350,et lui se moquera d' elle « mais enfin c'
Despentes-Virginie_Apocalypse-bebe_<elle-3215>_81371,. Mais le lendemain il la trouvera en train de
Despentes-Virginie_Apocalypse-bebe_<elle-3215>_81391,"la vaisselle , et il la traînera dans le bureau"
Despentes-Virginie_Apocalypse-bebe_<elle-3215>_81397,"traînera dans le bureau pour lui mettre une trempe ,"
Despentes-Virginie_Apocalypse-bebe_<elle-3215>_81530,"sans y être invité . Loraine , son corps massacré"
Despentes-Virginie_Apocalypse-bebe_<elle-3215>_81532,"être invité . Loraine , son corps massacré , c'"
Despentes-Virginie_Apocalypse-bebe_<elle-3215>_81540,", c' était pour qu' elle progresse . Elle était"
Despentes-Virginie_Apocalypse-bebe_<elle-3215>_81543,pour qu' elle progresse . Elle était d' une précision
Despentes-Virginie_Apocalypse-bebe_<elle-3215>_81551,"une précision morbide , quand elle décidait d' aborder le"
Despentes-Virginie_Apocalypse-bebe_<elle-3215>_81648,jour il l' étouffera . Loraine aimait bien qu' elle
Despentes-Virginie_Apocalypse-bebe_<elle-3215>_81672,pour que ça change . Elle aimait lui répondre non
Despentes-Virginie_Apocalypse-bebe_<elle-3215>_81687,c' était un jeu qui lui plaisait . Entêtement .
Despentes-Virginie_Apocalypse-bebe_<elle-3215>_81692,lui plaisait . Entêtement . Elle avait toute une vie
Despentes-Virginie_Apocalypse-bebe_<elle-3215>_81719,les week - ends où elle pouvait traîner avec les
Despentes-Virginie_Apocalypse-bebe_<elle-3215>_81726,"traîner avec les autres . Elle avait des copains ,"
Despentes-Virginie_Apocalypse-bebe_<elle-3215>_81731,"Elle avait des copains , elle avait des petites amies"
Despentes-Virginie_Apocalypse-bebe_<elle-3215>_81813,autrement exotiques et surprenantes que Loraine . Pour la première
Despentes-Virginie_Apocalypse-bebe_<elle-3215>_81820,"Pour la première fois de sa vie , elle n'"
Despentes-Virginie_Apocalypse-bebe_<elle-3215>_81823,"fois de sa vie , elle n' était pas la"
Despentes-Virginie_Apocalypse-bebe_<elle-3215>_81830,était pas la seule fille qui aimait les filles .
Despentes-Virginie_Apocalypse-bebe_<elle-3215>_81853,". La première fois qu' elle les avait vues ,"
Despentes-Virginie_Apocalypse-bebe_<elle-3215>_81872,à la première fois qu' elle avait entendu le mot
Despentes-Virginie_Apocalypse-bebe_<elle-3215>_81894,femme croisée à Paris . Elle avait dix ans .
Despentes-Virginie_Apocalypse-bebe_<elle-3215>_81899,Elle avait dix ans . Elle savait qu' elle l'
Despentes-Virginie_Apocalypse-bebe_<elle-3215>_81902,ans . Elle savait qu' elle l' était bien avant
Despentes-Virginie_Apocalypse-bebe_<elle-3215>_81916,existait un mot pour qualifier son état et c' était
Despentes-Virginie_Apocalypse-bebe_<elle-3215>_81936,pas juste un truc à elle qu' elle manigançait dans
Despentes-Virginie_Apocalypse-bebe_<elle-3215>_81938,un truc à elle qu' elle manigançait dans son coin
Despentes-Virginie_Apocalypse-bebe_<elle-3215>_81941,elle qu' elle manigançait dans son coin à être amoureuse
