,text_surronding
Dhanys-Marcel_La-fille-de-Racine_<me-1>_3,me fait ici chercher une
Dhanys-Marcel_La-fille-de-Racine_<me-1>_20,ne vous laignez pas : mon cœur chargé d' ennuiNe
Dhanys-Marcel_La-fille-de-Racine_<me-1>_64,« Vous que mille vertus me forçaient d' estimer .
Dhanys-Marcel_La-fille-de-Racine_<me-1>_73,. » « L' amour me fait ici chercher une
Dhanys-Marcel_La-fille-de-Racine_<me-1>_86,. » « Me refuserez - vous un regard moins
Dhanys-Marcel_La-fille-de-Racine_<me-1>_100,Puisqu' après tant d' efforts ma résistance est vaineJe me
Dhanys-Marcel_La-fille-de-Racine_<me-1>_111,"en aveugle au destin qui m' entraîne , J' aime"
Dhanys-Marcel_La-fille-de-Racine_<me-1>_114,"destin qui m' entraîne , J' aime ! . ."
Dhanys-Marcel_La-fille-de-Racine_<me-1>_129,sans cesse est présente à mon âmeRien ne peut l'
Dhanys-Marcel_La-fille-de-Racine_<me-1>_156,« Et peut - être ta plume aux censeurs de
Dhanys-Marcel_La-fille-de-Racine_<me-1>_167,les plus nobles traits dont tu peignis Burrhus . »
Dhanys-Marcel_La-fille-de-Racine_<me-1>_180,"Orient désert , quel devint mon ennui ! » dans"
Dhanys-Marcel_La-fille-de-Racine_<me-1>_192,"ci : Madame , et vais encor me taire plus"
Dhanys-Marcel_La-fille-de-Racine_<me-1>_238,et je pars ! » Mon père avait jugé que
Dhanys-Marcel_La-fille-de-Racine_<me-1>_280,"cherchant dans sa bibliothèque , mon père m' a lu"
Dhanys-Marcel_La-fille-de-Racine_<me-1>_282,"sa bibliothèque , mon père m' a lu ces lignes"
Dhanys-Marcel_La-fille-de-Racine_<me-1>_407,"tragédie , les ennemis de mon père ne désarmèrent pas"
Dhanys-Marcel_La-fille-de-Racine_<me-1>_487,"intitulée : Arlequin Protée . Mon père pensait , au"
Dhanys-Marcel_La-fille-de-Racine_<me-1>_498,"de ces attaques , qu' il aurait mieux fait de"
Dhanys-Marcel_La-fille-de-Racine_<me-1>_511,de M . Despréaux qui l' avait engagé à répondre
Dhanys-Marcel_La-fille-de-Racine_<me-1>_526,- recevoir aux propositions que lui avait fait faire Madame
Dhanys-Marcel_La-fille-de-Racine_<me-1>_538,néanmoins d' illustres approbations ne lui manquèrent pas . Le
Dhanys-Marcel_La-fille-de-Racine_<me-1>_578,"je la vois , Et crois toujours la voir pour"
Dhanys-Marcel_La-fille-de-Racine_<Marie - Thérèse-19>_295,dans l' Oraison funèbre de Marie - Thérèse : «
Dhanys-Marcel_La-fille-de-Racine_<Marie - Thérèse-19>_357,de leur rang . » Madame ne devait pas assister
Dhanys-Marcel_La-fille-de-Racine_<Marie - Thérèse-19>_370,"des deux pièces faites à sa demande , étant morte"
Dhanys-Marcel_La-fille-de-Racine_<Marie - Thérèse-19>_530,que lui avait fait faire Madame . Ce néanmoins d'
Dhanys-Marcel_La-fille-de-Racine_<Marie - Thérèse-19>_561,application de ces vers que Bérénice adresse à Titus :
Dhanys-Marcel_La-fille-de-Racine_<Marie - Thérèse-19>_574,"ans entiers chaque jour je la vois , Et crois"
Dhanys-Marcel_La-fille-de-Racine_<Marie - Thérèse-19>_580,"vois , Et crois toujours la voir pour la première"
