,text_surronding
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_237478,n' y avait donc que moi dont la malheureuse organisation
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_237496,autres découvraient des plaisirs . Ma tristesse et ma timidité
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_237499,plaisirs . Ma tristesse et ma timidité s' augmentèrent encore
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_237509,"de cette certitude , et je continuai de mener l'"
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_237517,"mener l' existence douloureuse que j' avais commencée , et"
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_237523,"avais commencée , et dont je n' avais pas la"
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_237550,de cette existence . Dans mes vingt - quatre heures
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_237557,"- quatre heures sombres , j' avais une heure de"
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_237576,jeunes filles venaient jouer sous mes fenêtres . La dernière
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_237584,"La dernière arrivée , que j' entendais appeler Jenny ,"
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_237603,"compagnes , et , quoique je lui eusse su mauvais"
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_237623,"l' unissait plus intimement à moi , j' avais fini"
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_237625,"plus intimement à moi , j' avais fini par lui"
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_237637,"bonheur . Chaque jour , j' attendais cette heure de"
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_237654,était - elle arrivée que je reprenais mon poste accoutumé
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_237656,elle arrivée que je reprenais mon poste accoutumé . J'
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_237660,reprenais mon poste accoutumé . J' aurais pu dire que
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_237665,J' aurais pu dire que je ne vivais que pendant
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_237681,"le reste du temps , j' attendais la vie ."
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_237693,mois des vacances arriva : je le vis venir presque
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_237707,étaient six semaines pendant lesquelles je ne verrais pas Jenny
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_237718,L' idée de rentrer dans ma famille qui m' aimait
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_237721,"rentrer dans ma famille qui m' aimait tant , de"
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_237727,"aimait tant , de revoir mon père qui , depuis"
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_237735,", depuis la mort de ma pauvre mère , avait"
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_237745,"concentré toutes ses affections sur moi , n' était qu'"
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_237772,"écoliers cette importante époque , je restai triste et pensif"
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_237780,"et pensif . Cependant , j' étais loin de me"
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_237791,du surcroît de chagrin qui m' attendait . J' avais
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_237794,chagrin qui m' attendait . J' avais toujours présumé que
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_237811,"était la même , et je calculais le nombre de"
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_237818,le nombre de jours que j' avais encore à voir
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_237832,"matin , en montant sur mon échafaudage accoutumé , je"
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_237836,"sur mon échafaudage accoutumé , je trouvai le jardin vide"
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_237843,le jardin vide . » Je n' y compris rien
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_237851,compris rien d' abord : je crus que l' heure
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_237860,heure avait été avancée pour moi et reculée pour elles
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_237866,"et reculée pour elles ; j' attendis , croyant à"
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_237904,"le jardin demeura désert . Je compris la vérité ,"
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_237909,"Je compris la vérité , mon cœur se serra ,"
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_237919,des larmes silencieuses coulèrent de mes yeux . Ne pouvant
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_237934,"la rentrée des pensionnaires , je restai là à pleurer"
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_237954,"pour la seconde classe , je fus surpris , baigné"
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_237960,"fus surpris , baigné dans mes larmes , au haut"
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_237966,"larmes , au haut de mon échafaudage . En voulant"
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_237976,"descendre rapidement , le pied me manqua , je tombai"
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_237979,"le pied me manqua , je tombai la tête sur"
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_237991,"d' un banc . On me releva évanoui , et"
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_237998,"évanoui , et l' on me transporta à l' infirmerie"
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_238012,par cette blessure dont vous me voyez encore la cicatrice
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_238019,encore la cicatrice . » Mes maîtres m' aimaient en
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_238021,cicatrice . » Mes maîtres m' aimaient en raison inverse
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_238030,inverse de la haine que me portaient mes camarades ;
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_238032,la haine que me portaient mes camarades ; j' étais
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_238035,me portaient mes camarades ; j' étais pour eux un
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_238039,"; j' étais pour eux un enfant doux , patient"
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_238048,patient et travailleur ; jamais je n' avais encouru une
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_238064,désobéissance . La facilité que j' avais à apprendre et
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_238075,retenir leur faisait espérer que je serais un jour une
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_238093,cette malheureuse timidité qui menaçait mon avenir de sa funeste
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_238116,ne pouvaient prévoir combien elle me serait fatale lorsque je
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_238120,elle me serait fatale lorsque je serais forcé d' y
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_238135,ils ne faisaient rien pour m' en corriger . Mon
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_238139,pour m' en corriger . Mon accident causa donc une
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_238155,"les soins les plus empressés me furent prodigués , et"
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_238169,"concours de bienveillance générale , je pus prendre mes vacances"
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_238172,"générale , je pus prendre mes vacances en même temps"
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_238183,les autres écoliers . » J' arrivai chez mon père
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_238186,. » J' arrivai chez mon père . Le pauvre
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_238197,", qui n' avait que moi au monde , voyait"
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_238203,"au monde , voyait en moi l' idéalité de la"
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_238216,"ailleurs , les notes de mes professeurs étaient si bienveillantes"
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_238237,une pareille erreur ; il me trouva grandi et embelli
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_238246,"embelli , pauvre père ! Ma réputation de savant m'"
Dumas-Alexandre_Impressions-de-voyage-en-Suisse_<moi-13636>_238250,! Ma réputation de savant m' avait précédé dans la
