,text_surronding
Dumas-Alexandre_La-princesse-Flora_<la princesse Marie - Alexievna-1515>_34617,: « Qu' en dira la princesse Marie - Alexievna
Dumas-Alexandre_La-princesse-Flora_<la princesse Marie - Alexievna-1515>_34643,"générosité , aucune grandeur . La princesse Flora avait grandi"
Dumas-Alexandre_La-princesse-Flora_<la princesse Marie - Alexievna-1515>_34658,lait d' amandes ; mais elle eut la chance d'
Dumas-Alexandre_La-princesse-Flora_<la princesse Marie - Alexievna-1515>_34682,. La lecture des poètes lui révéla un monde enchanteur
Dumas-Alexandre_La-princesse-Flora_<la princesse Marie - Alexievna-1515>_34690,"monde enchanteur , pour lequel elle s' enthousiasma ; mais"
Dumas-Alexandre_La-princesse-Flora_<la princesse Marie - Alexievna-1515>_34724,vol que sur place ; Flora était au nombre des
Dumas-Alexandre_La-princesse-Flora_<la princesse Marie - Alexievna-1515>_34746,tourbillon d' un monde où elle venait de faire son
Dumas-Alexandre_La-princesse-Flora_<la princesse Marie - Alexievna-1515>_34750,"où elle venait de faire son apparition , elle s'"
Dumas-Alexandre_La-princesse-Flora_<la princesse Marie - Alexievna-1515>_34753,"de faire son apparition , elle s' y montrait fière"
Dumas-Alexandre_La-princesse-Flora_<la princesse Marie - Alexievna-1515>_34763,"et indifférente , bien qu' elle ne ressentît aucun amour"
Dumas-Alexandre_La-princesse-Flora_<la princesse Marie - Alexievna-1515>_34784,une tante et le sort l' avaient attachée comme un
Dumas-Alexandre_La-princesse-Flora_<la princesse Marie - Alexievna-1515>_34795,"à sa chaîne . Pour la captiver , il fallait"
Dumas-Alexandre_La-princesse-Flora_<la princesse Marie - Alexievna-1515>_34803,il fallait d' abord fixer son attention par quelque chose
Dumas-Alexandre_La-princesse-Flora_<la princesse Marie - Alexievna-1515>_34812,"chose d' extraordinaire , exciter sa curiosité et son intérêt"
Dumas-Alexandre_La-princesse-Flora_<la princesse Marie - Alexievna-1515>_34815,", exciter sa curiosité et son intérêt . De là"
Dumas-Alexandre_La-princesse-Flora_<la princesse Marie - Alexievna-1515>_34832,"avait pas loin , car son cœur avait soif d'"
Dumas-Alexandre_La-princesse-Flora_<la princesse Marie - Alexievna-1515>_34868,"s' agitait la société , elle fut vaincue , surtout"
Dumas-Alexandre_La-princesse-Flora_<la princesse Marie - Alexievna-1515>_34885,"attaque de ce côté , elle avait encore moins prévue"
Dumas-Alexandre_La-princesse-Flora_<la princesse Marie - Alexievna-1515>_34895,"la chute . Pourtant , elle sentit bientôt qu' elle"
Dumas-Alexandre_La-princesse-Flora_<la princesse Marie - Alexievna-1515>_34899,", elle sentit bientôt qu' elle aimait , et ses"
Dumas-Alexandre_La-princesse-Flora_<la princesse Marie - Alexievna-1515>_34903,"qu' elle aimait , et ses lettres à son amie"
Dumas-Alexandre_La-princesse-Flora_<la princesse Marie - Alexievna-1515>_34906,", et ses lettres à son amie devinrent moins franches"
Dumas-Alexandre_La-princesse-Flora_<la princesse Marie - Alexievna-1515>_34915,franches et mieux écrites . Elle y parla de toutes
Dumas-Alexandre_La-princesse-Flora_<la princesse Marie - Alexievna-1515>_34924,"toutes choses , sauf de son cœur ; de toutes"
Dumas-Alexandre_La-princesse-Flora_<la princesse Marie - Alexievna-1515>_34956,", d' une fiancée , la confidente d' un secret"
Dumas-Alexandre_La-princesse-Flora_<la princesse Marie - Alexievna-1515>_34962,confidente d' un secret qu' elle - même eût encore
Dumas-Alexandre_La-princesse-Flora_<la princesse Marie - Alexievna-1515>_34988,avoir plus de prise sur Flora . Entraînée rapidement dans
Dumas-Alexandre_La-princesse-Flora_<la princesse Marie - Alexievna-1515>_34997,"dans une route inconnue , elle sut néanmoins s' arrêter"
Dumas-Alexandre_La-princesse-Flora_<la princesse Marie - Alexievna-1515>_35004,"néanmoins s' arrêter vaillamment ; elle sentait que , pour"
Dumas-Alexandre_La-princesse-Flora_<la princesse Marie - Alexievna-1515>_35009,"elle sentait que , pour son repos , sinon pour"
Dumas-Alexandre_La-princesse-Flora_<la princesse Marie - Alexievna-1515>_35014,"son repos , sinon pour son bonheur , à cette"
Dumas-Alexandre_La-princesse-Flora_<la princesse Marie - Alexievna-1515>_35046,"et , forte , de sa résolution , au lieu"
Dumas-Alexandre_La-princesse-Flora_<la princesse Marie - Alexievna-1515>_35053,", au lieu de ramener sa barque au rivage ,"
Dumas-Alexandre_La-princesse-Flora_<la princesse Marie - Alexievna-1515>_35058,"sa barque au rivage , elle exposa hardiment sa robe"
Dumas-Alexandre_La-princesse-Flora_<la princesse Marie - Alexievna-1515>_35061,"rivage , elle exposa hardiment sa robe de gaze au"
Dumas-Alexandre_La-princesse-Flora_<la princesse Marie - Alexievna-1515>_35083,"briser au fragile flanc de sa nacelle , ou ,"
Dumas-Alexandre_La-princesse-Flora_<la princesse Marie - Alexievna-1515>_35145,et les forces juvéniles de Pravdine s' étaient maintenues dans
Dumas-Alexandre_La-princesse-Flora_<la princesse Marie - Alexievna-1515>_35150,"Pravdine s' étaient maintenues dans son vaisseau , comme dans"
Dumas-Alexandre_La-princesse-Flora_<la princesse Marie - Alexievna-1515>_35186,par ses acides . – Tu me parais avoir été
Dumas-Alexandre_La-princesse-Flora_<la princesse Marie - Alexievna-1515>_35214,Au lieu de répéter à ta princesse Flora l' air
Dumas-Alexandre_La-princesse-Flora_<la princesse Marie - Alexievna-1515>_35223,"air Di tanti palpiti , tu ferais mieux de lui"
Dumas-Alexandre_La-princesse-Flora_<la princesse Marie - Alexievna-1515>_35227,", tu ferais mieux de lui affirmer que Una voce"
Dumas-Alexandre_La-princesse-Flora_<la princesse Marie - Alexievna-1515>_35293,"par le milieu , si tu ne veux point qu'"
Dumas-Alexandre_La-princesse-Flora_<la princesse Marie - Alexievna-1515>_35303,un autre les déchire à ton nez . En vérité
Dumas-Alexandre_La-princesse-Flora_<la princesse Marie - Alexievna-1515>_35313,", il serait honteux que cette blanche colombe moscovite se"
Dumas-Alexandre_La-princesse-Flora_<la princesse Marie - Alexievna-1515>_35320,"colombe moscovite se jouât de toi , et , qui"
Dumas-Alexandre_La-princesse-Flora_<la princesse Marie - Alexievna-1515>_35332,peut - être se rit - elle de ta simplicité
Dumas-Alexandre_La-princesse-Flora_<la princesse Marie - Alexievna-1515>_35335,se rit - elle de ta simplicité et se dépite
Dumas-Alexandre_La-princesse-Flora_<la princesse Marie - Alexievna-1515>_35342,et se dépite - t - elle de ta timidité
Dumas-Alexandre_La-princesse-Flora_<la princesse Marie - Alexievna-1515>_35345,- t - elle de ta timidité . Ces plaisanteries
Dumas-Alexandre_La-princesse-Flora_<la princesse Marie - Alexievna-1515>_35361,"droit dans le cœur de Pravdine , tantôt flattant ,"
