,text_surronding
Dumas-Alexandre_Le-Capitaine-Paul_<Emmanuel-1383>_26007,"cela est vrai , dit Emmanuel étonné . – Dieu"
Dumas-Alexandre_Le-Capitaine-Paul_<Emmanuel-1383>_26035,retirant lentement et en laissant Emmanuel si stupéfait de ces
Dumas-Alexandre_Le-Capitaine-Paul_<Emmanuel-1383>_26044,"ces prévisions douloureuses , qu' il la vit sortir de"
Dumas-Alexandre_Le-Capitaine-Paul_<Emmanuel-1383>_26070,geste pour la retenir . Emmanuel resta d' abord sérieux
Dumas-Alexandre_Le-Capitaine-Paul_<Emmanuel-1383>_26080,"et pensif , couvert qu' il était , pour ainsi"
Dumas-Alexandre_Le-Capitaine-Paul_<Emmanuel-1383>_26092,de l' ombre projetée sur lui par le deuil de
Dumas-Alexandre_Le-Capitaine-Paul_<Emmanuel-1383>_26097,lui par le deuil de sa mère ; mais bientôt
Dumas-Alexandre_Le-Capitaine-Paul_<Emmanuel-1383>_26102,sa mère ; mais bientôt son caractère insoucieux reprit le
Dumas-Alexandre_Le-Capitaine-Paul_<Emmanuel-1383>_26121,"en changeant d' horizon , il quitta la fenêtre qui"
Dumas-Alexandre_Le-Capitaine-Paul_<Emmanuel-1383>_26163,. À peine y était - il depuis quelques minutes
Dumas-Alexandre_Le-Capitaine-Paul_<Emmanuel-1383>_26169,il depuis quelques minutes qu' il aperçut deux cavaliers qui
Dumas-Alexandre_Le-Capitaine-Paul_<Emmanuel-1383>_26179,"suivaient la même route qu' il venait de faire ,"
Dumas-Alexandre_Le-Capitaine-Paul_<Emmanuel-1383>_26192,acheminer vers le château . Il ne put d' abord
Dumas-Alexandre_Le-Capitaine-Paul_<Emmanuel-1383>_26216,"mesure qu' ils approchaient , il distingua un maître et"
Dumas-Alexandre_Le-Capitaine-Paul_<Emmanuel-1383>_26351,"celui auquel il appartenait . Emmanuel crut un instant ,"
Dumas-Alexandre_Le-Capitaine-Paul_<Emmanuel-1383>_26383,"avancé son voyage , venait le surprendre lui - même"
Dumas-Alexandre_Le-Capitaine-Paul_<Emmanuel-1383>_26385,"voyage , venait le surprendre lui - même à son"
Dumas-Alexandre_Le-Capitaine-Paul_<Emmanuel-1383>_26389,surprendre lui - même à son débotté ; mais bientôt
Dumas-Alexandre_Le-Capitaine-Paul_<Emmanuel-1383>_26394,"son débotté ; mais bientôt il reconnut son erreur ,"
Dumas-Alexandre_Le-Capitaine-Paul_<Emmanuel-1383>_26396,"; mais bientôt il reconnut son erreur , et ,"
