,text_surronding
Dumas-Alexandre_Le-Vicomte-de-Bragelonne_<M . Colbert-23155>_617268,". Derrière le roi venait M . Colbert , qui"
Dumas-Alexandre_Le-Vicomte-de-Bragelonne_<M . Colbert-23155>_617272,"venait M . Colbert , qui l' avait pris dans"
Dumas-Alexandre_Le-Vicomte-de-Bragelonne_<M . Colbert-23155>_617281,dans un corridor comme s' il l' eût attendu à
Dumas-Alexandre_Le-Vicomte-de-Bragelonne_<M . Colbert-23155>_617290,"à l' affût , et qui le suivait comme son"
Dumas-Alexandre_Le-Vicomte-de-Bragelonne_<M . Colbert-23155>_617292,"affût , et qui le suivait comme son ombre jalouse"
Dumas-Alexandre_Le-Vicomte-de-Bragelonne_<M . Colbert-23155>_617294,et qui le suivait comme son ombre jalouse et surveillante
Dumas-Alexandre_Le-Vicomte-de-Bragelonne_<M . Colbert-23155>_617300,"ombre jalouse et surveillante ; M . Colbert , avec"
Dumas-Alexandre_Le-Vicomte-de-Bragelonne_<M . Colbert-23155>_617305,"M . Colbert , avec sa tête carrée , son"
Dumas-Alexandre_Le-Vicomte-de-Bragelonne_<M . Colbert-23155>_617309,"avec sa tête carrée , son gros luxe d' habits"
Dumas-Alexandre_Le-Vicomte-de-Bragelonne_<M . Colbert-23155>_617317,"d' habits débraillés , qui le faisaient ressembler quelque peu"
Dumas-Alexandre_Le-Vicomte-de-Bragelonne_<M . Colbert-23155>_617361,cette conduite si difficile de l' homme supérieur dont le
Dumas-Alexandre_Le-Vicomte-de-Bragelonne_<M . Colbert-23155>_617364,difficile de l' homme supérieur dont le cœur regorge de
Dumas-Alexandre_Le-Vicomte-de-Bragelonne_<M . Colbert-23155>_617372,"regorge de mépris , et qui ne veut pas même"
Dumas-Alexandre_Le-Vicomte-de-Bragelonne_<M . Colbert-23155>_617374,"mépris , et qui ne veut pas même témoigner son"
Dumas-Alexandre_Le-Vicomte-de-Bragelonne_<M . Colbert-23155>_617378,"ne veut pas même témoigner son mépris , dans la"
Dumas-Alexandre_Le-Vicomte-de-Bragelonne_<M . Colbert-23155>_617391,encore trop d' honneur à son adversaire . Colbert ne
Dumas-Alexandre_Le-Vicomte-de-Bragelonne_<M . Colbert-23155>_617394,honneur à son adversaire . Colbert ne cachait pas une
Dumas-Alexandre_Le-Vicomte-de-Bragelonne_<M . Colbert-23155>_617403,"une joie insultante . Pour lui , c' était de"
Dumas-Alexandre_Le-Vicomte-de-Bragelonne_<M . Colbert-23155>_617431,fût pas encore terminée . Colbert était de cette école
Dumas-Alexandre_Le-Vicomte-de-Bragelonne_<M . Colbert-23155>_617456,"succès . De plus , Colbert , qui n' était"
Dumas-Alexandre_Le-Vicomte-de-Bragelonne_<M . Colbert-23155>_617458,"De plus , Colbert , qui n' était pas seulement"
Dumas-Alexandre_Le-Vicomte-de-Bragelonne_<M . Colbert-23155>_617463,qui n' était pas seulement un homme envieux et jaloux
Dumas-Alexandre_Le-Vicomte-de-Bragelonne_<M . Colbert-23155>_617470,"envieux et jaloux , mais qui avait à cœur tous"
Dumas-Alexandre_Le-Vicomte-de-Bragelonne_<M . Colbert-23155>_617482,"du roi , parce qu' il était doué au fond"
Dumas-Alexandre_Le-Vicomte-de-Bragelonne_<M . Colbert-23155>_617494,"suprême probité du chiffre , Colbert pouvait se donner à"
Dumas-Alexandre_Le-Vicomte-de-Bragelonne_<M . Colbert-23155>_617499,Colbert pouvait se donner à lui - même le prétexte
Dumas-Alexandre_Le-Vicomte-de-Bragelonne_<M . Colbert-23155>_617513,"l' on hait , qu' il agissait , en haïssant"
Dumas-Alexandre_Le-Vicomte-de-Bragelonne_<M . Colbert-23155>_617553,"travers les gros sourcils de son ennemi , et malgré"
Dumas-Alexandre_Le-Vicomte-de-Bragelonne_<M . Colbert-23155>_617562,"malgré le jeu incessant de ses paupières , il lisait"
Dumas-Alexandre_Le-Vicomte-de-Bragelonne_<M . Colbert-23155>_617578,au fond du cœur de Colbert ; il vit donc
Dumas-Alexandre_Le-Vicomte-de-Bragelonne_<M . Colbert-23155>_617580,du cœur de Colbert ; il vit donc tout ce
Dumas-Alexandre_Le-Vicomte-de-Bragelonne_<M . Colbert-23155>_617610,"il voulait rester impénétrable , il rasséréna son visage ,"
Dumas-Alexandre_Le-Vicomte-de-Bragelonne_<M . Colbert-23155>_617612,"rester impénétrable , il rasséréna son visage , sourit de"
