,text_surronding
Dumas-Alexandre_Le-maitre-d-armes_<J'-1135>_19637,arrêta devant la porte . J' y montai aussitôt en
Dumas-Alexandre_Le-maitre-d-armes_<J'-1135>_19652,Xavier ; le comte prit ma main et la baisa
Dumas-Alexandre_Le-maitre-d-armes_<J'-1135>_19668,"quelques mots en russe à ma recommandation , et je"
Dumas-Alexandre_Le-maitre-d-armes_<J'-1135>_19672,"à ma recommandation , et je partis avec la rapidité"
Dumas-Alexandre_Le-maitre-d-armes_<J'-1135>_19689,"un instant , les chevaux me parurent redoubler de vitesse"
Dumas-Alexandre_Le-maitre-d-armes_<J'-1135>_19697,"de vitesse , et il me sembla que les efforts"
Dumas-Alexandre_Le-maitre-d-armes_<J'-1135>_19712,"les arrêter étaient inutiles : je voulus crier , mais"
Dumas-Alexandre_Le-maitre-d-armes_<J'-1135>_19717,"je voulus crier , mais mes cris se perdirent dans"
Dumas-Alexandre_Le-maitre-d-armes_<J'-1135>_19726,dans ceux du cocher . Je voulus ouvrir la portière
Dumas-Alexandre_Le-maitre-d-armes_<J'-1135>_19744,une espèce de jalousie dont je ne pus trouver le
Dumas-Alexandre_Le-maitre-d-armes_<J'-1135>_19756,"Après des efforts inutiles , je retombai épuisée dans le"
Dumas-Alexandre_Le-maitre-d-armes_<J'-1135>_19804,"la portière s' ouvrit , j' étais tellement éperdue que"
Dumas-Alexandre_Le-maitre-d-armes_<J'-1135>_19809,j' étais tellement éperdue que je m' élançai hors de
Dumas-Alexandre_Le-maitre-d-armes_<J'-1135>_19825,"fois échappée au danger que je croyais avoir couru ,"
Dumas-Alexandre_Le-maitre-d-armes_<J'-1135>_19830,"je croyais avoir couru , mes jambes se dérobèrent sous"
Dumas-Alexandre_Le-maitre-d-armes_<J'-1135>_19835,"mes jambes se dérobèrent sous moi , et je crus"
Dumas-Alexandre_Le-maitre-d-armes_<J'-1135>_19838,"dérobèrent sous moi , et je crus que j' allais"
Dumas-Alexandre_Le-maitre-d-armes_<J'-1135>_19841,", et je crus que j' allais me trouver mal"
Dumas-Alexandre_Le-maitre-d-armes_<J'-1135>_19852,"En ce moment , on m' enveloppa la tête d'"
Dumas-Alexandre_Le-maitre-d-armes_<J'-1135>_19860,"tête d' un cachemire , je sentis qu' on me"
