,text_surronding
Dumas-Alexandre_Le-page-du-duc-de-Savoie_<une espèce d' écuyer que m'-1389>_21410,que j' ai avec moi une espèce d' écuyer que
Dumas-Alexandre_Le-page-du-duc-de-Savoie_<une espèce d' écuyer que m'-1389>_21414,moi une espèce d' écuyer que m' a donné M
Dumas-Alexandre_Le-page-du-duc-de-Savoie_<une espèce d' écuyer que m'-1389>_21423,M . l' amiral et qui pourrait fort bien renseigner
Dumas-Alexandre_Le-page-du-duc-de-Savoie_<une espèce d' écuyer que m'-1389>_21430,"fort bien renseigner , s' il le veut , votre"
Dumas-Alexandre_Le-page-du-duc-de-Savoie_<une espèce d' écuyer que m'-1389>_21447,". — Comment , s' il le veut ? s'"
Dumas-Alexandre_Le-page-du-duc-de-Savoie_<une espèce d' écuyer que m'-1389>_21459,connétable ; il faudra qu' il le veuille ! —
Dumas-Alexandre_Le-page-du-duc-de-Savoie_<une espèce d' écuyer que m'-1389>_21470,"doute , dit Théligny , il n' osera pas refuser"
Dumas-Alexandre_Le-page-du-duc-de-Savoie_<une espèce d' écuyer que m'-1389>_21488,"connétable ; seulement , comme c' est un gaillard fort"
Dumas-Alexandre_Le-page-du-duc-de-Savoie_<une espèce d' écuyer que m'-1389>_21490,"seulement , comme c' est un gaillard fort habile ,"
Dumas-Alexandre_Le-page-du-duc-de-Savoie_<une espèce d' écuyer que m'-1389>_21495,"un gaillard fort habile , il y répondra à sa"
Dumas-Alexandre_Le-page-du-duc-de-Savoie_<une espèce d' écuyer que m'-1389>_21499,", il y répondra à sa guise . — À"
Dumas-Alexandre_Le-page-du-duc-de-Savoie_<une espèce d' écuyer que m'-1389>_21504,sa guise . — À sa guise ? c' est
Dumas-Alexandre_Le-page-du-duc-de-Savoie_<une espèce d' écuyer que m'-1389>_21540,ne pas s' abuser . Il répondra à sa guise
Dumas-Alexandre_Le-page-du-duc-de-Savoie_<une espèce d' écuyer que m'-1389>_21543,abuser . Il répondra à sa guise et non point
Dumas-Alexandre_Le-page-du-duc-de-Savoie_<une espèce d' écuyer que m'-1389>_21568,ne pourra pas savoir s' il dit ou non la
Dumas-Alexandre_Le-page-du-duc-de-Savoie_<une espèce d' écuyer que m'-1389>_21577,la vérité . — S' il n' a pas dit
Dumas-Alexandre_Le-page-du-duc-de-Savoie_<une espèce d' écuyer que m'-1389>_21586,"dit la vérité , je le ferai pendre ! —"
Dumas-Alexandre_Le-page-du-duc-de-Savoie_<une espèce d' écuyer que m'-1389>_21598,"c' est un moyen de le punir , mais ce"
Dumas-Alexandre_Le-page-du-duc-de-Savoie_<une espèce d' écuyer que m'-1389>_21609,est pas un moyen de l' utiliser . Croyez -
Dumas-Alexandre_Le-page-du-duc-de-Savoie_<une espèce d' écuyer que m'-1389>_21620,", monsieur le connétable , c' est un garçon fin"
Dumas-Alexandre_Le-page-du-duc-de-Savoie_<une espèce d' écuyer que m'-1389>_21622,"le connétable , c' est un garçon fin , adroit"
Dumas-Alexandre_Le-page-du-duc-de-Savoie_<une espèce d' écuyer que m'-1389>_21631,"adroit , très brave quand il veut … — Comment"
Dumas-Alexandre_Le-page-du-duc-de-Savoie_<une espèce d' écuyer que m'-1389>_21638,"… — Comment , quand il veut ? Il n'"
Dumas-Alexandre_Le-page-du-duc-de-Savoie_<une espèce d' écuyer que m'-1389>_21641,", quand il veut ? Il n' est donc pas"
Dumas-Alexandre_Le-page-du-duc-de-Savoie_<une espèce d' écuyer que m'-1389>_21654,interrompit le connétable . — Il est brave quand on
Dumas-Alexandre_Le-page-du-duc-de-Savoie_<une espèce d' écuyer que m'-1389>_21659,"Il est brave quand on le regarde , monseigneur ,"
Dumas-Alexandre_Le-page-du-duc-de-Savoie_<une espèce d' écuyer que m'-1389>_21668,", ou quand on ne le regarde pas et qu'"
Dumas-Alexandre_Le-page-du-duc-de-Savoie_<une espèce d' écuyer que m'-1389>_21673,le regarde pas et qu' il est de son intérêt
Dumas-Alexandre_Le-page-du-duc-de-Savoie_<une espèce d' écuyer que m'-1389>_21676,et qu' il est de son intérêt de se battre
Dumas-Alexandre_Le-page-du-duc-de-Savoie_<une espèce d' écuyer que m'-1389>_21710,fin veut les moyens . Cet homme peut nous rendre
Dumas-Alexandre_Le-page-du-duc-de-Savoie_<une espèce d' écuyer que m'-1389>_21722,; M . de Théligny le connaît ; laissez M
Dumas-Alexandre_Le-page-du-duc-de-Savoie_<une espèce d' écuyer que m'-1389>_21784,"côté ; mais , avec maître Yvonnet , elle aurait"
Dumas-Alexandre_Le-page-du-duc-de-Savoie_<une espèce d' écuyer que m'-1389>_21792,"elle aurait pour résultat de le faire passer , à"
Dumas-Alexandre_Le-page-du-duc-de-Savoie_<une espèce d' écuyer que m'-1389>_21808,"de l' ennemi , auquel il rendrait contre nous tous"
Dumas-Alexandre_Le-page-du-duc-de-Savoie_<une espèce d' écuyer que m'-1389>_21816,nous tous les services qu' il peut nous rendre contre
Dumas-Alexandre_Le-page-du-duc-de-Savoie_<une espèce d' écuyer que m'-1389>_21845,"mais alors , il faut le pendre tout de suite"
Dumas-Alexandre_Le-page-du-duc-de-Savoie_<une espèce d' écuyer que m'-1389>_21851,pendre tout de suite ! C' est donc un maroufle
Dumas-Alexandre_Le-page-du-duc-de-Savoie_<une espèce d' écuyer que m'-1389>_21857,est donc un maroufle ? c' est donc un bandit
Dumas-Alexandre_Le-page-du-duc-de-Savoie_<une espèce d' écuyer que m'-1389>_21863,est donc un bandit ? c' est donc un traître
Dumas-Alexandre_Le-page-du-duc-de-Savoie_<une espèce d' écuyer que m'-1389>_21870,"donc un traître , que cet écuyer , monsieur de"
Dumas-Alexandre_Le-page-du-duc-de-Savoie_<une espèce d' écuyer que m'-1389>_21878,monsieur de Théligny ? — C' est un aventurier tout
Dumas-Alexandre_Le-page-du-duc-de-Savoie_<une espèce d' écuyer que m'-1389>_21946,"demande , quelque chose qu' il dise ou fasse ,"
Dumas-Alexandre_Le-page-du-duc-de-Savoie_<une espèce d' écuyer que m'-1389>_21952,"dise ou fasse , à l' emmener sain et sauf"
Dumas-Alexandre_Le-page-du-duc-de-Savoie_<une espèce d' écuyer que m'-1389>_21959,sain et sauf comme je l' ai amené . —
Dumas-Alexandre_Le-page-du-duc-de-Savoie_<une espèce d' écuyer que m'-1389>_21993,", je me contenterai de lui faire un signe et"
Dumas-Alexandre_Le-page-du-duc-de-Savoie_<une espèce d' écuyer que m'-1389>_21998,lui faire un signe et il montera . — Faites
Dumas-Alexandre_Le-page-du-duc-de-Savoie_<une espèce d' écuyer que m'-1389>_22031,". Cinq minutes après , maître Yvonnet parut sur le"
Dumas-Alexandre_Le-page-du-duc-de-Savoie_<une espèce d' écuyer que m'-1389>_22042,de la porte vêtu de sa même cuirasse de buffle
Dumas-Alexandre_Le-page-du-duc-de-Savoie_<une espèce d' écuyer que m'-1389>_22049,"cuirasse de buffle , de son même justaucorps de velours"
Dumas-Alexandre_Le-page-du-duc-de-Savoie_<une espèce d' écuyer que m'-1389>_22057,"de velours marron , de ses mêmes bottes de peau"
Dumas-Alexandre_Le-page-du-duc-de-Savoie_<une espèce d' écuyer que m'-1389>_22066,"peau , sous lesquels nous l' avons présenté au lecteur"
Dumas-Alexandre_Le-page-du-duc-de-Savoie_<une espèce d' écuyer que m'-1389>_22072,avons présenté au lecteur . Il tenait à la main
Dumas-Alexandre_Le-page-du-duc-de-Savoie_<une espèce d' écuyer que m'-1389>_22108,été dorée autrefois pendait à son cou et se jouait
Dumas-Alexandre_Le-page-du-duc-de-Savoie_<une espèce d' écuyer que m'-1389>_22115,et se jouait galamment sur sa poitrine . Le jeune
Dumas-Alexandre_Le-page-du-duc-de-Savoie_<une espèce d' écuyer que m'-1389>_22134,"œil pour juger à qui il avait affaire , et"
Dumas-Alexandre_Le-page-du-duc-de-Savoie_<une espèce d' écuyer que m'-1389>_22142,", et sans doute reconnut - il ou le roi"
Dumas-Alexandre_Le-page-du-duc-de-Savoie_<une espèce d' écuyer que m'-1389>_22161,"même tous deux , car il se tint respectueusement près"
Dumas-Alexandre_Le-page-du-duc-de-Savoie_<une espèce d' écuyer que m'-1389>_22173,"porte . — Avancez , Yvonnet ; avancez , mon"
Dumas-Alexandre_Le-page-du-duc-de-Savoie_<une espèce d' écuyer que m'-1389>_22177,", Yvonnet ; avancez , mon ami , dit le"
Dumas-Alexandre_Le-page-du-duc-de-Savoie_<une espèce d' écuyer que m'-1389>_22181,", mon ami , dit le lieutenant , et sachez"
Dumas-Alexandre_Le-page-du-duc-de-Savoie_<une espèce d' écuyer que m'-1389>_22185,"dit le lieutenant , et sachez que vous êtes en"
Dumas-Alexandre_Le-page-du-duc-de-Savoie_<une espèce d' écuyer que m'-1389>_22187,"lieutenant , et sachez que vous êtes en présence de"
Dumas-Alexandre_Le-page-du-duc-de-Savoie_<une espèce d' écuyer que m'-1389>_22209,", sur l' éloge que je leur ai fait de"
