,text_surronding
Dumas-Alexandre_Othon-l-Archer_<Le chevalier-1526>_29588,ne jamais demander . « Le chevalier vit cette mélancolie
Dumas-Alexandre_Othon-l-Archer_<Le chevalier-1526>_29596,cette mélancolie croissante et en devina la cause . «
Dumas-Alexandre_Othon-l-Archer_<Le chevalier-1526>_29614,"de Béatrix si malheureuse , il fut sur le point"
Dumas-Alexandre_Othon-l-Archer_<Le chevalier-1526>_29628,", mais à chaque fois il fut retenu par l'"
Dumas-Alexandre_Othon-l-Archer_<Le chevalier-1526>_29657,"davantage , elle vint trouver le chevalier , et ,"
Dumas-Alexandre_Othon-l-Archer_<Le chevalier-1526>_29664,", et , tombant à ses genoux , elle le"
Dumas-Alexandre_Othon-l-Archer_<Le chevalier-1526>_29668,"à ses genoux , elle le supplia , au nom"
Dumas-Alexandre_Othon-l-Archer_<Le chevalier-1526>_29681,", de lui dire qui il était , d' où"
Dumas-Alexandre_Othon-l-Archer_<Le chevalier-1526>_29686,"il était , d' où il venait et qui l'"
Dumas-Alexandre_Othon-l-Archer_<Le chevalier-1526>_29690,où il venait et qui l' avait envoyé . «
Dumas-Alexandre_Othon-l-Archer_<Le chevalier-1526>_29695,"l' avait envoyé . « Le chevalier pâlit , comme"
Dumas-Alexandre_Othon-l-Archer_<Le chevalier-1526>_29701,"chevalier pâlit , comme s' il était près de mourir"
Dumas-Alexandre_Othon-l-Archer_<Le chevalier-1526>_29710,"mourir , puis , abaissant ses lèvres sur le front"
Dumas-Alexandre_Othon-l-Archer_<Le chevalier-1526>_29734,"ainsi , murmura - t - il en soupirant ,"
Dumas-Alexandre_Othon-l-Archer_<Le chevalier-1526>_29741,"en soupirant , ce soir je te dirai tout ."
Dumas-Alexandre_Othon-l-Archer_<Le chevalier-1526>_29757,soir à peu près lorsque le chevalier et sa femme
Dumas-Alexandre_Othon-l-Archer_<Le chevalier-1526>_29760,près lorsque le chevalier et sa femme vinrent s' asseoir
Dumas-Alexandre_Othon-l-Archer_<Le chevalier-1526>_29776,paraissait contrainte et embarrassée ; le chevalier était triste .
Dumas-Alexandre_Othon-l-Archer_<Le chevalier-1526>_29802,"l' endroit où était apparu le chevalier , le jour"
Dumas-Alexandre_Othon-l-Archer_<Le chevalier-1526>_29808,"chevalier , le jour de son combat avec Gérard ."
Dumas-Alexandre_Othon-l-Archer_<Le chevalier-1526>_29828,". « Béatrix tressaillit , le chevalier soupira . «"
Dumas-Alexandre_Othon-l-Archer_<Le chevalier-1526>_29851,les ramena l' un à l' autre : leurs yeux
Dumas-Alexandre_Othon-l-Archer_<Le chevalier-1526>_29861,se rencontrèrent . « Ceux du chevalier étaient humides et
Dumas-Alexandre_Othon-l-Archer_<Le chevalier-1526>_29896,"non ! mon ami , lui dit - elle ,"
Dumas-Alexandre_Othon-l-Archer_<Le chevalier-1526>_29919,"Oublie la demande que je t' ai faite , et"
Dumas-Alexandre_Othon-l-Archer_<Le chevalier-1526>_29926,"faite , et , si tu ne laisses pas de"
Dumas-Alexandre_Othon-l-Archer_<Le chevalier-1526>_29955,"Écoute , Béatrix , répondit le chevalier , toutes choses"
Dumas-Alexandre_Othon-l-Archer_<Le chevalier-1526>_29974,il a permis que tu me fisses la demande que
Dumas-Alexandre_Othon-l-Archer_<Le chevalier-1526>_29980,"fisses la demande que tu m' as faite , c'"
Dumas-Alexandre_Othon-l-Archer_<Le chevalier-1526>_29987,"faite , c' est que mon jour est venu ."
Dumas-Alexandre_Othon-l-Archer_<Le chevalier-1526>_29992,mon jour est venu . J' ai passé neuf ans
Dumas-Alexandre_Othon-l-Archer_<Le chevalier-1526>_30030,"obtenu . Remercie Dieu comme je le fais , et"
Dumas-Alexandre_Othon-l-Archer_<Le chevalier-1526>_30038,", et écoute ce que je vais te dire ."
Dumas-Alexandre_Othon-l-Archer_<Le chevalier-1526>_30062,"pas un mot , je t' en supplie . «"
Dumas-Alexandre_Othon-l-Archer_<Le chevalier-1526>_30067,t' en supplie . « Le chevalier étendit la main
Dumas-Alexandre_Othon-l-Archer_<Le chevalier-1526>_30106,"il est temps , dit - il ; écoute donc"
Dumas-Alexandre_Othon-l-Archer_<Le chevalier-1526>_30125,secret d' apprendre et que je dois t' apprendre du
Dumas-Alexandre_Othon-l-Archer_<Le chevalier-1526>_30133,apprendre du moment que tu me l' as demandé .
Dumas-Alexandre_Othon-l-Archer_<Le chevalier-1526>_30149,sa tête sur les genoux du chevalier . « Celui
Dumas-Alexandre_Othon-l-Archer_<Le chevalier-1526>_30153,genoux du chevalier . « Celui - ci la regarda
Dumas-Alexandre_Othon-l-Archer_<Le chevalier-1526>_30179,"sur les épaules :« – Je suis , lui dit"
Dumas-Alexandre_Othon-l-Archer_<Le chevalier-1526>_30184,"Je suis , lui dit - il , le compagnon"
Dumas-Alexandre_Othon-l-Archer_<Le chevalier-1526>_30208,oncle Godefroy de Bouillon . Je suis le comte Rodolphe
Dumas-Alexandre_Othon-l-Archer_<Le chevalier-1526>_30210,de Bouillon . Je suis le comte Rodolphe d' Alost
Dumas-Alexandre_Othon-l-Archer_<Le chevalier-1526>_30236,"pâlie , et fixa sur le chevalier des yeux effrayés"
Dumas-Alexandre_Othon-l-Archer_<Le chevalier-1526>_30274,". « – Oui , je sais , continua le"
Dumas-Alexandre_Othon-l-Archer_<Le chevalier-1526>_30278,", je sais , continua le chevalier ; ce que"
Dumas-Alexandre_Othon-l-Archer_<Le chevalier-1526>_30283,le chevalier ; ce que je te dis là est
Dumas-Alexandre_Othon-l-Archer_<Le chevalier-1526>_30298,"toi , Béatrix , que j' étais tombé sur la"
Dumas-Alexandre_Othon-l-Archer_<Le chevalier-1526>_30307,la terre des miracles . Le Seigneur fit pour moi
Dumas-Alexandre_Othon-l-Archer_<Le chevalier-1526>_30314,fit pour moi ce qu' il fit pour la fille
Dumas-Alexandre_Othon-l-Archer_<Le chevalier-1526>_30351,"ses genoux , ce que vous dites là n' est"
Dumas-Alexandre_Othon-l-Archer_<Le chevalier-1526>_30361,pas possible . « – Je te croyais plus de
Dumas-Alexandre_Othon-l-Archer_<Le chevalier-1526>_30371,"foi , Béatrix , répondit le chevalier . « –"
Dumas-Alexandre_Othon-l-Archer_<Le chevalier-1526>_30376,le chevalier . « – Vous êtes Rodolphe d' Alost
Dumas-Alexandre_Othon-l-Archer_<Le chevalier-1526>_30398,", tu le sais , m' avait laissé , ainsi"
Dumas-Alexandre_Othon-l-Archer_<Le chevalier-1526>_30455,"aimait comme une fille , je puis dire qu' il"
Dumas-Alexandre_Othon-l-Archer_<Le chevalier-1526>_30496,à l' autre . « J' avais vingt ans alors
Dumas-Alexandre_Othon-l-Archer_<Le chevalier-1526>_30517,« Le portrait qu' il me fit de toi enflamma
Dumas-Alexandre_Othon-l-Archer_<Le chevalier-1526>_30522,"me fit de toi enflamma mon cœur , et bientôt"
Dumas-Alexandre_Othon-l-Archer_<Le chevalier-1526>_30527,"mon cœur , et bientôt je t' aimai aussi ardemment"
Dumas-Alexandre_Othon-l-Archer_<Le chevalier-1526>_30534,aimai aussi ardemment que si je te connaissais depuis mon
Dumas-Alexandre_Othon-l-Archer_<Le chevalier-1526>_30538,si je te connaissais depuis mon enfance . « Toutes
Dumas-Alexandre_Othon-l-Archer_<Le chevalier-1526>_30554,"nous , qu' il ne m' appelait plus que son"
