,text_surronding
Dumas-Alexandre_Un-coup-de-feu-et-autres-nouvelles_<ce stupide ivrogne-89>_2109,ne demandasse point réparation à ce stupide ivrogne qui m'
Dumas-Alexandre_Un-coup-de-feu-et-autres-nouvelles_<ce stupide ivrogne-89>_2112,réparation à ce stupide ivrogne qui m' avait jeté un
Dumas-Alexandre_Un-coup-de-feu-et-autres-nouvelles_<ce stupide ivrogne-89>_2139,"de tirer le premier , sa vie était dans mes"
Dumas-Alexandre_Un-coup-de-feu-et-autres-nouvelles_<ce stupide ivrogne-89>_2181,: si j' eusse pu le punir sans risquer ma
Dumas-Alexandre_Un-coup-de-feu-et-autres-nouvelles_<ce stupide ivrogne-89>_2190,"ma vie , je ne lui eusse point pardonné ."
Dumas-Alexandre_Un-coup-de-feu-et-autres-nouvelles_<ce stupide ivrogne-89>_2209,me cassait les bras . Sylvio continua . — Oui
Dumas-Alexandre_Un-coup-de-feu-et-autres-nouvelles_<ce stupide ivrogne-89>_2219,", c' est vrai ; je n' ai pas le"
Dumas-Alexandre_Un-coup-de-feu-et-autres-nouvelles_<ce stupide ivrogne-89>_2227,pas le droit de risquer ma vie . Il y
Dumas-Alexandre_Un-coup-de-feu-et-autres-nouvelles_<ce stupide ivrogne-89>_2236,y a six ans que j' ai reçu un soufflet
Dumas-Alexandre_Un-coup-de-feu-et-autres-nouvelles_<ce stupide ivrogne-89>_2245,"soufflet , et celui qui me l' a donné est"
Dumas-Alexandre_Un-coup-de-feu-et-autres-nouvelles_<ce stupide ivrogne-89>_2266,. — Ne vous êtes - vous donc point battu
Dumas-Alexandre_Un-coup-de-feu-et-autres-nouvelles_<ce stupide ivrogne-89>_2272,vous donc point battu ? lui demandai - je .
Dumas-Alexandre_Un-coup-de-feu-et-autres-nouvelles_<ce stupide ivrogne-89>_2280,je . La situation de vos affaires vous aura sans
Dumas-Alexandre_Un-coup-de-feu-et-autres-nouvelles_<ce stupide ivrogne-89>_2282,La situation de vos affaires vous aura sans doute éloignés
Dumas-Alexandre_Un-coup-de-feu-et-autres-nouvelles_<ce stupide ivrogne-89>_2290,doute éloignés l' un de l' autre ? — Je
Dumas-Alexandre_Un-coup-de-feu-et-autres-nouvelles_<ce stupide ivrogne-89>_2294,"de l' autre ? — Je me suis battu ,"
Dumas-Alexandre_Un-coup-de-feu-et-autres-nouvelles_<ce stupide ivrogne-89>_2300,"me suis battu , répondit Sylvio , et voici la"
Dumas-Alexandre_Un-coup-de-feu-et-autres-nouvelles_<ce stupide ivrogne-89>_2310,"preuve de notre duel . Il se leva , et"
Dumas-Alexandre_Un-coup-de-feu-et-autres-nouvelles_<ce stupide ivrogne-89>_2315,"Il se leva , et tira d' un carton à"
Dumas-Alexandre_Un-coup-de-feu-et-autres-nouvelles_<ce stupide ivrogne-89>_2326,un bonnet de police ; il le mit sur sa
Dumas-Alexandre_Un-coup-de-feu-et-autres-nouvelles_<ce stupide ivrogne-89>_2330,; il le mit sur sa tête : il était
Dumas-Alexandre_Un-coup-de-feu-et-autres-nouvelles_<ce stupide ivrogne-89>_2350,"— Vous savez , reprit Sylvio , que j' ai"
