,text_surronding
Echenoz-Jean_Caprice-de-la-reine_<je-789>_16062,à travers la vitre duquel je peux distinguer son regard
Echenoz-Jean_Caprice-de-la-reine_<je-789>_16073,"expression , l' observant depuis mon fauteuil , dans mon"
Echenoz-Jean_Caprice-de-la-reine_<je-789>_16077,"depuis mon fauteuil , dans mon bureau situé à quelques"
Echenoz-Jean_Caprice-de-la-reine_<je-789>_16108,dépourvue de tain . Puis je la vois se débarrasser
Echenoz-Jean_Caprice-de-la-reine_<je-789>_16180,"plus près , ce qui me fait vivement plaisir à"
Echenoz-Jean_Caprice-de-la-reine_<je-789>_16187,vivement plaisir à voir . Je la vois encore fouiller
Echenoz-Jean_Caprice-de-la-reine_<je-789>_16239,"un petit miroir , et je la regarde se farder"
Echenoz-Jean_Caprice-de-la-reine_<je-789>_16265,sous l' œil indifférent de mes employés . J' allume
Echenoz-Jean_Caprice-de-la-reine_<je-789>_16268,indifférent de mes employés . J' allume une cigarette et
Echenoz-Jean_Caprice-de-la-reine_<je-789>_16273,J' allume une cigarette et prends le temps de la
Echenoz-Jean_Caprice-de-la-reine_<je-789>_16301,"on l' a compris , c' est moi le patron"
Echenoz-Jean_Caprice-de-la-reine_<je-789>_16303,"a compris , c' est moi le patron – en"
Echenoz-Jean_Caprice-de-la-reine_<je-789>_16304,"compris , c' est moi le patron – en profitant"
Echenoz-Jean_Caprice-de-la-reine_<je-789>_16314,de ce spectacle avant de me lever puis de sortir
Echenoz-Jean_Caprice-de-la-reine_<je-789>_16325,bureau pour la rejoindre . Je me dirige vers Céleste
Echenoz-Jean_Caprice-de-la-reine_<je-789>_16332,dirige vers Céleste qui ne m' a pas aperçu tout
Echenoz-Jean_Caprice-de-la-reine_<je-789>_16344,"mais sourit dès qu' elle me reconnaît , je la"
Echenoz-Jean_Caprice-de-la-reine_<je-789>_16347,"qu' elle me reconnaît , je la guide vers mon"
Echenoz-Jean_Caprice-de-la-reine_<je-789>_16351,", je la guide vers mon bureau et c' est"
Echenoz-Jean_Caprice-de-la-reine_<je-789>_16364,"alors , enfin seuls , je lui ouvre les bras"
Echenoz-Jean_Caprice-de-la-reine_<je-789>_16371,"ouvre les bras , la serre contre moi , promenant"
Echenoz-Jean_Caprice-de-la-reine_<je-789>_16373,"bras , la serre contre moi , promenant mes lèvres"
Echenoz-Jean_Caprice-de-la-reine_<je-789>_16376,"serre contre moi , promenant mes lèvres sur le Néoprène"
Echenoz-Jean_Caprice-de-la-reine_<je-789>_16388,autant plus de plaisir que j' aime beaucoup le goût
Echenoz-Jean_Caprice-de-la-reine_<je-789>_16397,"goût du sel , on me le reproche d' ailleurs"
Echenoz-Jean_Caprice-de-la-reine_<je-789>_16404,"reproche d' ailleurs souvent , je sale toujours à l'"
Echenoz-Jean_Caprice-de-la-reine_<je-789>_16410,sale toujours à l' excès mes aliments . Trois sandwiches
Echenoz-Jean_Caprice-de-la-reine_<je-789>_16433,"très tard la veille , je me suis aussi levé"
Echenoz-Jean_Caprice-de-la-reine_<je-789>_16441,aussi levé très tard et j' ai décidé d' aller
Echenoz-Jean_Caprice-de-la-reine_<je-789>_16455,"Bourget . Cette résolution , je la méditais depuis un"
Echenoz-Jean_Caprice-de-la-reine_<je-789>_16471,"la gare du Nord , j' ai failli être détourné"
Echenoz-Jean_Caprice-de-la-reine_<je-789>_16477,"ai failli être détourné de mon but , notamment en"
Echenoz-Jean_Caprice-de-la-reine_<je-789>_16506,"rue de Dunkerque , mais je n' ai pas cédé"
Echenoz-Jean_Caprice-de-la-reine_<je-789>_16512,n' ai pas cédé . J' ai tenu bon .
Echenoz-Jean_Caprice-de-la-reine_<je-789>_16522,"Rien ne devait , malgré ma faim , s' opposer"
Echenoz-Jean_Caprice-de-la-reine_<je-789>_16528,"faim , s' opposer à mon projet . Gare du"
Echenoz-Jean_Caprice-de-la-reine_<je-789>_16535,". Gare du Nord , je me suis égaré un"
Echenoz-Jean_Caprice-de-la-reine_<je-789>_16553,il n' est pas dans mes habitudes de me rendre
Echenoz-Jean_Caprice-de-la-reine_<je-789>_16569,vérité la première fois que je tentais de m' y
Echenoz-Jean_Caprice-de-la-reine_<je-789>_16584,trop longues à expliquer . Je n' y étais donc
Echenoz-Jean_Caprice-de-la-reine_<je-789>_16592,étais donc jamais allé . Je n' y connaissais personne
Echenoz-Jean_Caprice-de-la-reine_<je-789>_16598,n' y connaissais personne . Je n' avais rien à
Echenoz-Jean_Caprice-de-la-reine_<je-789>_16610,. Quelques escalators en panne m' ont contrarié mais j'
Echenoz-Jean_Caprice-de-la-reine_<je-789>_16614,panne m' ont contrarié mais j' ai fini par repérer
Echenoz-Jean_Caprice-de-la-reine_<je-789>_16632,distributeur automatique de billets . J' ai retiré de cette
Echenoz-Jean_Caprice-de-la-reine_<je-789>_16644,ticket aller - retour ( je n' avais pas non
Echenoz-Jean_Caprice-de-la-reine_<je-789>_16669,par une carte senior que je ne me suis pas
Echenoz-Jean_Caprice-de-la-reine_<je-789>_16679,privé de faire valoir . J' ai ressenti de la
Echenoz-Jean_Caprice-de-la-reine_<je-789>_16700,"si , par maladresse , j' ai fait tomber par"
Echenoz-Jean_Caprice-de-la-reine_<je-789>_16713,"de monnaie , ce qui m' a contraint à m'"
Echenoz-Jean_Caprice-de-la-reine_<je-789>_16725,"les récupérer , ce que je n' aime pas comme"
Echenoz-Jean_Caprice-de-la-reine_<je-789>_16733,"pas comme c' est , j' imagine , le cas"
Echenoz-Jean_Caprice-de-la-reine_<je-789>_16748,de carte senior . Puis je suis monté dans le
Echenoz-Jean_Caprice-de-la-reine_<je-789>_16770,était assis en face de moi . Par la fenêtre
Echenoz-Jean_Caprice-de-la-reine_<je-789>_16775,moi . Par la fenêtre j' ai regardé l' infinie
Echenoz-Jean_Caprice-de-la-reine_<je-789>_16802,murs longeant les voies . J' ai retiré mon carnet
Echenoz-Jean_Caprice-de-la-reine_<je-789>_16805,voies . J' ai retiré mon carnet de ma poche
Echenoz-Jean_Caprice-de-la-reine_<je-789>_16808,ai retiré mon carnet de ma poche ( un petit
Echenoz-Jean_Caprice-de-la-reine_<je-789>_16837,1 . 10 ) et j' ai envisagé de les
Echenoz-Jean_Caprice-de-la-reine_<je-789>_16850,"y en avait trop , je ne parvenais pas à"
Echenoz-Jean_Caprice-de-la-reine_<je-789>_16869,dû faire ça bien avant moi . Comme j' y
Echenoz-Jean_Caprice-de-la-reine_<je-789>_16872,"bien avant moi . Comme j' y renonçais , le"
Echenoz-Jean_Caprice-de-la-reine_<je-789>_16883,homme assis en face de moi m' a demandé où
Echenoz-Jean_Caprice-de-la-reine_<je-789>_16884,assis en face de moi m' a demandé où j'
Echenoz-Jean_Caprice-de-la-reine_<je-789>_16888,moi m' a demandé où j' allais . Au Bourget
Echenoz-Jean_Caprice-de-la-reine_<je-789>_16896,"Au Bourget , lui ai - je répondu . Il"
Echenoz-Jean_Caprice-de-la-reine_<je-789>_16907,"pris un air affolé , m' a représenté que j'"
Echenoz-Jean_Caprice-de-la-reine_<je-789>_16911,", m' a représenté que j' avais dû me tromper"
Echenoz-Jean_Caprice-de-la-reine_<je-789>_16933,terminus de Mitry . Comme je lui demandais si c'
