,text_surronding
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_23752,est convoqué d' urgence chez John Pierpont Morgan . Bon
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_23760,". Bon , lui dit le financier , alors ça"
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_23810,", laissez - moi tout vous expliquer . Il lui"
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_23919,"investisseurs . Mais bon , l' immense John Pierpont Morgan"
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_23949,sûr qu' on sait : Morgan n' y sera pas
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_23967,"le métier de philanthrope , le financier ne montre aucun"
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_23999,Sénégalais fauchés . Assurant qu' il garde à Gregor toute
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24004,il garde à Gregor toute sa sympathie et son soutien
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24007,"Gregor toute sa sympathie et son soutien moral , d'"
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24016,d' un trait de plume il coupe tout crédit .
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24040,". Encore raté . Comprenez - moi bien , fait"
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24046,"moi bien , fait valoir Morgan , ça n' allait"
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24055,"allait pas du tout , votre système . Si tout"
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24077,"qu' est - ce que je deviens , moi ?"
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24080,"ce que je deviens , moi ? Où est -"
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24087,Où est - ce que je vais installer le compteur
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24161,"comment , même si comme Gregor on consulte sa montre"
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24164,si comme Gregor on consulte sa montre tout le temps
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24189,pour tout dire fausse de celui - ci . À
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24213,"échecs – les coups qu' il croit , qu' il"
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24217,"qu' il croit , qu' il sait ou qu' il"
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24221,qu' il sait ou qu' il ignore qu' on lui
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24225,"qu' il ignore qu' on lui a portés – ,"
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24234,", peut - être pourrait - il s' inquiéter sur"
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24239,"- il s' inquiéter sur lui - même , reconsidérer"
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24244,"lui - même , reconsidérer ses méthodes et corriger son"
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24248,reconsidérer ses méthodes et corriger son rapport avec le monde
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24254,rapport avec le monde . Il aurait des raisons pour
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24263,"pour cela , pour autant il n' a pas l'"
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24278,". Arrogant , sûr de lui , Gregor n' a"
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24280,", sûr de lui , Gregor n' a rien changé"
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24286,"n' a rien changé de ses habitudes , continue de"
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24289,"changé de ses habitudes , continue de sortir toutes les"
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24296,"sortir toutes les nuits , s' habille plus que jamais"
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24309,des magazines de mode et conserve sa suite au Waldorf
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24310,magazines de mode et conserve sa suite au Waldorf .
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24322,"d' hôtel aux grooms , il s' y déleste de"
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24331,de pourboires aussi somptueux que sa considération de lui -
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24334,"somptueux que sa considération de lui - même , achetant"
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24349,espaces publicitaires le long desquels il se justifie point par
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24383,"vérification expérimentale , accablant de son mépris ses concurrents et"
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24385,", accablant de son mépris ses concurrents et ses contemporains"
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24388,"son mépris ses concurrents et ses contemporains en général ,"
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24394,"contemporains en général , bref il devient de plus en"
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24409,"cela coûte cher alors qu' il est maintenant fauché ,"
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24422,immensément au - dessus de ses moyens et ne menant
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24440,"Soucieux de ne pas trop le laisser tomber , Morgan"
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24484,"d' en trouver plus , Gregor se remet à organiser"
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24495,laboratoire quelques démonstrations spectaculaires dont il a le secret auprès
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24503,secret auprès de ce qu' il peut encore trouver sur
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24540,", trop ignorant pour voler ses idées : plus aucun"
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24567,"jour à midi pile , il arrive au siège de"
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24572,il arrive au siège de sa société . Ses deux
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24575,siège de sa société . Ses deux assistantes l' accueillent
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24578,société . Ses deux assistantes l' accueillent dans l' entrée
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24584,accueillent dans l' entrée pour le débarrasser de son chapeau
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24587,"entrée pour le débarrasser de son chapeau , de ses"
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24591,"de son chapeau , de ses gants , de sa"
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24595,"de ses gants , de sa canne avant qu' il"
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24599,de sa canne avant qu' il gagne son bureau où
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24601,canne avant qu' il gagne son bureau où l' on
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24618,"et tirer les rideaux , Gregor ne pouvant se concentrer"
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24646,"lequel , solitairement vautré sur son canapé tendu de mohair"
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24653,"tendu de mohair noir , il considère le ciel et"
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24669,". Or , outre qu' il est de moins en"
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24678,"en moins aimable , que son caractère tend à s'"
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24688,"aigrir , on dirait qu' il perd un peu de"
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24693,il perd un peu de son équilibre aussi car des
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24705,se manifestent . Même s' il a toujours parlé seul
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24717,"sans cesse au cours de ses travaux , les assistantes"
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24724,", les assistantes inquiètes peuvent l' entendre à travers la"
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24744,ces moments d' orage . Il semble alors s' adresser
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24808,"l' humeur du ciel , Gregor se met bientôt à"
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24839,"point immodérées et fréquentes que ses amis , ou le"
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24848,"le peu qui commence à lui en rester , tentent"
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24854,"en rester , tentent de le protéger contre ses propres"
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24857,tentent de le protéger contre ses propres déclarations . Mégalomane
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24869,", c' est alors qu' il invente une nouvelle turbine"
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24920,a tout pour faire revenir son inventeur au premier rang
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24928,"premier rang , conférer à Gregor une splendeur nouvelle ."
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24933,"Gregor une splendeur nouvelle . Lui , fidèle à son"
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24937,". Lui , fidèle à son sens de la nuance"
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_24954,aucune limite aux applications de sa turbine qui actionnera désormais
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_25052,"nouveaux espoirs , on voit Gregor infatué comme jamais au"
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_25062,vu des premières applications de sa turbine qui produit d'
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_25094,", du génie scientifique de Gregor : s' étant trompé"
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_25100,": s' étant trompé dans ses calculs prévisionnels , il"
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_25105,"ses calculs prévisionnels , il lui faut bien convenir que"
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_25124,prévu . Chose à laquelle il n' avait pas pensé
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_25210,"principal bailleur de fonds de Gregor , il laisse la"
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_25250,"fêtes , et pour les lui souhaiter heureuses , Gregor"
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_25254,"les lui souhaiter heureuses , Gregor adresse donc un courrier"
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_25274,", lui indique - t - il quand même à"
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_25282,"même à la fin de sa lettre , et pour"
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_25289,", et pour tout dire je suis désespéré . J'"
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_25293,dire je suis désespéré . J' ai terriblement besoin d'
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_25300,"terriblement besoin d' argent , je ne peux en trouver"
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_25314,"êtes le seul qui puisse me secourir et , tout"
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_25324,"en implorant votre aide , je vous souhaite un joyeux"
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_25332,un joyeux Noël . Puis il se console en allant
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_25363,avant de construire près de lui la grande bibliothèque publique
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_25369,"la grande bibliothèque publique , il s' y rend chaque"
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_25382,"Réduisant de plus en plus sa vie mondaine , il"
Echenoz-Jean_Des-eclairs_<John Pierpont Morgan-987>_25386,"plus sa vie mondaine , il semble l' avoir transférée"
