,text_surronding
Erckmann-Chatrian_Histoire-d-un-paysan_<Je-575>_8138,"dans tous le pays . Je voyais , d' après"
Erckmann-Chatrian_Histoire-d-un-paysan_<Je-575>_8148,"ce que cette pauvre femme me racontait , que Danton"
Erckmann-Chatrian_Histoire-d-un-paysan_<Je-575>_8244,indignations et ses menaces . J' avais lu dans les
Erckmann-Chatrian_Histoire-d-un-paysan_<Je-575>_8262,"mission en Belgique , et je demandai naturellement à cette"
Erckmann-Chatrian_Histoire-d-un-paysan_<Je-575>_8275,Danton était riche . Elle me répondit que la famille
Erckmann-Chatrian_Histoire-d-un-paysan_<Je-575>_8308,. C' est ce que je savais d' avance ;
Erckmann-Chatrian_Histoire-d-un-paysan_<Je-575>_8344,. Voilà tout ce qui me revient de ces choses
Erckmann-Chatrian_Histoire-d-un-paysan_<Je-575>_8352,ces choses ; et depuis j' ai toujours été convaincu
Erckmann-Chatrian_Histoire-d-un-paysan_<Je-575>_8428,auraient affichées partout . Et je suis sûr aussi que
Erckmann-Chatrian_Histoire-d-un-paysan_<Je-575>_8543,vertueux avaient fait . Enfin j' ai dit ce que
Erckmann-Chatrian_Histoire-d-un-paysan_<Je-575>_8548,j' ai dit ce que je pense sur tout cela
Erckmann-Chatrian_Histoire-d-un-paysan_<Je-575>_8559,Les honnêtes gens chez qui j' étais me retinrent jusqu'
Erckmann-Chatrian_Histoire-d-un-paysan_<Je-575>_8561,gens chez qui j' étais me retinrent jusqu' au lendemain
Erckmann-Chatrian_Histoire-d-un-paysan_<Je-575>_8569,"au lendemain à midi : je déjeunai , je dînai"
Erckmann-Chatrian_Histoire-d-un-paysan_<Je-575>_8572,"midi : je déjeunai , je dînai chez eux ,"
Erckmann-Chatrian_Histoire-d-un-paysan_<Je-575>_8585,citoyen attela sa charrette et me conduisit lui - même
Erckmann-Chatrian_Histoire-d-un-paysan_<Je-575>_8599,le - Français . Jamais je n' ai trouvé d'
Erckmann-Chatrian_Histoire-d-un-paysan_<Je-575>_8608,d' homme pareil ; aussi je m' en souviens et
Erckmann-Chatrian_Histoire-d-un-paysan_<Je-575>_8613,je m' en souviens et je dis à mes enfants
Erckmann-Chatrian_Histoire-d-un-paysan_<Je-575>_8616,souviens et je dis à mes enfants de s' en
Erckmann-Chatrian_Histoire-d-un-paysan_<Je-575>_8641,"vrai patriote , et qui me rendit courage , en"
Erckmann-Chatrian_Histoire-d-un-paysan_<Je-575>_8646,"me rendit courage , en m' assurant que ma fin"
Erckmann-Chatrian_Histoire-d-un-paysan_<Je-575>_8649,", en m' assurant que ma fin n' arriverait pas"
Erckmann-Chatrian_Histoire-d-un-paysan_<Je-575>_8657,arriverait pas encore ; que j' en reviendrais pour sûr
Erckmann-Chatrian_Histoire-d-un-paysan_<Je-575>_8664,reviendrais pour sûr . Il me dit cela d' un
Erckmann-Chatrian_Histoire-d-un-paysan_<Je-575>_8676,"simple et naturel , que je repris confiance . Du"
Erckmann-Chatrian_Histoire-d-un-paysan_<Je-575>_8726,poche . Après cela il m' embrassa comme une vieille
Erckmann-Chatrian_Histoire-d-un-paysan_<Je-575>_8733,comme une vieille connaissance et me souhaita un bon voyage
Erckmann-Chatrian_Histoire-d-un-paysan_<Je-575>_8747,"de là plus courageux , je suivis le conseil du"
Erckmann-Chatrian_Histoire-d-un-paysan_<Je-575>_8775,"cher , en calculant sur ma bourse , bien entendu"
Erckmann-Chatrian_Histoire-d-un-paysan_<Je-575>_8784,"entendu , parce qu' il me restait encore huit ou"
Erckmann-Chatrian_Histoire-d-un-paysan_<Je-575>_8798,", dans l' état où je me trouvais . L'"
Erckmann-Chatrian_Histoire-d-un-paysan_<Je-575>_8807,L' idée de la mort m' avait quitté ; je
Erckmann-Chatrian_Histoire-d-un-paysan_<Je-575>_8811,"mort m' avait quitté ; je songeais à Marguerite ,"
Erckmann-Chatrian_Histoire-d-un-paysan_<Je-575>_8817,"songeais à Marguerite , à mon père , à maître"
Erckmann-Chatrian_Histoire-d-un-paysan_<Je-575>_8825,"à maître Jean , et je me disais : «"
Erckmann-Chatrian_Histoire-d-un-paysan_<Je-575>_8835,"Courage , Michel , ils t' attendent ! » Je"
Erckmann-Chatrian_Histoire-d-un-paysan_<Je-575>_8839,"ils t' attendent ! » Je revoyais le pays ,"
Erckmann-Chatrian_Histoire-d-un-paysan_<Je-575>_8844,"Je revoyais le pays , j' entendais les cris des"
Erckmann-Chatrian_Histoire-d-un-paysan_<Je-575>_8865,"… » Au lieu de me laisser abattre , de"
Erckmann-Chatrian_Histoire-d-un-paysan_<Je-575>_8870,"me laisser abattre , de m' appuyer sur mon bâton"
Erckmann-Chatrian_Histoire-d-un-paysan_<Je-575>_8873,", de m' appuyer sur mon bâton , le dos"
Erckmann-Chatrian_Histoire-d-un-paysan_<Je-575>_8880,", le dos courbé , je me redressais , j'"
Erckmann-Chatrian_Histoire-d-un-paysan_<Je-575>_8884,", je me redressais , j' allongeais le pas ."
