,text_surronding
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_56929,"La physionomie de cette dame m' avait frappé , son"
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_56946,"haut , son regard pensif me revenaient comme un lointain"
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_56956,souvenir ; cette physionomie ne m' était pas inconnue et
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_56961,m' était pas inconnue et je cherchais à me la
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57007,a perdues de vue . Je pensais donc n' avoir
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57022,"dame , lorsqu' un matin je reçus la visite de"
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57039,"Mon cher monsieur Chapuis , me dit - il ,"
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57046,"- il , je viens vous demander un service ."
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57053,un service . . . Vous savez que Mme de
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57136,"quoique bien vieux aussi , je la chanterai pour lui"
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57161,"de la semaine prochaine , je viens donc vous prier"
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57164,"prochaine , je viens donc vous prier de vouloir bien"
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57181,Loïs chante le Requiem avec moi . — Monsieur le
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57184,"Requiem avec moi . — Monsieur le curé , lui"
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57190,"le curé , lui répondis - je , je suis"
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57193,"lui répondis - je , je suis complètement à vos"
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57197,", je suis complètement à vos ordres , et quant"
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57211,sera trop heureuse de pouvoir vous être agréable . —
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57223,"c' est entendu , fit - il . — Oui"
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57229,"il . — Oui , monsieur le curé . Seulement"
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57240,Requiem chanterons - nous ? J' en ai là plusieurs
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57246,"en ai là plusieurs dans mes cartons , de Vogler"
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57262,". — Ah ! dit - il , Mme de"
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57279,"de Jomelli , dont elle m' a remis la partition"
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57285,a remis la partition pour vous ; la voici ;
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57324,", de Naples . » Je parcourus rapidement la partition"
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57332,"la partition , qui ne me parut offrir aucune grande"
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57340,"aucune grande difficulté , et je dis à M ."
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57343,", et je dis à M . le curé que"
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57357,à première vue . « Je n' en doute pas
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57364,"en doute pas , dit - il ; cependant ,"
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57384,mieux pour la satisfaire ; je crois qu' un peu
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57406,doute . . . aussi je vais m' en occuper
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57417,"» Là - dessus , M . le curé m'"
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57421,", M . le curé m' ayant serré la main"
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57427,"ayant serré la main , je le reconduisis jusqu' au"
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57428,"serré la main , je le reconduisis jusqu' au bas"
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57440,"escalier , comme d' habitude J' étudiai quelques instants la"
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57449,la musique de Jomelli sur mon piano et le soir
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57459,"du même jour , après mes leçons en ville ,"
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57464,"mes leçons en ville , j' allai prévenir Loïs que"
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57484,de Clairefontaine . Ce que m' avait dit M .
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57487,Ce que m' avait dit M . le curé Miguel
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57503,"était excellente musicienne , — m' intriguait , et ,"
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57514,"en marchant , l' idée me revenait que cette dame"
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57519,me revenait que cette dame m' était connue ; je
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57523,"dame m' était connue ; je repassais mes souvenirs ,"
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57525,"était connue ; je repassais mes souvenirs , remontant jusqu'"
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57531,"souvenirs , remontant jusqu' à ma vie de concerts ,"
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57547,tout à coup un éclair me traversa l' esprit et
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57552,me traversa l' esprit et je m' écriai : «
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57564,"est la Mariani , que j' ai vue au Théâtre"
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57609,est ici ! » Et je me rappelais qu' elle
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57670,"arrivée de cette grande artiste m' avait exalté , et"
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57679,"et , tout en poursuivant ma route , je me"
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57682,"en poursuivant ma route , je me souvenais qu' autrefois"
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57699,"un moment d' expansion , m' avait dit qu' il"
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57725,don Pedro de Portugal . Je compris que cet excellent
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57804,voir elle - même . Je compris tout ; j'
