,text_surronding
Ernaux-Annie_La-femme-gelee_<m'-1369>_25061,de Brassens . Bientôt elles m' attirent dans leur sphère
Ernaux-Annie_La-femme-gelee_<m'-1369>_25080,celle de Jean Marais dans mon classeur de maths me
Ernaux-Annie_La-femme-gelee_<m'-1369>_25084,"dans mon classeur de maths me paraît une évolution ,"
Ernaux-Annie_La-femme-gelee_<m'-1369>_25089,"me paraît une évolution , je répudie Mariano pour les"
Ernaux-Annie_La-femme-gelee_<m'-1369>_25096,"Mariano pour les Platters , je ne vois pas que"
Ernaux-Annie_La-femme-gelee_<m'-1369>_25151,solide de nos conversations . Je me croyais une fille
Ernaux-Annie_La-femme-gelee_<m'-1369>_25175,", pas si bonne , j' en sortirai cabossée ,"
Ernaux-Annie_La-femme-gelee_<m'-1369>_25184,", humiliation et révolte . Je suis allée vers les"
Ernaux-Annie_La-femme-gelee_<m'-1369>_25201,Avec peur et curiosité . Je ne les connaissais pas
Ernaux-Annie_La-femme-gelee_<m'-1369>_25207,ne les connaissais pas . Je les avais laissés en
Ernaux-Annie_La-femme-gelee_<m'-1369>_25214,avais laissés en train de me jeter des marrons au
Ernaux-Annie_La-femme-gelee_<m'-1369>_25253,autre côté du trottoir et je répondais bande d' idiots
Ernaux-Annie_La-femme-gelee_<m'-1369>_25307,devaient avoir changé autant que moi . J' allais vers
Ernaux-Annie_La-femme-gelee_<m'-1369>_25309,changé autant que moi . J' allais vers eux avec
Ernaux-Annie_La-femme-gelee_<m'-1369>_25314,"J' allais vers eux avec mon petit bagage , les"
Ernaux-Annie_La-femme-gelee_<m'-1369>_25349,"overdose de rêves , Bovary ma grande sœur . Et"
Ernaux-Annie_La-femme-gelee_<m'-1369>_25369,désir d' un plaisir dont j' avais trouvé seule le
Ernaux-Annie_La-femme-gelee_<m'-1369>_25383,qu' elle était mystère pour moi l' autre moitié du
Ernaux-Annie_La-femme-gelee_<m'-1369>_25391,"moitié du monde , mais j' avais la foi ,"
Ernaux-Annie_La-femme-gelee_<m'-1369>_25409,"inégalité entre les garçons et moi , de différence autre"
Ernaux-Annie_La-femme-gelee_<m'-1369>_25417,"différence autre que physique , je ne la connaissais pas"
Ernaux-Annie_La-femme-gelee_<m'-1369>_25452,"vêtue solide mais guère suivez - moi jeune homme ,"
Ernaux-Annie_La-femme-gelee_<m'-1369>_25492,arranger d' instinct » . Moi pas . De désespoir
Ernaux-Annie_La-femme-gelee_<m'-1369>_25500,"De désespoir , un jour je cracherai sur ma tête"
Ernaux-Annie_La-femme-gelee_<m'-1369>_25503,un jour je cracherai sur ma tête dans la glace
Ernaux-Annie_La-femme-gelee_<m'-1369>_25529,"craindre d' être accostée , je mettrai longtemps à comprendre"
Ernaux-Annie_La-femme-gelee_<m'-1369>_25566,"suiveurs du dimanche , mais moi non plus je n'"
Ernaux-Annie_La-femme-gelee_<m'-1369>_25569,", mais moi non plus je n' ai pas de"
Ernaux-Annie_La-femme-gelee_<m'-1369>_25611,"Le plus naturellement du monde je les ignore , avec"
Ernaux-Annie_La-femme-gelee_<m'-1369>_25620,avec autant d' injustice que m' ignorent des types qui
Ernaux-Annie_La-femme-gelee_<m'-1369>_25625,m' ignorent des types qui j' en suis sûre me
Ernaux-Annie_La-femme-gelee_<m'-1369>_25629,qui j' en suis sûre me plairaient . Mais où
Ernaux-Annie_La-femme-gelee_<m'-1369>_25660,"Les surboums , mais qui m' inviterait , seules les"
Ernaux-Annie_La-femme-gelee_<m'-1369>_25684,", ce ne sont pas mes amies . On ne"
Ernaux-Annie_La-femme-gelee_<m'-1369>_25724,"usine . Que n' ai - je un frère ,"
Ernaux-Annie_La-femme-gelee_<m'-1369>_25730,"je un frère , il me sortirait , il aurait"
Ernaux-Annie_La-femme-gelee_<m'-1369>_25780,- dieu . Dommage pour moi . Pas facile à
Ernaux-Annie_La-femme-gelee_<m'-1369>_25868,"c' est de Racine , je crois » et je"
Ernaux-Annie_La-femme-gelee_<m'-1369>_25872,", je crois » et je ne pouvais pas savoir"
Ernaux-Annie_La-femme-gelee_<m'-1369>_25884,"se fichait de nous , je ne connaissais que Les"
Ernaux-Annie_La-femme-gelee_<m'-1369>_25897,feuilletait ses petits journaux et je mangeais des pêches au
Ernaux-Annie_La-femme-gelee_<m'-1369>_25994,ce fut affreux . Jamais je n' avais été si
Ernaux-Annie_La-femme-gelee_<m'-1369>_26001,"avais été si bouleversée , mes mains tremblaient pour éplucher"
Ernaux-Annie_La-femme-gelee_<m'-1369>_26015,jus gouttait le long de mon poignet . Une honte
Ernaux-Annie_La-femme-gelee_<m'-1369>_26024,"honte affolée . Seule , j' aurais fui . Je"
Ernaux-Annie_La-femme-gelee_<m'-1369>_26028,", j' aurais fui . Je le haïssais qu' il"
Ernaux-Annie_La-femme-gelee_<m'-1369>_26060,"ans , en troisième , je préfère Gérard Philippe ,"
Ernaux-Annie_La-femme-gelee_<m'-1369>_26101,"short , sans chemise , je voyais ses muscles ,"
