,text_surronding
Feuillet-Octave_La-petite-comtesse_<vous-1184>_28697,— Il faut que je vous parle ! — Madame
Feuillet-Octave_La-petite-comtesse_<vous-1184>_28701,"je vous parle ! — Madame , par grâce !"
Feuillet-Octave_La-petite-comtesse_<vous-1184>_28714,ciel ! … que faites - vous ! vous vous
Feuillet-Octave_La-petite-comtesse_<vous-1184>_28717,que faites - vous ! vous vous perdez ! …
Feuillet-Octave_La-petite-comtesse_<vous-1184>_28728,"… venez ! Je vais vous reconduire , voyons !"
Feuillet-Octave_La-petite-comtesse_<vous-1184>_28736,voyons ! Je voulus saisir son bras ; elle se
Feuillet-Octave_La-petite-comtesse_<vous-1184>_28739,voulus saisir son bras ; elle se dégagea . —
Feuillet-Octave_La-petite-comtesse_<vous-1184>_28744,elle se dégagea . — Je veux vous parler …
Feuillet-Octave_La-petite-comtesse_<vous-1184>_28749,Je veux vous parler … j' y suis décidée …
Feuillet-Octave_La-petite-comtesse_<vous-1184>_28759,Oh mon Dieu ! que je m' y prends mal
Feuillet-Octave_La-petite-comtesse_<vous-1184>_28772,- ce pas ? Que vous devez me croire plus
Feuillet-Octave_La-petite-comtesse_<vous-1184>_28774,pas ? Que vous devez me croire plus que jamais
Feuillet-Octave_La-petite-comtesse_<vous-1184>_28808,êtes le premier pour qui j' aie oublié … tout
Feuillet-Octave_La-petite-comtesse_<vous-1184>_28815,oublié … tout ce que j' oublie ! … Oui
Feuillet-Octave_La-petite-comtesse_<vous-1184>_28831,homme n' a entendu de ma bouche une parole de
Feuillet-Octave_La-petite-comtesse_<vous-1184>_28841,"tendresse , jamais ! et vous ne me croyez pas"
Feuillet-Octave_La-petite-comtesse_<vous-1184>_28843,jamais ! et vous ne me croyez pas ! Je
Feuillet-Octave_La-petite-comtesse_<vous-1184>_28847,ne me croyez pas ! Je pris ses deux mains
Feuillet-Octave_La-petite-comtesse_<vous-1184>_28849,croyez pas ! Je pris ses deux mains dans les
Feuillet-Octave_La-petite-comtesse_<vous-1184>_28857,"dans les miennes . — Je vous crois , je"
Feuillet-Octave_La-petite-comtesse_<vous-1184>_28861,"— Je vous crois , je vous le jure …"
Feuillet-Octave_La-petite-comtesse_<vous-1184>_28866,je vous le jure … Je vous jure que je
Feuillet-Octave_La-petite-comtesse_<vous-1184>_28870,… Je vous jure que je vous estime … que
Feuillet-Octave_La-petite-comtesse_<vous-1184>_28875,je vous estime … que je vous respecte comme ma
Feuillet-Octave_La-petite-comtesse_<vous-1184>_28879,que je vous respecte comme ma fille chérie … Mais
Feuillet-Octave_La-petite-comtesse_<vous-1184>_28885,"fille chérie … Mais écoutez - moi , daignez m'"
Feuillet-Octave_La-petite-comtesse_<vous-1184>_28889,"écoutez - moi , daignez m' écouter ! ne bravez"
Feuillet-Octave_La-petite-comtesse_<vous-1184>_28906,"au bal … Je vais vous y retrouver bientôt ,"
Feuillet-Octave_La-petite-comtesse_<vous-1184>_28912,"y retrouver bientôt , je vous le promets … mais"
Feuillet-Octave_La-petite-comtesse_<vous-1184>_28928,ne vous perdez pas ! La malheureuse enfant fondit en
Feuillet-Octave_La-petite-comtesse_<vous-1184>_28936,"fondit en larmes , et je sentis qu' elle chancelait"
Feuillet-Octave_La-petite-comtesse_<vous-1184>_28939,", et je sentis qu' elle chancelait ; je la"
Feuillet-Octave_La-petite-comtesse_<vous-1184>_28942,sentis qu' elle chancelait ; je la soutins et je
Feuillet-Octave_La-petite-comtesse_<vous-1184>_28943,qu' elle chancelait ; je la soutins et je la
Feuillet-Octave_La-petite-comtesse_<vous-1184>_28946,; je la soutins et je la fis asseoir sur
Feuillet-Octave_La-petite-comtesse_<vous-1184>_28947,je la soutins et je la fis asseoir sur un
Feuillet-Octave_La-petite-comtesse_<vous-1184>_28959,se trouvait là . – Je demeurai debout devant elle
Feuillet-Octave_La-petite-comtesse_<vous-1184>_28963,"– Je demeurai debout devant elle , tenant une de"
Feuillet-Octave_La-petite-comtesse_<vous-1184>_28968,"elle , tenant une de ses mains . Les ténèbres"
Feuillet-Octave_La-petite-comtesse_<vous-1184>_28979,profondes autour de nous ; je regardais le vide et
Feuillet-Octave_La-petite-comtesse_<vous-1184>_28984,"je regardais le vide et j' écoutais , dans une"
Feuillet-Octave_La-petite-comtesse_<vous-1184>_29013,"qui soulevait le sein de la jeune femme , et"
Feuillet-Octave_La-petite-comtesse_<vous-1184>_29045,"on se souvient toujours . Elle se remit enfin ,"
Feuillet-Octave_La-petite-comtesse_<vous-1184>_29051,"se remit enfin , et parut reprendre , après cette"
Feuillet-Octave_La-petite-comtesse_<vous-1184>_29061,"explosion de douleur , toute sa fermeté . — Monsieur"
Feuillet-Octave_La-petite-comtesse_<vous-1184>_29065,"toute sa fermeté . — Monsieur , me dit -"
Feuillet-Octave_La-petite-comtesse_<vous-1184>_29067,"fermeté . — Monsieur , me dit - elle en"
Feuillet-Octave_La-petite-comtesse_<vous-1184>_29069,"— Monsieur , me dit - elle en se levant"
Feuillet-Octave_La-petite-comtesse_<vous-1184>_29077,"se levant et en retirant sa main , ne vous"
Feuillet-Octave_La-petite-comtesse_<vous-1184>_29081,"retirant sa main , ne vous inquiétez pas de ma"
Feuillet-Octave_La-petite-comtesse_<vous-1184>_29085,ne vous inquiétez pas de ma réputation . Le monde
Feuillet-Octave_La-petite-comtesse_<vous-1184>_29093,Le monde est habitué à mes folies . J' ai
Feuillet-Octave_La-petite-comtesse_<vous-1184>_29096,"habitué à mes folies . J' ai pris , d'"
Feuillet-Octave_La-petite-comtesse_<vous-1184>_29103,"pris , d' ailleurs , mes mesures pour que celle"
Feuillet-Octave_La-petite-comtesse_<vous-1184>_29107,", mes mesures pour que celle - ci ne fût"
