,text_surronding
Feval-Paul_La-Bande-Cadet-Les-Habits-Noirs_<Georges-5869>_121742,", assise en face de Georges dans la chambre à"
Feval-Paul_La-Bande-Cadet-Les-Habits-Noirs_<Georges-5869>_121759,"celui - ci . – Tu as raison , mon"
Feval-Paul_La-Bande-Cadet-Les-Habits-Noirs_<Georges-5869>_121770,", j' avais peur pour toi . Elle faisait allusion"
Feval-Paul_La-Bande-Cadet-Les-Habits-Noirs_<Georges-5869>_121779,"allusion au premier exil de Georges , caché par elle"
Feval-Paul_La-Bande-Cadet-Les-Habits-Noirs_<Georges-5869>_121817,"la rue Culture . – Tu as raison , répéta"
Feval-Paul_La-Bande-Cadet-Les-Habits-Noirs_<Georges-5869>_121832,"certes , ce fut dans ton intérêt que je t'"
Feval-Paul_La-Bande-Cadet-Les-Habits-Noirs_<Georges-5869>_121857,", et , pendant que tu souffrais loin de moi"
Feval-Paul_La-Bande-Cadet-Les-Habits-Noirs_<Georges-5869>_121886,"son propre caprice ! Et te voilà fort , toi"
Feval-Paul_La-Bande-Cadet-Les-Habits-Noirs_<Georges-5869>_121890,"Et te voilà fort , toi mon fils ! Et"
Feval-Paul_La-Bande-Cadet-Les-Habits-Noirs_<Georges-5869>_121911,punition de quoi ? demanda Georges . Une parole voulut
Feval-Paul_La-Bande-Cadet-Les-Habits-Noirs_<Georges-5869>_122024,"- moi des nouvelles de ta nuit , reprit la"
Feval-Paul_La-Bande-Cadet-Les-Habits-Noirs_<Georges-5869>_122032,"reprit la duchesse , as - tu réussi ? –"
Feval-Paul_La-Bande-Cadet-Les-Habits-Noirs_<Georges-5869>_122054,"actes qui manquent , répondit Georges . – Je ne"
Feval-Paul_La-Bande-Cadet-Les-Habits-Noirs_<Georges-5869>_122059,Georges . – Je ne te parle pas de cela
Feval-Paul_La-Bande-Cadet-Les-Habits-Noirs_<Georges-5869>_122070,"mais d' abord , as - tu été reconnu ?"
Feval-Paul_La-Bande-Cadet-Les-Habits-Noirs_<Georges-5869>_122077,"été reconnu ? – Puisque j' ai reconnu Tupinier ,"
Feval-Paul_La-Bande-Cadet-Les-Habits-Noirs_<Georges-5869>_122089,"dû faire de même pour moi , ma mère …"
Feval-Paul_La-Bande-Cadet-Les-Habits-Noirs_<Georges-5869>_122091,"de même pour moi , ma mère … De quoi"
Feval-Paul_La-Bande-Cadet-Les-Habits-Noirs_<Georges-5869>_122099,"De quoi donc me parliez - vous , je vous"
Feval-Paul_La-Bande-Cadet-Les-Habits-Noirs_<Georges-5869>_122103,"parliez - vous , je vous prie ? – S'"
Feval-Paul_La-Bande-Cadet-Les-Habits-Noirs_<Georges-5869>_122109,"prie ? – S' il t' a reconnu , je"
Feval-Paul_La-Bande-Cadet-Les-Habits-Noirs_<Georges-5869>_122118,je ne veux plus que tu t' exposes . Tout
Feval-Paul_La-Bande-Cadet-Les-Habits-Noirs_<Georges-5869>_122131,", bien fini … Je te parlais du véritable but"
Feval-Paul_La-Bande-Cadet-Les-Habits-Noirs_<Georges-5869>_122143,comédie où le docteur ne t' aurait pas embarqué s'
Feval-Paul_La-Bande-Cadet-Les-Habits-Noirs_<Georges-5869>_122186,acte de mariage et de ton acte de naissance .
Feval-Paul_La-Bande-Cadet-Les-Habits-Noirs_<Georges-5869>_122196,– Le mien ? demanda Georges bonnement . Mon acte
Feval-Paul_La-Bande-Cadet-Les-Habits-Noirs_<Georges-5869>_122199,"? demanda Georges bonnement . Mon acte de naissance ,"
Feval-Paul_La-Bande-Cadet-Les-Habits-Noirs_<Georges-5869>_122205,"acte de naissance , à moi ? Ne faites -"
Feval-Paul_La-Bande-Cadet-Les-Habits-Noirs_<Georges-5869>_122209,"à moi ? Ne faites - vous point erreur ,"
Feval-Paul_La-Bande-Cadet-Les-Habits-Noirs_<Georges-5869>_122214,"- vous point erreur , ma mère ? Mme de"
Feval-Paul_La-Bande-Cadet-Les-Habits-Noirs_<Georges-5869>_122224,"Clare ne répondit pas . Elle était redevenue pâle ,"
Feval-Paul_La-Bande-Cadet-Les-Habits-Noirs_<Georges-5869>_122243,". – Eh bien ! ma mère , continua Georges"
Feval-Paul_La-Bande-Cadet-Les-Habits-Noirs_<Georges-5869>_122247,"! ma mère , continua Georges , qui vit cela"
Feval-Paul_La-Bande-Cadet-Les-Habits-Noirs_<Georges-5869>_122249,"mère , continua Georges , qui vit cela et se"
Feval-Paul_La-Bande-Cadet-Les-Habits-Noirs_<Georges-5869>_122253,", qui vit cela et se garda d' insister ,"
Feval-Paul_La-Bande-Cadet-Les-Habits-Noirs_<Georges-5869>_122254,"qui vit cela et se garda d' insister , notre"
Feval-Paul_La-Bande-Cadet-Les-Habits-Noirs_<Georges-5869>_122272,mot de l' Oremus … Vous verrez comme vous l'
Feval-Paul_La-Bande-Cadet-Les-Habits-Noirs_<Georges-5869>_122275,"Oremus … Vous verrez comme vous l' aimerez , quand"
Feval-Paul_La-Bande-Cadet-Les-Habits-Noirs_<Georges-5869>_122288,! – Oui ! prononça Mme de Clare entre ses
Feval-Paul_La-Bande-Cadet-Les-Habits-Noirs_<Georges-5869>_122292,"prononça Mme de Clare entre ses dents serrées , il"
Feval-Paul_La-Bande-Cadet-Les-Habits-Noirs_<Georges-5869>_122300,", il faudra bien que je l' aime … quand"
Feval-Paul_La-Bande-Cadet-Les-Habits-Noirs_<Georges-5869>_122312,"ici ! – Que dites - vous , ma mère"
Feval-Paul_La-Bande-Cadet-Les-Habits-Noirs_<Georges-5869>_122315,"Que dites - vous , ma mère ? – Rien"
